DATE,미국 IHS 제조업 PMI Actual,Consensus,Previous,Revised
2019-07-01,50.6,50.1,50.1,50.5
2019-06-21,50.1,50.4,50.5,
2019-06-03,50.5,50.6,50.6,52.6
2019-05-23,50.6,52.5,52.6,
2019-05-01,52.6,52.4,52.4,
2019-04-18,52.4,52.8,52.4,
2019-04-01,52.4,52.5,52.5,53
2019-03-22,52.5,53.6,53,
2019-03-01,53,53.7,53.7,54.9
2019-02-21,53.7,54.7,54.9,
2019-02-01,54.9,54.5,54.9,
2019-01-24,54.9,53.5,53.8,
2019-01-02,53.8,,53.9,55.3
2018-12-14,53.9,55.1,55.3,
2018-12-03,55.3,55.4,55.4,
2018-11-23,55.4,55.7,55.7,
2018-11-01,55.7,55.9,55.9,
2018-10-24,55.9,55.5,55.6,
2018-10-01,55.6,55.6,55.6,
2018-09-21,55.6,55,54.7,
2018-09-04,54.7,54.5,54.5,
2018-08-23,54.5,55,55.3,
2018-08-01,55.3,55.5,55.5,
2018-07-24,55.5,55.4,55.4,
2018-07-02,55.4,54.6,54.6,
2018-06-22,54.6,56.5,56.4,
2018-06-01,56.4,56.6,56.6,
2018-05-23,56.6,56.5,56.5,
2018-05-01,56.5,56.5,56.5,
2018-04-23,56.5,55,55.6,
2018-04-02,55.6,55.7,55.7,
2018-03-22,55.7,55.5,55.3,
2018-03-01,55.3,55.9,55.9,
2018-02-21,55.9,55.4,55.5,
2018-02-01,55.5,54.9,55.5,
2018-01-24,55.5,55,55.1,
2018-01-02,55.1,55,55,
2017-12-14,55,54,53.9,
2017-12-01,53.9,53.8,53.8,
2017-11-24,53.8,54.8,54.6,
2017-11-01,54.6,54.5,54.5,
2017-10-24,54.5,53.5,53.1,
2017-10-02,53.1,53,53,
2017-09-22,53,53,52.8,
2017-09-01,52.8,52.5,52.5,
2017-08-23,52.5,53.3,53.3,
2017-08-01,53.3,53.2,53.2,
2017-07-24,53.2,52,52,
2017-07-03,52,52.1,52.1,
2017-06-23,52.1,53,52.7,
2017-06-01,52.7,,52.5,
2017-05-23,52.5,53,52.8,
2017-05-01,52.8,52.8,52.8,
2017-04-21,52.8,53.5,53.3,
2017-04-03,53.3,53.5,53.4,
2017-03-24,53.4,54.8,54.2,
2017-03-01,54.2,,54.3,
2017-02-21,54.3,55.3,55,
2017-02-01,55,55.1,55.1,
2017-01-24,55.1,54.5,54.3,
2017-01-03,54.3,,54.2,
2016-12-15,54.2,54.2,54.1,
2016-12-01,54.1,,53.9,
2016-11-23,53.9,53.4,53.4,
2016-11-01,53.4,,53.2,
2016-10-24,53.2,51.5,51.5,
2016-10-03,51.5,,51.4,
2016-09-23,51.4,51.9,52,
2016-09-01,52,52.1,52.1,
2016-08-23,52.1,52.7,52.9,
2016-08-01,52.9,,52.9,
2016-07-22,52.9,51.6,51.3,
2016-07-01,51.3,51.4,51.4,
2016-06-23,51.4,50.8,50.7,
2016-06-01,50.7,,50.5,
2016-05-23,50.5,51,50.8,
2016-05-02,50.8,51,50.8,
2016-04-22,50.8,52,51.5,
2016-04-01,51.5,51.5,51.4,
2016-03-22,51.4,,51.3,
2016-03-01,51.3,51,51,
2016-02-22,51,52,52.4,
2016-02-01,52.4,52.7,52.7,
2016-01-22,52.7,51.1,51.2,
2016-01-04,51.2,,51.3,
2015-12-16,51.3,52.6,54,
2015-12-01,52.8,52.6,52.6,
2015-11-23,52.6,53.9,54.1,
2015-11-02,54.1,54,,
2015-10-23,54,52.8,53.1,
2015-10-01,53.1,51.3,53,
2015-09-23,53,53,53,
2015-09-01,53,,52.9,
2015-08-21,52.9,54,53.8,
2015-08-03,53.8,53.8,53.8,
2015-07-24,53.8,53.6,53.6,
2015-07-01,53.6,53.4,53.4,
2015-06-23,53.4,54.2,54,
2015-06-01,54,54.2,53.8,
2015-05-21,53.8,54.5,54.1,
2015-05-01,54.1,,54.2,
2015-04-23,54.2,55.5,55.7,
2015-04-01,55.7,,55.3,
2015-03-24,55.3,54.7,55.1,
2015-03-02,55.1,54.3,54.3,
2015-02-20,54.3,53.6,53.9,
2015-02-02,53.9,,53.7,
2015-01-23,53.7,54,53.9,
2015-01-02,53.9,54.1,53.7,
2014-12-16,53.7,55.2,54.8,
2014-12-01,54.8,,54.7,
2014-11-20,54.7,56.4,55.9,
2014-11-03,55.9,,56.2,
2014-10-23,56.2,57,57.5,
2014-10-01,57.5,58.5,57.9,
2014-09-23,57.9,58,57.9,
2014-09-02,57.9,,58,
2014-08-21,58,55.7,55.8,
2014-08-01,55.8,,56.3,
2014-07-24,56.3,57.5,57.3,
2014-07-01,57.3,,57.5,56.4
2014-06-23,57.5,56.5,57.5,
2014-06-02,57.5,55.5,56.2,
2014-05-22,56.2,55.5,55.4,
2014-05-01,55.4,55.8,55.4,
2014-04-23,55.4,56,55.5,
2014-04-01,55.5,,55.5,
2014-03-24,55.5,56.5,57.1,
2014-03-03,57.1,56.6,56.7,
2014-02-20,56.7,53,53.7,
2014-02-03,53.7,,53.7,
2014-01-23,53.7,55,55,
2014-01-02,55,,54.4,
2013-12-16,54.4,55,54.7,
2013-12-02,54.7,,54.3,
2013-11-21,54.3,52.4,51.8,
2013-11-01,51.8,,51.1,
2013-10-24,51.1,52.5,52.8,
2013-10-01,52.8,52.8,52.8,
2013-09-23,52.8,54,53.1,
2013-09-03,53.1,54,53.9,
2013-08-22,53.9,53.8,53.7,
2013-08-01,53.7,53.1,53.2,
2013-07-24,53.2,51.9,51.9,
2013-07-01,51.9,50.6,52.2,
2013-06-20,52.2,52.5,52.3,
2013-06-03,52.3,52,51.9,
2013-05-23,51.9,51.8,52.1,
2013-05-01,52.1,,52,
2013-04-23,52,54,54.6,
2013-04-01,54.6,54.9,54.9,
2013-03-21,54.9,55,54.3,
