DATE,중국 주택가격 증가율
2006-04-01,3.67
2006-07-01,3.8
2006-10-01,3.9
2007-01-01,4.13
2007-04-01,4.68
2007-07-01,5.64
2007-10-01,7.33
2008-01-01,7.72
2008-04-01,6.61
2008-07-01,4.76
2008-10-01,1.59
2009-01-01,-0.17
2009-04-01,-0.43
2009-07-01,1.08
2009-10-01,4.02
2010-01-01,8.07
2010-04-01,9.61
2010-07-01,8.04
2010-10-01,7.1
2011-01-01,5.75
2011-04-01,4.27
2011-07-01,4.1
2011-10-01,2.34
2012-01-01,0.15
2012-04-01,-1.17
2012-07-01,-1.22
2012-10-01,-0.54
2013-01-01,1.93
2013-04-01,5.45
2013-07-01,7.75
2013-10-01,9.4
2014-01-01,8.7
2014-04-01,5.78
2014-07-01,0.71
2014-10-01,-3.9
2015-01-01,-6.47
2015-04-01,-6.75
2015-07-01,-3.48
2015-10-01,-0.32
2016-01-01,3.73
2016-04-01,6.21
2016-07-01,8.19
2016-10-01,10.37
2017-01-01,9.08
2017-04-01,9.19
2017-07-01,7.98
2017-10-01,5.95
2018-01-01,5.27
2018-04-01,4.76
2018-07-01,7.16
2018-10-01,9.01
