,DATE,미국 내구재 주문,미국 비농업 고용자수,미국 비농업 급여,미국 소비율,미국 소비자 물가 상승률,미국 신규 실업수당 청구건수,미국 신규주택착공,미국 신규주택판매 지수,미국 실업률,"미국 항공기 제외, 비국방 자본재 주문",컨퍼런스보드 소비자 심리지수,Close
180,2007-02-01,223217.0,137573.0,137573,9546.8,204.226,2569250.0,1480.0,828.0,4.5,63882.0,111.2,1434.89421
181,2007-03-01,229902.0,137810.0,137810,9585.1,205.28799999999998,2519000.0,1495.0,833.0,4.4,66935.0,108.2,1431.760004
182,2007-04-01,231627.0,137860.0,137860,9615.7,205.90400000000002,2496000.0,1490.0,887.0,4.5,66049.0,106.3,1517.115728
183,2007-05-01,228551.0,138012.0,138012,9651.3,206.755,2447750.0,1415.0,842.0,4.4,64811.0,108.5,1614.943342
184,2007-06-01,229061.0,138088.0,138088,9667.3,207.234,2482000.0,1448.0,793.0,4.6,64999.0,105.3,1754.2840030000002
185,2007-07-01,234576.0,138055.0,138055,9709.6,207.60299999999998,2542250.0,1354.0,778.0,4.7,65147.0,111.9,1911.5590530000002
186,2007-08-01,234833.0,138032.0,138032,9753.9,207.667,2553000.0,1330.0,699.0,4.6,66192.0,105.0,1815.0199969999999
187,2007-09-01,226029.0,138114.0,138114,9797.9,208.547,2537200.0,1183.0,686.0,4.7,65178.0,99.5,1879.033541
188,2007-10-01,229287.0,138190.0,138190,9827.0,209.19,2561750.0,1264.0,727.0,4.7,65144.0,95.2,2004.551369
189,2007-11-01,231388.0,138299.0,138299,9897.8,210.834,5178500.0,1197.0,641.0,4.7,65239.0,183.0,3929.392268
190,2007-12-01,242350.0,138409.0,138409,9908.4,211.445,6854800.0,1037.0,619.0,5.0,68163.0,271.6,6706.577203
191,2008-01-01,239668.0,138422.0,138422,9930.0,212.174,11367250.0,1084.0,627.0,5.0,68229.0,359.5,7219.485446
192,2008-02-01,234718.0,138340.0,138340,9913.4,212.687,2844250.0,1103.0,593.0,4.9,66452.0,76.4,1689.533895
193,2008-03-01,232240.0,138292.0,138292,9959.4,213.44799999999998,2912800.0,1005.0,535.0,5.1,66337.0,65.9,1651.1542789999999
194,2008-04-01,230662.0,138056.0,138056,9996.8,213.942,2964000.0,1013.0,536.0,5.0,69555.0,62.8,1776.577148
195,2008-05-01,230680.0,137872.0,137872,10053.8,215.208,3013600.0,973.0,504.0,5.4,68572.0,58.1,1844.804543
196,2008-06-01,228442.0,137706.0,137706,10107.9,217.463,3057750.0,1046.0,487.0,5.6,67759.0,51.0,1761.7000039999998
197,2008-07-01,220810.0,137508.0,137508,10104.7,219.016,3176250.0,923.0,477.0,5.8,67754.0,51.9,1569.599567
198,2008-08-01,216342.0,137229.0,137229,10094.7,218.69,3378000.0,844.0,435.0,6.1,66479.0,58.5,1539.1952310000001
199,2008-09-01,211692.0,136769.0,136769,10043.5,218.877,3521750.0,820.0,433.0,6.1,63556.0,61.4,1447.989102
