DATE,금기준가격(원/g),매입가격(원/g),매도가격(원/g),"금가격
(USD/트로이온즈)","원달러환율
(원/USD)"
2019-07-02,52280.25,52803.05,51757.45,1393.28,1167.1
2019-07-01,51905.6,52424.65,51386.55,1388.17,1163
2019-06-28,52545.19,53070.64,52019.74,1414.39,1155.5
2019-06-27,52226.97,52749.23,51704.71,1403.4,1157.5
2019-06-26,52487.45,53012.32,51962.58,1410.4,1157.5
2019-06-25,53195.64,53727.59,52663.69,1430.66,1156.5
2019-06-24,52327.71,52850.98,51804.44,1405.5,1158
2019-06-21,52018.66,52538.84,51498.48,1389.4,1164.5
2019-06-20,51544.28,52059.72,51028.84,1380.28,1161.5
2019-06-19,50761.59,51269.2,50253.98,1341.99,1176.5
2019-06-18,51343.25,51856.68,50829.82,1346.5,1186
2019-06-17,50902.52,51411.54,50393.5,1333.82,1187
2019-06-14,51604.61,52120.65,51088.57,1353.92,1185.5
2019-06-13,50864.69,51373.33,50356.05,1336.77,1183.5
2019-06-12,50891.15,51400.06,50382.24,1338.03,1183
2019-06-11,50245.71,50748.16,49743.26,1322.73,1181.5
2019-06-10,50648.09,51154.57,50141.61,1327.15,1187
2019-06-07,50911.88,51420.99,50402.77,1335.75,1185.5
2019-06-05,50534.75,51040.09,50029.41,1333.16,1179
2019-06-04,50384.05,50887.89,49880.21,1324.13,1183.5
2019-06-03,49980.86,50480.66,49481.06,1314.65,1182.5
2019-05-31,49577.64,50073.41,49081.87,1294.74,1191
2019-05-30,48917.02,49406.19,48427.85,1277.48,1191
2019-05-29,49324.34,49817.58,48831.1,1283.81,1195
2019-05-28,49149.5,49640.99,48658.01,1285.17,1189.5
2019-05-27,49027.11,49517.38,48536.84,1286.3,1185.5
2019-05-24,48980.77,49470.57,48490.97,1281.84,1188.5
2019-05-23,48876.69,49365.45,48387.93,1275.9,1191.5
2019-05-22,48778.41,49266.19,48290.63,1273.86,1191
2019-05-21,49041.78,49532.19,48551.37,1275.39,1196
2019-05-20,48964.95,49454.59,48475.31,1274.46,1195
2019-05-17,49495.94,49990.89,49000.99,1287.2,1196
2019-05-16,49591.55,50087.46,49095.64,1296.19,1190
2019-05-15,49660.62,50157.22,49164.02,1297.99,1190
2019-05-14,49582.6,50078.42,49086.78,1297.04,1189
2019-05-13,49040.54,49530.94,48550.14,1284.48,1187.5
2019-05-10,48658.4,49144.98,48171.82,1284.75,1178
2019-05-09,48845.63,49334.08,48357.18,1284.79,1182.5
2019-05-08,48390.42,48874.32,47906.52,1285.86,1170.5
2019-05-07,48177.13,48658.9,47695.36,1282.94,1168
2019-05-03,47777.65,48255.42,47299.88,1269.58,1170.5
2019-05-02,47610.48,48086.58,47134.38,1271.11,1165
2019-04-30,48120.36,48601.56,47639.16,1283.62,1166
2019-04-29,47842.37,48320.79,47363.95,1282.26,1160.5
2019-04-26,47838.65,48317.03,47360.27,1282.16,1160.5
2019-04-25,47769.21,48246.9,47291.52,1276.99,1163.5
2019-04-24,47063.41,47534.04,46592.78,1272.9,1150
2019-04-23,46788.19,47256.07,46320.31,1273.76,1142.5
2019-04-22,46952.77,47422.29,46483.25,1279.36,1141.5
2019-04-19,46602.22,47068.24,46136.2,1275.39,1136.5
2019-04-18,46666.82,47133.48,46200.16,1276.04,1137.5
2019-04-17,46521.12,46986.33,46055.91,1276.54,1133.5
2019-04-16,46914.56,47383.7,46445.42,1284.51,1136
2019-04-15,46860.53,47329.13,46391.93,1286.43,1133
2019-04-12,47335.96,47809.31,46862.61,1293.77,1138
2019-04-11,47810.91,48289.01,47332.81,1304.46,1140
2019-04-10,47788.48,48266.36,47310.6,1304.42,1139.5
2019-04-09,47735.19,48212.54,47257.84,1301.82,1140.5
2019-04-08,47769.34,48247.03,47291.65,1297.06,1145.5
2019-04-05,47151.67,47623.18,46680.16,1288.73,1138
2019-04-04,47235.11,47707.46,46762.76,1291.01,1138
2019-04-03,47150.95,47622.45,46679.45,1292.12,1135
2019-04-02,47032.1,47502.42,46561.78,1286.59,1137
2019-04-01,47070.58,47541.28,46599.88,1290.48,1134.5
2019-03-29,47088.26,47559.14,46617.38,1289.26,1136
2019-03-28,47827.67,48305.94,47349.4,1307.78,1137.5
2019-03-27,48079.64,48560.43,47598.85,1316.41,1136
2019-03-26,48020.56,48500.76,47540.36,1317.11,1134
2019-03-25,48042.68,48523.1,47562.26,1317.71,1134
2019-03-22,47815.81,48293.96,47337.66,1311.49,1134
2019-03-21,47811.35,48289.46,47333.24,1317.76,1128.5
2019-03-20,47316.53,47789.69,46843.37,1302.39,1130
2019-03-19,47499.39,47974.38,47024.4,1306.27,1131
2019-03-18,47463.8,47938.43,46989.17,1302.99,1133
2019-03-15,47631.58,48107.89,47155.27,1303.57,1136.5
2019-03-14,47466.89,47941.55,46992.23,1301.92,1134
2019-03-13,47590.31,48066.21,47114.41,1306.46,1133
2019-03-12,47069.49,47540.18,46598.8,1295.59,1130
2019-03-11,47251.78,47724.29,46779.27,1296.02,1134
2019-03-08,47286.42,47759.28,46813.56,1293.55,1137
2019-03-07,46672.41,47139.13,46205.69,1286.37,1128.5
2019-03-06,46708.14,47175.22,46241.06,1286.78,1129
2019-03-05,46550.54,47016.04,46085.04,1285.29,1126.5
2019-03-04,46592.86,47058.78,46126.94,1286.46,1126.5
2019-02-28,47832.75,48311.07,47354.43,1323.63,1124
2019-02-27,47746.35,48223.81,47268.89,1327.14,1119
2019-02-26,47630.35,48106.65,47154.05,1325.1,1118
2019-02-25,47887.99,48366.86,47409.12,1329.89,1120
2019-02-22,47974.77,48454.51,47495.03,1326.97,1124.5
2019-02-21,48350.64,48834.14,47867.14,1336.18,1125.5
2019-02-20,48480.44,48965.24,47995.64,1342.15,1123.5
2019-02-19,48168.53,48650.21,47686.85,1328.19,1128
2019-02-18,47905.38,48384.43,47426.33,1323.28,1126
2019-02-15,47777.46,48255.23,47299.69,1315.66,1129.5
2019-02-14,47340.62,47814.02,46867.22,1305.94,1127.5
2019-02-13,47363.96,47837.59,46890.33,1312.64,1122.3
2019-02-12,47447.34,47921.81,46972.87,1311.8,1125
2019-02-11,47373.34,47847.07,46899.61,1309.17,1125.5
2019-02-08,47236.88,47709.24,46764.52,1308.3,1123
2019-02-07,47204.54,47676.58,46732.5,1303.93,1126
2019-02-01,47424.74,47898.98,46950.5,1318.79,1118.5
2019-01-31,47278.8,47751.58,46806.02,1320.64,1113.5
2019-01-30,47206.29,47678.35,46734.23,1313.89,1117.5
2019-01-29,47082.66,47553.48,46611.84,1309.28,1118.5
2019-01-28,46796.29,47264.25,46328.33,1300.73,1119
2019-01-25,46294.68,46757.62,45831.74,1283.35,1122
2019-01-24,46431.58,46895.89,45967.27,1278.6,1129.5
2019-01-23,46666.21,47132.87,46199.55,1286.77,1128
2019-01-22,46734.52,47201.86,46267.18,1284.1,1132
2019-01-21,46463.03,46927.66,45998.4,1278.33,1130.5
2019-01-18,46492.3,46957.22,46027.38,1288.83,1122
2019-01-17,46714.72,47181.86,46247.58,1293.84,1123
2019-01-16,46510.67,46975.77,46045.57,1290.49,1121
2019-01-15,46431.31,46895.62,45967,1288.29,1121
2019-01-14,46703.74,47170.77,46236.71,1293.54,1123
2019-01-11,46426.56,46890.82,45962.3,1293.93,1116
2019-01-10,46653.56,47120.09,46187.03,1296.19,1119.5
2019-01-09,46264.89,46727.53,45802.25,1283.1,1121.5
2019-01-08,46453.86,46918.39,45989.33,1283.76,1125.5
2019-01-07,46418.89,46883.07,45954.71,1289.67,1119.5
2019-01-04,46692.25,47159.17,46225.33,1292.07,1124
2019-01-03,46761.62,47229.23,46294.01,1289.97,1127.5
2019-01-02,46406.28,46870.34,45942.22,1288.17,1120.5
2018-12-31,45874.99,46333.73,45416.25,1280.85,1114
2018-12-28,45863.81,46322.44,45405.18,1277.67,1116.5
2018-12-27,45815.38,46273.53,45357.23,1272.33,1120
2018-12-26,46046.41,46506.87,45585.95,1271.93,1126
2018-12-24,45720.48,46177.68,45263.28,1263.49,1125.5
