DATE,무역 가중치 미국 달러 인덱스
2014-06-30,97.418
2014-07-01,97.3299
2014-07-02,97.4097
2014-07-03,97.3912
2014-07-04,0
2014-07-07,97.4629
2014-07-08,97.3905
2014-07-09,97.2925
2014-07-10,97.4157
2014-07-11,97.4314
2014-07-14,97.4293
2014-07-15,97.5425
2014-07-16,97.4786
2014-07-17,97.6334
2014-07-18,97.6057
2014-07-21,97.5234
2014-07-22,97.3612
2014-07-23,97.2922
2014-07-24,97.4026
2014-07-25,97.3903
2014-07-28,97.4683
2014-07-29,97.594
2014-07-30,97.8178
2014-07-31,98.1163
2014-08-01,98.2482
2014-08-04,98.1353
2014-08-05,98.2884
2014-08-06,98.2784
2014-08-07,98.4015
2014-08-08,98.2964
2014-08-11,98.0651
2014-08-12,98.0453
2014-08-13,97.9143
2014-08-14,97.7732
2014-08-15,97.7389
2014-08-18,97.5819
2014-08-19,97.6264
2014-08-20,97.7399
2014-08-21,97.8123
2014-08-22,97.8986
2014-08-25,97.9699
2014-08-26,97.8572
2014-08-27,97.6998
2014-08-28,97.7988
2014-08-29,97.7455
2014-09-01,0
2014-09-02,97.9643
2014-09-03,97.7612
2014-09-04,97.8431
2014-09-05,97.7845
2014-09-08,97.821
2014-09-09,98.2861
2014-09-10,98.3427
2014-09-11,98.3665
2014-09-12,98.5686
2014-09-15,98.717
2014-09-16,98.5098
2014-09-17,98.5797
2014-09-18,98.7965
2014-09-19,98.8319
2014-09-22,98.9567
2014-09-23,99.0284
2014-09-24,98.9949
2014-09-25,99.2934
2014-09-26,99.4396
2014-09-29,99.8413
2014-09-30,99.7169
2014-10-01,99.8426
2014-10-02,99.7137
2014-10-03,99.9419
2014-10-06,99.6679
2014-10-07,99.6865
2014-10-08,99.932
2014-10-09,99.463
2014-10-10,99.7022
2014-10-13,0
2014-10-14,99.5863
2014-10-15,99.9176
2014-10-16,100.0319
2014-10-17,99.8539
2014-10-20,99.8546
2014-10-21,99.7547
2014-10-22,99.849
2014-10-23,99.9643
2014-10-24,99.897
2014-10-27,100.1082
2014-10-28,99.7391
2014-10-29,99.4914
2014-10-30,99.5754
2014-10-31,99.9842
2014-11-03,100.3052
2014-11-04,100.444
2014-11-05,100.6012
2014-11-06,100.7653
2014-11-07,100.7622
2014-11-10,100.6324
2014-11-11,0
2014-11-12,100.7537
2014-11-13,100.9876
2014-11-14,101.0321
2014-11-17,101.0864
2014-11-18,100.9569
2014-11-19,101.2058
2014-11-20,101.2081
2014-11-21,101.0913
2014-11-24,101.2831
2014-11-25,101.2225
2014-11-26,101.3091
2014-11-27,0
2014-11-28,102.1323
2014-12-01,102.3096
2014-12-02,102.7296
2014-12-03,102.7262
2014-12-04,102.791
2014-12-05,103.3469
2014-12-08,103.659
2014-12-09,103.5045
2014-12-10,103.8363
2014-12-11,104.354
2014-12-12,104.651
2014-12-15,104.9544
2014-12-16,104.8905
2014-12-17,104.4665
2014-12-18,104.4215
2014-12-19,104.5994
2014-12-22,104.4684
2014-12-23,104.7991
2014-12-24,104.7994
2014-12-25,0
2014-12-26,0
2014-12-29,104.8723
2014-12-30,104.5979
2014-12-31,104.6253
2015-01-01,0
2015-01-02,105.0205
2015-01-05,105.6688
2015-01-06,105.4088
2015-01-07,105.2862
2015-01-08,104.7082
2015-01-09,104.4914
2015-01-12,104.5917
2015-01-13,104.4369
2015-01-14,104.3591
2015-01-15,104.3198
2015-01-16,104.3657
2015-01-19,0
