DATE,중국 산업생산 전년대비증감률
1999-01-01,109.6666667
1999-04-01,109.0333333
1999-07-01,109
1999-10-01,107.3333333
2000-01-01,110.9333333
2000-04-01,111.7
2000-07-01,112.5333333
2000-10-01,110.8
2001-01-01,111.1333333
2001-04-01,110.6
2001-07-01,108.5666667
2001-10-01,108.4666667
2002-01-01,110.7333333
2002-04-01,112.4666667
2002-07-01,113.1
2002-10-01,114.5333333
2003-01-01,117.1666667
2003-04-01,115.1666667
2003-07-01,116.6333333
2003-10-01,117.7333333
2004-01-01,116.6
2004-04-01,117.6
2004-07-01,115.8333333
2004-10-01,114.9666667
2005-01-01,114.5333333
2005-04-01,116.4666667
2005-07-01,116.2
2005-10-01,116.4
2006-01-01,118.95
2006-04-01,118
2006-07-01,116.1666667
2006-10-01,114.7666667
2007-01-01,115.1
2007-04-01,118.3
2007-07-01,118.1333333
2007-10-01,117.5333333
2008-01-01,116.6
2008-04-01,115.9
2008-07-01,112.9666667
2008-10-01,106.4333333
2009-01-01,110.1
2009-04-01,108.9666667
2009-07-01,112.3333333
2009-10-01,117.9333333
2010-01-01,114.5666667
2010-04-01,116
2010-07-01,113.5333333
2010-10-01,113.3
2011-01-01,114.8666667
2011-04-01,113.9333333
2011-07-01,113.7666667
2011-10-01,112.8
2012-01-01,111.5666667
2012-04-01,109.4666667
2012-07-01,109.1
2012-10-01,110
2013-01-01,109.4
2013-04-01,109.1333333
2013-07-01,110.1
2013-10-01,110
2014-01-01,108.7
2014-04-01,108.9
2014-07-01,107.9666667
2014-10-01,107.6
2015-01-01,106.2
2015-04-01,106.2666667
2015-07-01,105.9333333
2015-10-01,105.9
2016-01-01,106.1
2016-04-01,106.0666667
2016-07-01,106.1333333
2016-10-01,106.1
2017-01-01,106.95
2017-04-01,106.8666667
2017-07-01,106.3333333
2017-10-01,106.1666667
2018-01-01,0
2018-04-01,106.6
2018-07-01,105.9666667
2018-10-01,105.6666667
