DATE,필라델피아 연준 제조업지수
2007-02-01,0.6
2007-03-01,0.2
2007-04-01,0.2
2007-05-01,4.2
2007-06-01,18
2007-07-01,9.2
2007-08-01,0
2007-09-01,10.9
2007-10-01,6.8
2007-11-01,15
2007-12-01,13.4
2008-01-01,-7.5
2008-02-01,-24
2008-03-01,-17.4
2008-04-01,-24.9
2008-05-01,-15.6
2008-06-01,-17.1
2008-07-01,-16.3
2008-08-01,-12.7
2008-09-01,3.8
2008-10-01,-37.5
2008-11-01,-76.8
2008-12-01,-112.9
2009-01-01,-137.2
2009-02-01,-41.3
2009-03-01,-35
2009-04-01,-24.4
2009-05-01,-22.6
2009-06-01,-2.2
2009-07-01,-7.5
2009-08-01,4.2
2009-09-01,14.1
2009-10-01,11.5
2009-11-01,28.2
2009-12-01,50.7
2010-01-01,65.9
2010-02-01,17.6
2010-03-01,18.9
2010-04-01,20.2
2010-05-01,21.4
2010-06-01,8
2010-07-01,5.1
2010-08-01,-7.7
2010-09-01,-0.7
2010-10-01,1
2010-11-01,23.5
2010-12-01,44.3
2011-01-01,63.6
2011-02-01,35.9
2011-03-01,43.4
2011-04-01,18.5
2011-05-01,3.9
2011-06-01,-7.7
2011-07-01,3.2
2011-08-01,-30.7
2011-09-01,-17.5
2011-10-01,8.7
2011-11-01,12.3
2011-12-01,22.6
2012-01-01,29.9
2012-02-01,10.2
2012-03-01,12.5
2012-04-01,8.5
2012-05-01,-5.8
2012-06-01,-16.6
2012-07-01,-12.9
2012-08-01,-7.1
2012-09-01,-1.9
2012-10-01,5.7
2012-11-01,-5
2012-12-01,3.1
2013-01-01,-2.7
2013-02-01,-12.5
2013-03-01,2
2013-04-01,1.3
2013-05-01,-5.2
2013-06-01,12.5
2013-07-01,19.8
2013-08-01,9.3
2013-09-01,22.3
2013-10-01,19.8
2013-11-01,26.3
2013-12-01,33.3
2014-01-01,42.7
2014-02-01,-6.3
2014-03-01,9
2014-04-01,16.6
2014-05-01,15.4
2014-06-01,17.8
2014-07-01,23.9
2014-08-01,28
2014-09-01,22.5
2014-10-01,20.7
2014-11-01,61.5
2014-12-01,86
2015-01-01,92.3
2015-02-01,5.2
2015-03-01,5
2015-04-01,7.5
2015-05-01,6.7
2015-06-01,15.2
2015-07-01,5.7
2015-08-01,8.3
2015-09-01,-6
2015-10-01,-4.5
2015-11-01,-2.6
2015-12-01,-8.5
2016-01-01,-12
2016-02-01,-2.8
2016-03-01,12.4
2016-04-01,-1.6
2016-05-01,-1.8
2016-06-01,4.7
2016-07-01,-2.9
2016-08-01,2
2016-09-01,12.8
2016-10-01,9.7
2016-11-01,17.3
2016-12-01,38.8
2017-01-01,62.4
2017-02-01,43.3
2017-03-01,32.8
2017-04-01,22
2017-05-01,38.8
2017-06-01,27.6
2017-07-01,19.5
2017-08-01,18.9
2017-09-01,23.8
2017-10-01,27.9
2017-11-01,50.6
2017-12-01,76.8
2018-01-01,99
2018-02-01,25.8
2018-03-01,22.3
2018-04-01,23.2
2018-05-01,34.4
2018-06-01,19.9
2018-07-01,25.7
2018-08-01,11.9
2018-09-01,22.9
2018-10-01,22.2
2018-11-01,35.1
2018-12-01,44.5
2019-01-01,61.5
2019-02-01,-4.1
2019-03-01,13.7
2019-04-01,8.5
2019-05-01,16.6
