DATE,HM4UP,Volume
2008-12-01,1,7222400
2009-01-01,1,10345600
2009-02-01,1,11485200
2009-03-01,1,16097400
2009-04-01,0,13548600
2009-05-01,0,10956200
2009-06-01,1,10618400
2009-07-01,0,10723400
2009-08-01,1,10543400
2009-09-01,0,7676200
2009-10-01,1,5595600
2009-11-01,1,7338600
2009-12-01,0,9179800
2010-01-01,0,7208400
2010-02-01,1,9177000
2010-03-01,0,9276800
2010-04-01,0,7554400
2010-05-01,1,6700800
2010-06-01,1,8028400
2010-07-01,0,7271800
2010-08-01,1,6299600
2010-09-01,0,7760200
2010-10-01,1,7287000
2010-11-01,1,8711800
2010-12-01,0,8110600
2011-01-01,0,5079800
2011-02-01,1,6618600
2011-03-01,1,7719600
2011-04-01,0,6219800
2011-05-01,0,5473000
2011-06-01,0,6595200
2011-07-01,0,9609800
2011-08-01,0,7688800
2011-09-01,1,7332800
2011-10-01,0,7830000
2011-11-01,0,9119200
2011-12-01,1,8596400
2012-01-01,1,13202000
2012-02-01,0,10434800
2012-03-01,0,10648000
2012-04-01,0,10022200
2012-05-01,1,7462400
2012-06-01,0,8280400
2012-07-01,1,9803200
2012-08-01,1,15066400
2012-09-01,0,10137000
2012-10-01,0,9848600
2012-11-01,0,7146600
2012-12-01,0,10904400
2013-01-01,0,7307200
2013-02-01,0,6856000
2013-03-01,0,7694400
2013-04-01,0,6587000
2013-05-01,0,5605600
2013-06-01,0,7604000
2013-07-01,0,7040100
2013-08-01,1,5085300
2013-09-01,0,5704900
2013-10-01,0,6103900
2013-11-01,0,4603600
2013-12-01,0,4815400
2014-01-01,0,4482200
2014-02-01,0,4720700
2014-03-01,0,4483900
2014-04-01,0,4285500
2014-05-01,0,4602000
2014-06-01,1,6982900
2014-07-01,0,6081500
2014-08-01,0,6542100
2014-09-01,0,7389300
2014-10-01,0,6001200
2014-11-01,0,5525200
2014-12-01,0,6845600
2015-01-01,0,5913300
2015-02-01,0,8511800
2015-03-01,1,11582800
2015-04-01,0,7388600
2015-05-01,0,9174900
2015-06-01,0,13372100
2015-07-01,0,8369000
2015-08-01,0,10051700
2015-09-01,1,13186400
2015-10-01,0,8998800
2015-11-01,0,9508000
2015-12-01,0,7301400
2016-01-01,0,6189400
2016-02-01,0,7284100
2016-03-01,0,7973500
2016-04-01,0,9650600
2016-05-01,0,9815300
2016-06-01,0,8068000
2016-07-01,0,7805400
2016-08-01,0,8851700
2016-09-01,0,6637000
2016-10-01,0,6610700
2016-11-01,0,5669300
2016-12-01,0,8195900
2017-01-01,0,7128900
2017-02-01,0,8869800
2017-03-01,0,7345700
2017-04-01,1,7028200
2017-05-01,0,7483800
2017-06-01,0,6225600
2017-07-01,0,5724100
2017-08-01,0,5594200
2017-09-01,1,5051400
2017-10-01,0,7083100
2017-11-01,0,5966800
2017-12-01,1,8253400
2018-01-01,0,7281100
2018-02-01,1,8078900
2018-03-01,0,10439800
2018-04-01,0,12820500
2018-05-01,0,9450900
2018-06-01,0,7509300
2018-07-01,0,6204500
2018-08-01,0,5433100
2018-09-01,0,7022100
2018-10-01,1,6978800
2018-11-01,0,7631800
2018-12-01,1,9455200
2019-01-01,0,6882500
2019-02-01,0,6458000
2019-03-01,1,9164500
2019-04-01,0,11243200
2019-05-01,1,11256800
