DATE,국제유가,미국 ISM 제조업 구매자지수,미국 내구재 주문,미국 비농업 고용자수,미국 비농업 급여,미국 생산 자원사용률,미국 소비율,미국 소비자 물가 상승률,미국 소비자 신뢰지수,미국 수입증가율,미국 신규 실업수당 청구건수,미국 신규주택착공,미국 신규주택판매 지수,미국 실업률,"미국 항공기 제외, 비국방 자본재 주문",미국의 소매판매지수,원달러 환율,필라델피아 연준 제조업지수,HM4UP
2008-12-01,40.64869565,36.2,172687,134857,134857,71.7426,9730.7,211.398,60.1,25079.51498,4522250,560,377,7.3,55732,1034.3,1373.840909,-36.1,1
2009-01-01,41.63090909,32.4,155015,134074,134074,69.9566,9783.8,211.933,61.2,24743.4574,4861200,490,336,7.8,49523,1028.3,1346.1,-24.3,1
2009-02-01,39.0685,35.6,146293,133332,133332,69.4359,9766.0,212.705,56.3,18845.49521,5297000,582,372,8.3,50247,1012.8,1429.46,-41.3,1
2009-03-01,47.97545455,35.8,144866,132529,132529,68.2745,9718.5,212.495,57.3,21224.713509999998,5765750,505,339,8.7,48959,1008.8,1461.977273,-35.0,1
2009-04-01,49.91954545,36.3,145613,131835,131835,67.6767,9724.8,212.709,65.1,21920.59525,6184500,478,337,9.0,47043,993.8,1341.895455,-24.4,0
2009-05-01,59.21523810000001,40.1,150082,131491,131491,66.9601,9748.9,213.02200000000002,68.7,22734.14785,6525600,540,376,9.4,48777,970.5,1258.710526,-22.6,0
2009-06-01,69.62136364,42.8,146586,131026,131026,66.6872,9806.9,214.79,70.8,23972.77424,6534250,585,393,9.5,50508,941.5,1261.35,-2.2,1
2009-07-01,64.23391304,44.8,155213,130685,130685,67.4362,9841.7,214.726,66.0,25671.08441,6139000,594,411,9.5,51053,917.8,1263.965217,-7.5,0
2009-08-01,71.06,48.9,158266,130501,130501,68.2344,9961.0,215.445,65.7,25798.11966,6047800,586,418,9.6,50126,891.4,1238.395238,4.2,1
2009-09-01,69.37863636,52.9,157059,130259,130259,68.8187,9883.4,215.861,73.5,27893.916589999997,5984750,585,386,9.8,52991,865.4,1219.1545449999999,14.1,0
2009-10-01,75.77227273,52.6,163669,130061,130061,69.1297,9931.9,216.50900000000001,70.6,29557.78287,5765600,534,396,10.0,52061,835.0,1175.247619,11.5,1
2009-11-01,77.95047619,55.7,160032,130073,130073,69.5147,9940.5,217.234,67.4,27541.72078,5460500,588,375,9.9,52778,815.3,1164.233333,16.7,1
2009-12-01,74.60304348,53.6,159766,129804,129804,69.8537,9998.9,217.347,72.5,26470.07574,5141750,581,352,9.9,54427,791.5,1166.4545449999998,22.5,0
2010-01-01,78.38619048,54.9,182084,129807,129807,70.8069,10001.8,217.488,74.4,25215.919009999998,4839000,614,345,9.8,52365,772.0,1138.82,15.2,0
2010-02-01,76.29899999999999,58.4,177621,129715,129715,71.2129,10030.6,217.28099999999998,73.6,23342.77751,4793750,604,336,9.8,53386,764.7,1157.0842109999999,17.6,1
2010-03-01,81.25043478,56.5,179916,129895,129895,71.8411,10089.1,217.35299999999998,73.6,24292.2132,4731750,636,381,9.9,56130,744.1,1137.640909,18.9,0
2010-04-01,84.49545455,59.6,186063,130132,130132,72.2743,10112.9,217.403,72.2,25920.188140000002,4728000,687,422,9.9,52604,732.5,1117.109091,20.2,0
2010-05-01,73.74142857,60.4,186327,130666,130666,73.4956,10131.0,217.29,73.6,29052.43835,4674800,583,280,9.6,57162,730.6,1163.1052630000001,21.4,1
2010-06-01,75.35363636,59.7,187821,130530,130530,73.7648,10151.4,217.199,76.0,32843.10004,4583250,536,305,9.4,59728,732.3,1212.333333,8.0,1
2010-07-01,76.15909091,56.2,190184,130442,130442,74.2356,10184.7,217.605,67.8,33266.833589999995,4528600,546,283,9.4,56453,726.1,1207.304545,5.1,0
2010-08-01,76.60181818,55.5,191625,130437,130437,74.5955,10228.2,217.923,68.9,35375.28843,4461250,599,282,9.5,58633,716.4,1179.922727,-7.7,1
2010-09-01,75.26,56.3,200257,130373,130373,74.8797,10249.0,218.275,68.2,35196.69885,4467750,594,317,9.5,59839,707.4,1167.010526,-0.7,0
2010-10-01,81.89952381,54.4,194567,130642,130642,74.7737,10304.7,219.035,67.7,35083.299439999995,4363400,543,291,9.4,57751,699.0,1123.447619,1.0,1
2010-11-01,84.19181818,56.9,196177,130765,130765,74.8673,10354.7,219.59,71.6,34564.29389,4195500,545,287,9.8,60426,693.9,1126.2045449999998,22.5,1
2010-12-01,89.22347826,56.6,194518,130839,130839,75.64399999999999,10392.1,220.472,74.5,30799.58315,4100000,539,326,9.3,61858,687.0,1147.552174,20.8,0
2011-01-01,89.51,58.5,203534,130859,130859,75.5769,10435.5,221.187,74.2,31377.35375,3918400,630,307,9.1,60696,684.3,1120.0714289999999,19.3,0
2011-02-01,89.366,60.8,195611,131072,131072,75.2522,10470.1,221.898,77.5,27244.735810000002,3849250,517,270,9.0,59049,680.5,1118.141176,35.9,1
2011-03-01,102.916087,61.4,210937,131304,131304,75.9846,10550.5,223.046,67.5,27599.66686,3765500,600,300,9.0,62057,678.3,1122.445455,43.4,1
2011-04-01,110.0428571,61.2,201546,131625,131625,75.6763,10587.6,224.093,69.8,29580.282710000003,3770800,554,310,9.1,61957,675.6,1086.8380949999998,18.5,0
2011-05-01,101.25136359999999,60.4,205957,131720,131720,75.7913,10612.0,224.80599999999998,74.3,32788.07161,3773750,561,305,9.0,63863,673.2,1083.535,3.9,0
2011-06-01,96.25409091,53.5,201861,131955,131955,75.932,10636.8,224.80599999999998,71.5,34374.83079,3741750,608,301,9.1,63492,675.8,1081.271429,-7.7,0
2011-07-01,97.19380952,55.3,207547,132016,132016,76.2397,10677.5,225.395,63.7,35152.24325,3721600,623,296,9.0,64870,676.2,1059.5,3.2,0
2011-08-01,86.32130435,51.4,215526,132138,132138,76.5547,10700.6,226.106,55.8,37374.13652,3716000,585,299,9.0,64663,692.3,1073.1681820000001,-30.7,0
2011-09-01,85.61681818,52.5,207678,132374,132374,76.4131,10738.1,226.597,59.5,36418.64286,3742750,650,304,9.0,65559,684.7,1118.61,-17.5,1
2011-10-01,86.40619048,52.5,208606,132578,132578,76.8067,10753.1,226.75,60.8,37824.0717,3701600,610,316,8.8,67585,686.4,1155.445,8.7,0
2011-11-01,97.06636364,51.8,217018,132710,132710,76.6057,10759.5,227.169,63.7,36764.91164,3652500,711,328,8.6,65081,681.9,1132.3136359999999,3.6,0
2011-12-01,98.61227273,52.2,226369,132914,132914,76.8861,10772.2,227.22299999999998,69.9,32872.285130000004,3573400,694,341,8.5,68520,676.6,1147.4545449999998,10.3,1
2012-01-01,100.1486364,53.1,224023,133269,133269,77.2097,10862.1,227.842,75.0,34417.54042,3451250,723,335,8.3,67740,671.9,1145.85,7.3,1
2012-02-01,102.2628571,54.1,226122,133531,133531,77.2402,10953.5,228.329,75.3,28105.186419999998,3381750,704,366,8.3,69729,663.4,1123.347619,10.2,0
2012-03-01,106.1504545,51.9,220455,133769,133769,76.7353,10951.8,228.80700000000002,76.2,31431.34893,3336800,695,354,8.2,69443,659.2,1125.904762,12.5,0
2012-04-01,103.28428570000001,53.3,218051,133852,133852,77.1696,10979.7,229.187,76.4,33016.25383,3323000,753,354,8.2,67904,658.6,1135.55,8.5,0
2012-05-01,94.50695652,54.1,218474,133951,133951,77.1784,10968.6,228.713,79.3,34937.82992,3328000,708,370,8.2,69087,653.4,1154.266667,-5.8,1
2012-06-01,82.35952381,52.5,218603,134023,134023,77.0278,10946.3,228.524,73.2,35949.35945,3324400,757,360,8.2,66981,649.9,1165.505,-16.6,0
2012-07-01,87.89045455,50.2,223677,134176,134176,77.0989,10977.2,228.59,72.3,37930.75521,3305750,740,369,8.2,65108,645.3,1143.363636,-12.9,1
2012-08-01,94.11043478,50.5,203112,134346,134346,76.6028,11004.1,229.918,74.3,37280.62914,3306250,754,375,8.1,63671,643.8,1131.690909,-7.1,1
2012-09-01,94.60600000000001,50.7,216283,134535,134535,76.5147,11061.5,231.015,78.3,37891.82306,3314400,847,385,7.8,63851,640.7,1124.775,-1.9,0
2012-10-01,89.5173913,51.6,217712,134693,134693,76.5534,11099.8,231.638,82.6,40257.08352,3276250,915,358,7.8,65817,639.4,1106.9285710000001,5.7,0
2012-11-01,86.68954545,51.7,218940,134851,134851,76.8008,11136.8,231.24900000000002,82.7,39543.69318,3326250,833,392,7.7,66737,645.6,1087.518182,-10.7,0
2012-12-01,88.19142857,49.9,229511,135088,135088,76.9541,11140.5,231.22099999999998,72.9,34857.57954,3190200,976,399,7.9,66397,655.6,1076.973684,8.1,0
2013-01-01,94.6526087,50.2,218392,135283,135283,76.7396,11202.8,231.679,73.8,37193.6588,3132750,888,446,8.0,69666,666.3,1065.354545,-5.8,0
2013-02-01,95.295,53.1,229342,135562,135562,77.0716,11239.6,232.937,77.6,32742.67759,3058750,962,447,7.7,66186,653.5,1086.678947,-12.5,0
2013-03-01,93.11809524,54.2,210493,135698,135698,77.2816,11227.1,232.282,78.6,27294.0672,3037800,1010,444,7.5,65911,654.9,1102.195,2.0,0
2013-04-01,92.01909091,51.3,221382,135890,135890,77.0537,11205.4,231.797,76.4,33131.92631,3041500,835,441,7.6,67245,653.5,1121.8318179999999,1.3,0
2013-05-01,94.71869565,50.7,230679,136114,136114,77.0493,11244.6,231.893,84.5,36617.62364,3012250,930,428,7.5,69054,646.6,1110.666667,-5.2,0
2013-06-01,95.7895,49.0,240657,136295,136295,77.124,11268.8,232.445,84.1,35885.97883,2992800,839,470,7.5,68803,660.0,1135.210526,12.5,0
2013-07-01,104.54521740000001,50.9,214999,136400,136400,76.7206,11296.7,232.9,85.1,38800.43063,3020250,880,375,7.3,65978,667.8,1127.230435,19.8,0
2013-08-01,106.54636359999999,55.4,222323,136642,136642,77.1577,11329.2,233.456,82.1,39161.29952,2934400,917,381,7.2,65882,664.1,1116.97619,9.3,1
2013-09-01,106.31380949999999,55.7,230374,136831,136831,77.4882,11366.9,233.544,77.5,40144.392510000005,2895750,850,403,7.2,66200,664.9,1087.35,22.3,0
2013-10-01,100.5004348,56.2,225155,137056,137056,77.2874,11419.8,233.669,73.2,41845.47213,2928500,925,444,7.2,64322,664.3,1066.7952380000002,19.8,0
2013-11-01,93.81238095,56.4,238012,137323,137323,77.4494,11487.6,234.1,75.1,40112.27957,2851200,1100,446,6.9,68263,656.1,1062.8238099999999,6.5,0
2013-12-01,97.90227273,57.3,230535,137390,137390,77.6192,11517.9,234.71900000000002,82.5,37500.21288,2858500,1002,433,6.7,66857,652.2,1056.666667,7.0,0
2014-01-01,94.99652174,57.0,223000,137567,137567,77.2295,11512.5,235.28799999999998,81.2,38377.19956,2876750,888,443,6.6,67962,647.7,1064.75,9.4,0
2014-02-01,100.704,51.3,230424,137735,137735,77.8131,11566.2,235.547,81.6,30700.35233,2848750,944,420,6.7,67110,648.9,1071.3,-6.3,0
2014-03-01,100.5733333,53.2,232316,137985,137985,78.487,11643.0,236.028,80.0,31420.87528,2779200,970,405,6.7,68192,646.8,1070.885714,9.0,0
2014-04-01,102.1786364,53.7,235841,138312,138312,78.4423,11702.6,236.468,84.1,36450.2188,2721000,1043,403,6.2,66236,648.5,1044.554545,16.6,0
2014-05-01,102.0031818,54.9,231767,138533,138533,78.6377,11748.4,236.918,81.9,38188.13577,2667400,1007,451,6.3,65504,647.8,1024.989474,15.4,0
2014-06-01,105.2419048,55.4,235877,138857,138857,78.8358,11817.0,237.231,82.5,39607.11866,2588750,911,418,6.1,69424,644.3,1019.3578949999999,17.8,1
2014-07-01,102.986087,55.3,290623,139084,139084,78.8874,11860.5,237.498,81.8,40319.61835,2533500,1085,402,6.2,67521,638.8,1019.9260869999999,23.9,0
2014-08-01,96.38142857,57.1,237140,139272,139272,78.6908,11944.3,237.46,82.5,40093.81709,2504800,984,456,6.1,68353,643.5,1025.36,28.0,0
2014-09-01,93.34909091,59.0,235558,139583,139583,78.818,11957.4,237.477,84.6,45102.77541,2447750,1023,470,5.9,69215,638.2,1033.242105,22.5,0
2014-10-01,84.4,56.6,231044,139841,139841,78.7287,12023.0,237.43,86.9,45335.35172,2423250,1074,476,5.7,65372,643.4,1060.2809519999998,20.7,0
2014-11-01,75.7015,59.0,227599,140127,140127,79.2428,12051.4,236.983,88.8,42483.52944,2408800,1001,442,5.8,64362,638.1,1095.1,40.8,0
2014-12-01,59.09956522,58.7,224958,140396,140396,79.0322,12062.0,236.252,93.6,40395.902460000005,2380000,1073,497,5.6,65561,631.5,1104.327273,24.5,0
2015-01-01,47.60363636,55.5,228061,140609,140609,78.551,12046.0,234.718,98.1,38589.69673,2353000,1092,518,5.7,65854,630.2,1088.861905,6.3,0
2015-02-01,50.7175,53.5,219271,140857,140857,78.0783,12082.4,235.236,95.4,31563.98816,2346750,888,544,5.5,64254,626.0,1098.4,5.2,0
2015-03-01,47.78363636,52.9,228045,140934,140934,77.7947,12158.3,236.005,93.0,41136.91753,2332000,962,480,5.4,64321,624.2,1112.568182,5.0,1
2015-04-01,54.20363636,51.5,226242,141234,141234,77.2778,12193.8,236.15599999999998,95.9,36121.39447,2278750,1191,501,5.4,63970,624.0,1088.663636,7.5,0
2015-05-01,59.26238095,51.5,217850,141553,141553,76.8939,12268.1,236.97400000000002,90.7,39082.029910000005,2259000,1081,500,5.6,62649,616.9,1091.272222,6.7,0
2015-06-01,59.80454545,52.8,229480,141723,141723,76.5911,12308.3,237.68400000000003,96.1,41453.8398,2274250,1199,480,5.3,63225,620.7,1112.195455,15.2,0
2015-07-01,51.16173913,53.5,228826,142016,142016,77.0087,12355.4,238.053,93.1,41215.078180000004,2243250,1138,499,5.2,63979,623.3,1143.221739,5.7,0
2015-08-01,42.86333333,52.7,225666,142138,142138,76.8645,12394.0,238.028,91.9,44138.05527,2253600,1132,521,5.1,63465,627.7,1179.1,8.3,0
2015-09-01,45.48136364,51.1,220050,142271,142271,76.5609,12392.8,237.50599999999997,87.2,45724.951239999995,2239000,1215,458,5.0,63285,636.5,1184.755,-6.0,1
2015-10-01,46.19636364,50.2,226171,142610,142610,76.2641,12416.1,237.78099999999998,90.0,44309.93252,2206200,1062,481,5.0,63011,635.8,1148.180952,-4.5,0
2015-11-01,42.65238095,50.1,224077,142845,142845,75.7226,12450.1,238.016,91.3,41884.77415,2207250,1169,505,5.1,62254,638.6,1151.966667,1.9,0
2015-12-01,37.24130435,48.6,221066,143125,143125,75.2731,12469.1,237.817,92.6,37980.99742,2206250,1157,545,5.0,59922,653.7,1172.236364,-5.9,0
2016-01-01,31.7047619,48.2,226398,143215,143215,75.8803,12482.2,237.833,92.0,37126.43412,2208200,1114,514,4.9,61849,732.4,1201.665,-3.5,0
2016-02-01,30.34857143,48.2,217882,143447,143447,75.3187,12550.1,237.46900000000002,91.7,36066.892530000005,2196750,1208,518,4.9,60788,742.7,1217.35,-2.8,0
2016-03-01,37.77391304,49.5,216926,143681,143681,74.697,12547.2,238.03799999999998,91.0,29812.326910000003,2174500,1115,526,5.0,60517,729.4,1188.213636,12.4,0
