,NEWDATE,미국 신규 실업수당 청구건수2
4,1967-1-01,1118750.0
8,1967-2-01,1162500.0
12,1967-3-01,1243250.0
17,1967-4-01,1281000.0
21,1967-5-01,1277500.0
25,1967-6-01,1246000.0
30,1967-7-01,1246200.0
34,1967-8-01,1209250.0
39,1967-9-01,1181400.0
43,1967-10-01,1172250.0
47,1967-11-01,1148250.0
52,1967-12-01,1170600.0
56,1968-1-01,1173250.0
60,1968-2-01,1164000.0
65,1968-3-01,1139200.0
69,1968-4-01,1076000.0
73,1968-5-01,1078500.0
78,1968-6-01,1065800.0
82,1968-7-01,1060500.0
87,1968-8-01,1085000.0
91,1968-9-01,1051500.0
95,1968-10-01,1043250.0
100,1968-11-01,1042200.0
104,1968-12-01,1075750.0
108,1969-1-01,1091500.0
112,1969-2-01,1098500.0
117,1969-3-01,1077800.0
121,1969-4-01,1035750.0
126,1969-5-01,1004400.0
130,1969-6-01,1008750.0
134,1969-7-01,1086500.0
139,1969-8-01,1084000.0
143,1969-9-01,1090500.0
147,1969-10-01,1114250.0
152,1969-11-01,1167800.0
156,1969-12-01,1253750.0
161,1970-1-01,1365800.0
165,1970-2-01,1421000.0
169,1970-3-01,1483500.0
173,1970-4-01,1640000.0
178,1970-5-01,1826400.0
182,1970-6-01,1849750.0
186,1970-7-01,1879000.0
191,1970-8-01,1939600.0
195,1970-9-01,2056250.0
200,1970-10-01,2214200.0
204,1970-11-01,2299750.0
208,1970-12-01,2210000.0
213,1971-1-01,2100600.0
217,1971-2-01,2100000.0
221,1971-3-01,2138750.0
225,1971-4-01,2145250.0
230,1971-5-01,2170600.0
234,1971-6-01,2186750.0
239,1971-7-01,2122400.0
243,1971-8-01,2187500.0
247,1971-9-01,2239250.0
252,1971-10-01,2204600.0
256,1971-11-01,2145750.0
260,1971-12-01,2087000.0
265,1972-1-01,1923200.0
269,1972-2-01,1926500.0
273,1972-3-01,1898750.0
278,1972-4-01,1887800.0
282,1972-5-01,1875250.0
286,1972-6-01,1863250.0
291,1972-7-01,1949800.0
295,1972-8-01,1813250.0
