DATE,컨퍼런스보드 소비자 심리지수
2007-02-01,111.2
2007-03-01,108.2
2007-04-01,106.3
2007-05-01,108.5
2007-06-01,105.3
2007-07-01,111.9
2007-08-01,105
2007-09-01,99.5
2007-10-01,95.2
2007-11-01,183
2007-12-01,271.6
2008-01-01,359.5
2008-02-01,76.4
2008-03-01,65.9
2008-04-01,62.8
2008-05-01,58.1
2008-06-01,51
2008-07-01,51.9
2008-08-01,58.5
2008-09-01,61.4
2008-10-01,38
2008-11-01,82.9
2008-12-01,121.5
2009-01-01,159.2
2009-02-01,25.3
2009-03-01,26.9
2009-04-01,40.8
2009-05-01,54.8
2009-06-01,49.3
2009-07-01,47.4
2009-08-01,54.5
2009-09-01,53.4
2009-10-01,48.7
2009-11-01,99.3
2009-12-01,152.9
2010-01-01,209.4
2010-02-01,46
2010-03-01,52.3
2010-04-01,57.7
2010-05-01,62.7
2010-06-01,54.3
2010-07-01,51
2010-08-01,53.2
2010-09-01,48.5
2010-10-01,49.9
2010-11-01,104.2
2010-12-01,157.5
2011-01-01,222.3
2011-02-01,72
2011-03-01,63.8
2011-04-01,66
2011-05-01,61.7
2011-06-01,57.6
2011-07-01,59.2
2011-08-01,45.2
2011-09-01,46.4
2011-10-01,40.9
2011-11-01,96.1
2011-12-01,160.9
2012-01-01,222.4
2012-02-01,71.6
2012-03-01,69.5
2012-04-01,68.7
2012-05-01,64.4
2012-06-01,62.7
2012-07-01,65.4
2012-08-01,61.3
2012-09-01,68.4
2012-10-01,72.2
2012-11-01,143.7
2012-12-01,210.4
2013-01-01,268.8
2013-02-01,68
2013-03-01,61.9
2013-04-01,69
2013-05-01,74.3
2013-06-01,82.1
2013-07-01,81
2013-08-01,81.8
2013-09-01,80.2
2013-10-01,72.4
2013-11-01,144.4
2013-12-01,221.9
2014-01-01,301.3
2014-02-01,78.3
2014-03-01,83.9
2014-04-01,81.7
2014-05-01,82.2
2014-06-01,86.4
2014-07-01,90.3
2014-08-01,93.4
2014-09-01,89
2014-10-01,94.1
2014-11-01,185.1
2014-12-01,278.2
2015-01-01,382
2015-02-01,98.8
2015-03-01,101.4
2015-04-01,95.2
2015-05-01,95.4
2015-06-01,101.4
2015-07-01,90.9
2015-08-01,101.5
2015-09-01,103
2015-10-01,97.6
2015-11-01,188
2015-12-01,284.5
2016-01-01,382.6
2016-02-01,92.2
2016-03-01,96.2
2016-04-01,94.2
2016-05-01,92.6
2016-06-01,98
2016-07-01,97.3
2016-08-01,101.1
2016-09-01,104.1
2016-10-01,98.6
2016-11-01,205.7
2016-12-01,319.4
2017-01-01,431.2
2017-02-01,114.8
