DATE,±Ý½Ã¼¼
2009-10-01,39911.08
2009-11-01,42104.27333
2009-12-01,42457.66955
2010-01-01,40955.973
2010-02-01,40740.19
2010-03-01,40691.60955
2010-04-01,41115.46591
2010-05-01,45360.87474
2010-06-01,46258.12905
2010-07-01,46288.91273
2010-08-01,46104.45909
2010-09-01,47375.5
2010-10-01,48484.13429
2010-11-01,47480.20773
2010-12-01,51210.0787
2011-01-01,49118.89
2011-02-01,49510.38882
2011-03-01,51220.05364
2011-04-01,51564.82143
2011-05-01,52736.857
2011-06-01,53153.28381
2011-07-01,53398.95905
2011-08-01,60680.96045
2011-09-01,64110.91
2011-10-01,61676.3775
2011-11-01,63317.38
2011-12-01,60763.08318
2012-01-01,60531.9615
2012-02-01,63022.10857
2012-03-01,60765.95524
2012-04-01,60229.5505
2012-05-01,58963.78905
2012-06-01,59723.6555
2012-07-01,58508.01455
2012-08-01,59334.43909
2012-09-01,62965.177
2012-10-01,61979.69857
2012-11-01,60273.78273
2012-12-01,58367.79947
2013-01-01,57384.79636
2013-02-01,56969.95474
2013-03-01,56583.371
2013-04-01,53759.58727
2013-05-01,50706.22143
2013-06-01,49033.32263
2013-07-01,46592.85565
2013-08-01,48378.83333
2013-09-01,47176.65278
2013-10-01,45081.96238
2013-11-01,43677.54
2013-12-01,41517.39667
2014-01-01,42608.3455
2014-02-01,44705.182
2014-03-01,46028.07286
2014-04-01,43530.02409
2014-05-01,42402.19737
2014-06-01,41948.12632
2014-07-01,43068.93087
2014-08-01,42680.506
2014-09-01,41249.82895
2014-10-01,41773.02476
2014-11-01,41495.079
2014-12-01,42527.675
2015-01-01,43761.72857
2015-02-01,43675.44176
2015-03-01,42275.12773
2015-04-01,41911.29
2015-05-01,42166.69889
2015-06-01,42330.40545
2015-07-01,41719.40478
2015-08-01,42412.173
2015-09-01,42847.808
2015-10-01,42638.00333
2015-11-01,40435.09857
2015-12-01,40348.72091
2016-01-01,42446.169
2016-02-01,46930.87944
2016-03-01,47315.24909
2016-04-01,45810.177
2016-05-01,47520.683
2016-06-01,47943.84238
2016-07-01,49172.79667
2016-08-01,47949.535
2016-09-01,47282.21684
2016-10-01,45921.835
2016-11-01,46383.67
2016-12-01,43855.06773
2017-01-01,45279.5745
2017-02-01,45330.6465
2017-03-01,44880.20727
2017-04-01,46286.0805
2017-05-01,45096.29684
2017-06-01,45873.8919
2017-07-01,45035.18286
2017-08-01,46693.06545
2017-09-01,47961.75
2017-10-01,46616.99125
2017-11-01,45480.12045
2017-12-01,44172.7545
2018-01-01,45689.64455
2018-02-01,46258.305
2018-03-01,45691.67
2018-04-01,45857.98571
2018-05-01,45147.3175
2018-06-01,45126.81842
2018-07-01,44742.805
2018-08-01,43340.72909
2018-09-01,43206.98176
2018-10-01,44306.7781
2018-11-01,44280.85591
2018-12-01,45164.083
2019-01-01,46631.12318
2019-02-01,47714.47529
2019-03-01,47389.3055
2019-04-01,47273.65909
2019-05-01,48927.10333
2019-06-01,51337.84474
