DATE,미국 IHS 제조업 PMI
2012-04-01,56
2012-05-01,53.9
2012-06-01,53.45
2012-07-01,52.15
2012-08-01,51.65
2012-09-01,51.5
2012-10-01,51.2
2012-11-01,51.7
2012-12-01,53.5
2013-01-01,55.05
2013-02-01,55.5
2013-03-01,54.6
2013-04-01,53.3
2013-05-01,52
2013-06-01,52.25
2013-07-01,52.55
2013-08-01,53.8
2013-09-01,52.95
2013-10-01,51.95
2013-11-01,53.05
2013-12-01,54.55
2014-01-01,54.35
2014-02-01,55.2
2014-03-01,56.3
2014-04-01,55.45
2014-05-01,55.8
2014-06-01,57.5
2014-07-01,56.8
2014-08-01,56.9
2014-09-01,57.9
2014-10-01,56.85
2014-11-01,55.3
2014-12-01,54.25
2015-01-01,53.8
2015-02-01,54.1
2015-03-01,55.2
2015-04-01,54.95
2015-05-01,53.95
2015-06-01,53.7
2015-07-01,53.7
2015-08-01,53.35
2015-09-01,53
2015-10-01,53.55
2015-11-01,53.35
2015-12-01,52.05
2016-01-01,51.95
2016-02-01,51.7
2016-03-01,51.35
2016-04-01,51.15
2016-05-01,50.65
2016-06-01,51.05
2016-07-01,52.1
2016-08-01,52.5
2016-09-01,51.7
2016-10-01,52.35
2016-11-01,53.65
2016-12-01,54.15
2017-01-01,54.7
2017-02-01,54.65
2017-03-01,53.8
2017-04-01,53.05
2017-05-01,52.65
2017-06-01,52.4
2017-07-01,52.6
2017-08-01,52.9
2017-09-01,52.9
2017-10-01,53.8
2017-11-01,54.2
2017-12-01,54.45
2018-01-01,55.3
2018-02-01,55.7
2018-03-01,55.5
2018-04-01,56.05
2018-05-01,56.55
2018-06-01,55.5
2018-07-01,55.45
2018-08-01,54.9
2018-09-01,55.15
2018-10-01,55.75
2018-11-01,55.55
2018-12-01,54.6
2019-01-01,54.35
2019-02-01,54.3
2019-03-01,52.75
2019-04-01,52.4
2019-05-01,51.6
2019-06-01,50.3
