DATE,미국 장단기 스프레드
2014-07-01,1.947391304
2014-08-01,1.947619048
2014-09-01,1.878181818
2014-10-01,1.777826087
2014-11-01,1.6185
2014-12-01,1.503478261
2015-01-01,1.209090909
2015-02-01,1.2885
2015-03-01,1.402272727
2015-04-01,1.395
2015-05-01,1.512857143
2015-06-01,1.675
2015-07-01,1.584782609
2015-08-01,1.46952381
2015-09-01,1.393181818
2015-10-01,1.360454545
2015-11-01,1.247142857
2015-12-01,1.205217391
2016-01-01,1.072857143
2016-02-01,0.996190476
2016-03-01,0.97
2016-04-01,1.037142857
2016-05-01,0.945
2016-06-01,0.912727273
2016-07-01,0.791904762
2016-08-01,0.819130435
2016-09-01,0.820454545
2016-10-01,0.877619048
2016-11-01,1.056818182
2016-12-01,1.236363636
2017-01-01,1.114545455
2017-02-01,1.157
2017-03-01,1.168695652
2017-04-01,1.0035
2017-05-01,0.95826087
2017-06-01,0.844545455
2017-07-01,0.90047619
2017-08-01,0.873913043
2017-09-01,0.778571429
2017-10-01,0.773636364
2017-11-01,0.626818182
2017-12-01,0.531904762
2018-01-01,0.503913043
2018-02-01,0.6495
2018-03-01,0.540909091
2018-04-01,0.484761905
2018-05-01,0.445652174
2018-06-01,0.379047619
2018-07-01,0.269545455
2018-08-01,0.253478261
2018-09-01,0.2245
2018-10-01,0.278695652
2018-11-01,0.234545455
2018-12-01,0.141428571
2019-01-01,0.155652174
2019-02-01,0.1635
2019-03-01,0.161428571
2019-04-01,0.179090909
2019-05-01,0.180434783
2019-06-01,0.26
