DATE,미연준 기준금리
2014-06-01,0.25
2014-07-01,0.25
2014-08-01,0.25
2014-09-01,0.25
2014-10-01,0.25
2014-11-01,0.25
2014-12-01,0.25
2015-01-01,0.25
2015-02-01,0.25
2015-03-01,0.25
2015-04-01,0.25
2015-05-01,0.25
2015-06-01,0.25
2015-07-01,0.25
2015-08-01,0.25
2015-09-01,0.25
2015-10-01,0.25
2015-11-01,0.25
2015-12-01,0.379032258
2016-01-01,0.5
2016-02-01,0.5
2016-03-01,0.5
2016-04-01,0.5
2016-05-01,0.5
2016-06-01,0.5
2016-07-01,0.5
2016-08-01,0.5
2016-09-01,0.5
2016-10-01,0.5
2016-11-01,0.5
2016-12-01,0.64516129
2017-01-01,0.75
2017-02-01,0.75
2017-03-01,0.879032258
2017-04-01,1
2017-05-01,1
2017-06-01,1.133333333
2017-07-01,1.25
2017-08-01,1.25
2017-09-01,1.25
2017-10-01,1.25
2017-11-01,1.25
2017-12-01,1.39516129
2018-01-01,1.5
2018-02-01,1.5
2018-03-01,1.580645161
2018-04-01,1.75
2018-05-01,1.75
2018-06-01,1.891666667
2018-07-01,2
2018-08-01,2
2018-09-01,2.033333333
2018-10-01,2.25
2018-11-01,2.25
2018-12-01,2.346774194
2019-01-01,2.5
2019-02-01,2.5
2019-03-01,2.5
2019-04-01,2.5
2019-05-01,2.5
