DATE,컨퍼런스보드 소비자 심리지수 Actual,Consensus,Previous,Revised
2019-06-25,,,,
2019-05-28,,,,
2019-04-30,,,,
2019-03-26,,,,
2019-02-26,,,,
2019-01-29,,,,
2018-12-27,,,,
2018-11-27,,,,
2018-10-30,,,,
2018-09-25,,,,
2018-08-28,,,,
2018-07-31,,,,
2018-06-26,,,,
2018-05-29,,,,
2018-04-24,,,,
2018-03-27,,,,
2018-02-27,,,,
2018-01-30,,,125.6,
2017-03-28,125.6,114,114.8,116.1
2017-02-28,114.8,110.9,111.8,111.6
2017-01-31,111.8,112.5,113.7,
2016-12-27,113.7,109,107.1,109.4
2016-11-29,107.1,101.2,98.6,100.8
2016-10-25,98.6,101,104.1,103.5
2016-09-27,104.1,99,101.1,101.8
2016-08-30,101.1,97,97.3,96.7
2016-07-26,97.3,95.7,98,97.4
2016-06-28,98,93.3,92.6,92.4
2016-05-31,92.6,96,94.2,94.7
2016-04-26,94.2,96,96.2,96.1
2016-03-29,96.2,94,92.2,94
2016-02-23,92.2,97,98.1,97.8
2016-01-26,98.1,96.5,96.5,96.3
2015-12-29,96.5,93.8,90.4,92.6
2015-11-24,90.4,99.5,97.6,99.1
2015-10-27,97.6,102.9,103,102.6
2015-09-29,103,96.1,101.5,101.3
2015-08-25,101.5,93.3,90.9,91
2015-07-28,90.9,100,101.4,99.8
2015-06-30,101.4,97.3,95.4,94.6
2015-05-26,95.4,95,95.2,94.3
2015-04-28,95.2,101.6,101.4,101.3
2015-03-31,101.4,96,98.8,96.4
2015-02-24,98.8,99.6,103.8,102.9
2015-01-27,103.8,95.1,93.1,92.6
2014-12-30,93.1,93,91,88.7
2014-11-25,91,96,94.1,94.5
2014-10-28,94.1,87,89,86
2014-09-30,89,92.5,93.4,92.4
2014-08-26,93.4,89,90.3,90.9
2014-07-29,90.3,85.3,86.4,85.2
2014-06-24,86.4,83.5,82.2,83
2014-05-27,82.2,83,81.7,82.3
2014-04-29,81.7,83,83.9,82.3
2014-03-25,83.9,78.6,78.3,78.1
2014-02-25,78.3,80,79.4,80.7
2014-01-28,79.4,78.1,77.5,78.1
2013-12-31,77.5,76,72,70.4
2013-11-26,72,72.9,72.4,71.2
2013-10-29,72.4,75,80.2,79.7
2013-09-24,80.2,79.8,81.8,81.5
2013-08-27,81.8,80.3,81,80.3
2013-07-30,81,81.5,82.1,81.4
2013-06-25,82.1,75.4,74.3,76.2
2013-05-28,74.3,71,69,68.1
2013-04-30,69,60.8,61.9,59.7
2013-03-26,61.9,68,68,69.6
2013-02-26,68,61,58.4,58.6
2013-01-29,58.4,64,66.7,65.1
2012-12-27,66.7,70.3,71.5,73.7
2012-11-27,71.5,73,72.2,
2012-11-01,72.2,72.5,68.4,70.3
2012-09-25,68.4,63,61.3,60.6
2012-08-28,61.3,66,65.4,65.9
2012-07-31,65.4,61.5,62.7,62
2012-06-26,62.7,63.5,64.4,64.9
2012-05-29,64.4,70,68.7,69.2
2012-04-24,68.7,69.7,69.5,70.2
2012-03-27,69.5,70,71.6,70.8
2012-02-28,71.6,63,61.5,61.1
2012-01-31,61.5,68,64.8,64.5
2011-12-27,64.8,58.5,55.2,56
2011-11-29,55.2,44,40.9,39.8
2011-10-25,40.9,46.2,46.4,45.4
2011-09-27,46.4,46,45.2,45.2
2011-08-30,45.2,52.2,59.2,59.5
2011-07-26,59.2,57.9,57.6,58.5
2011-06-28,57.6,61,61.7,60.8
2011-05-31,61.7,66,66,65.4
2011-04-26,66,64.5,63.8,
2011-03-29,63.8,66,72,70.4
2011-02-22,72,63,64.8,60.6
2011-01-25,64.8,54.5,53.3,52.5
2010-12-28,53.3,56.3,54.3,54.1
2010-11-30,54.3,52.9,49.9,50.2
2010-10-26,49.9,49.5,48.5,
2010-09-28,48.5,52.5,53.2,53.5
2010-08-31,53.2,51,51,50.4
2010-07-27,51,51,54.3,52.9
2010-06-29,54.3,62.5,62.7,63.3
2010-05-25,62.7,59.1,57.7,57.9
2010-04-27,57.7,54.2,52.3,52.5
2010-03-30,52.3,50.3,46,
2010-02-23,46,54.6,56.5,55.9
2010-01-26,56.5,53.6,53.6,52.9
2009-12-29,53.6,53.2,50.6,49.5
2009-11-24,50.6,47.3,48.7,47.7
2009-10-27,48.7,53.6,53.4,53.1
2009-09-29,53.4,57,54.5,54.1
2009-08-25,54.5,48,47.4,46.6
2009-07-28,47.4,,49.3,
2009-06-30,49.3,55.1,54.8,54.9
2009-05-26,54.8,42,40.8,39.2
2009-04-28,40.8,29,26.9,29.9
2009-03-31,26.9,25.9,25.3,25
2009-02-24,25.3,36,37.7,
2009-01-27,37.7,37.9,38.6,38
2008-12-30,38.6,,44.9,
2008-11-25,44.9,39,38,
2008-10-28,38,52.2,61.4,59.8
2008-09-30,61.4,55,58.5,56.9
2008-08-26,58.5,53,51.9,
2008-07-29,51.9,50,51,50.4
2008-06-24,51,56.7,58.1,57.2
2008-05-27,58.1,60.1,62.8,62.3
2008-04-29,62.8,62,65.9,64.5
2008-03-25,65.9,73.5,76.4,75
2008-02-26,76.4,82,87.9,
2008-01-29,87.9,87.5,88.6,
2007-12-27,88.6,86.5,87.8,87.3
2007-11-27,87.8,91,95.2,95.6
2007-10-30,95.2,99,99.5,99.8
2007-09-25,99.5,104.5,105,
2007-08-28,105,105,111.9,
2007-07-31,111.9,105,105.3,103.9
2007-06-26,105.3,106,108.5,108
2007-05-25,108.5,104.5,106.3,104
2007-04-24,106.3,105,108.2,107.2
2007-03-27,108.2,109,111.2,112.5
2007-02-27,111.2,109,,110.3
