DATE,Volume,HM4UP,BAA,CSUSHPINSA,PCE,LREMTTTTUSM156S,DGORDER,TWEXBMTH,UNRATENSA,TCU,INDPRO,PPIACO,CPIAUCSL,HOUST,HSN1F,FEDFUNDS,USSLIND,TOTALSA,NEWORDER,UMCSENT,AMBNS,EXJPUS,EXKOUS,EXCHUS,T10Y2YM,XTEXVA01CNM667S,GACDFSA066MSFRBPHI,XTIMVA01KRM667S,KORPROINDMISMEI,KORCPIALLMINMEI,LRUNTTTTKRM156S,IR3TCD01KRM156N
2009-05-01,10956200,0,8.06,148.178,9748.9,59.6,150082,106.3212,9.1,66.9601,87.4155,170.8,213.022,540,376,0.18,-1.34,10.176,48777,68.7,1797.662,96.6445,1254.345,6.8235,2.36,91693975472,-22.4,23986456118,77.09242437,88.405,3.9,2.41
2009-06-01,10618400,1,7.5,149.804,9806.9,59.4,146586,104.9626,9.7,66.6872,87.0742,174.1,214.79,585,393,0.21,-0.81,10.149,50508,70.8,1701.768,96.6145,1259.2932,6.8334,2.54,93764532100,0.2,25779315038,80.13367781,88.327,3.9,2.41
2009-07-01,10723400,0,7.09,150.752,9841.7,59.3,155213,104.5704,9.7,67.4362,88.0323,172.5,214.726,594,411,0.16,-0.26,11.565,51053,66,1695.747,94.367,1259.6739,6.8317,2.54,97559948314,-6.6,27043202018,82.06883907,88.641,3.8,2.41
2009-08-01,10543400,1,6.58,150.67,9961,59.1,158266,103.3205,9.6,68.2344,89.019,175,215.445,586,418,0.16,-0.1,14.754,50126,65.7,1727.451,94.8971,1238.9952,6.8323,2.47,99894473207,8.8,28434692557,82.73689474,88.955,3.8,2.48
2009-09-01,7676200,0,6.31,149.629,9883.4,58.7,157059,102.5432,9.5,68.8187,89.6926,174.1,215.861,585,386,0.15,0.26,9.536,52991,73.5,1819.668,91.2748,1211.8643,6.8277,2.44,1.06742E+11,15.1,30038212147,86.14817901,89.034,3.6,2.64
2009-10-01,5595600,1,6.29,148.589,9931.9,58.5,163669,101.0834,9.5,69.1297,89.9797,175.2,216.509,534,396,0.12,0.12,10.576,52061,70.6,1964.315,90.3671,1173.7405,6.8267,2.44,1.09707E+11,12.7,30283009959,84.552046,88.798,3.5,2.79
2009-11-01,7338600,1,6.32,147.947,9940.5,58.6,160032,100.6049,9.4,69.5147,90.3375,177.4,217.234,588,375,0.12,0.41,11.04,52778,67.4,2046.347,89.2674,1162.8368,6.8271,2.6,1.10184E+11,15.4,29418956560,85.06808901,88.955,3.7,2.79
2009-12-01,9179800,0,6.37,146.676,9998.9,58.3,159766,101.0176,9.7,69.8537,90.6132,178.1,217.347,581,352,0.12,0.59,11.284,54427,72.5,2045.522,89.9509,1163.3109,6.8275,2.72,1.16695E+11,16.5,31362070881,86.22418535,89.269,3.6,2.82
2010-01-01,7208400,0,6.25,145.003,10001.8,58.5,182084,101.3292,10.6,70.8069,91.6642,181.9,217.488,614,345,0.11,0.48,10.893,52365,74.4,2018.743,91.1011,1138.1947,6.8269,2.8,1.14533E+11,12.9,31980614350,87.35427952,89.974,4.7,2.88
2010-02-01,9177000,1,6.34,143.056,10030.6,58.5,177621,102.7845,10.4,71.2129,91.994,181,217.281,604,336,0.13,0.69,10.315,53386,73.6,2141.174,90.1395,1155.6553,6.8285,2.83,1.30578E+11,13.9,34003620054,89.00541712,90.156,4.1,2.88
2010-03-01,9276800,0,6.27,143.596,10089.1,58.5,179916,101.9633,10.2,71.8411,92.5993,183.3,217.353,636,381,0.16,1,11.772,56130,73.6,2097.924,90.7161,1136.0822,6.8262,2.77,1.16421E+11,14.2,33718109515,90.15951329,90.338,3.7,2.83
2010-04-01,7554400,0,6.25,145.398,10112.9,58.7,186063,101.4563,9.5,72.2743,92.9436,184.4,217.403,687,422,0.2,1.06,11.454,52604,72.2,2037.644,93.4527,1115.4591,6.8256,2.79,1.20928E+11,16,34805621553,91.64063672,90.702,3.6,2.51
2010-05-01,6700800,1,6.05,147.031,10131,58.6,186327,104.2648,9.3,73.4956,94.2997,184.8,217.29,583,280,0.2,1.34,12.03,57162,73.6,2032.786,91.973,1164.841,6.8275,2.59,1.33903E+11,22.2,35936892623,92.57871489,90.793,3.2,2.45
2010-06-01,8028400,1,6.23,147.695,10151.4,58.5,187821,104.8328,9.6,73.7648,94.4397,183.5,217.199,536,305,0.18,1.39,11.598,59728,76,2021.411,90.8059,1214.1114,6.8184,2.48,1.34099E+11,14.9,35138172001,92.80373364,90.702,3.5,2.45
2010-07-01,7271800,0,6.01,147.552,10184.7,58.5,190184,103.2002,9.7,74.2356,94.8536,184.1,217.605,546,283,0.18,1.36,11.947,56453,67.8,2017.643,87.5005,1203.8095,6.7762,2.39,1.36146E+11,7.7,35352306962,93.4247854,90.884,3.7,2.58
2010-08-01,6299600,1,5.66,146.413,10228.2,58.6,191625,102.3998,9.5,74.5955,95.1448,184.9,217.923,599,282,0.19,0.86,12.014,58633,68.9,2013.93,85.3727,1179.5159,6.7873,2.18,1.32907E+11,3.6,36075419292,92.94874573,91.34,3.5,2.63
2010-09-01,7760200,0,5.66,144.597,10249,58.5,200257,101.3996,9.2,74.8797,95.3637,184.9,218.275,594,317,0.19,0.5,11.922,59839,68.2,1981.158,84.3571,1159.931,6.7396,2.17,1.34724E+11,4.5,35283502111,93.59979998,92.068,3.7,2.66
2010-10-01,7287000,1,5.72,143.126,10304.7,58.3,194567,98.7679,9,74.7737,95.1109,186.6,219.035,543,291,0.19,0.77,12.414,57751,67.7,1987.401,81.7285,1121.94,6.6678,2.16,1.37858E+11,0.3,37080037844,93.45078757,92.068,3.6,2.66
2010-11-01,8711800,1,5.92,141.823,10354.7,58.2,196177,99.0493,9.3,74.8673,95.1383,187.7,219.59,545,287,0.19,1.37,12.3,60426,71.6,1992.808,82.518,1129.623,6.6538,2.31,1.45402E+11,19.1,37807460481,94.2528544,91.613,3.3,2.73
