DATE,Open,High,Low,Close,Adj Close,Volume,rate,CW5,CW5U,CW5D,CW5N,CW8,CW8U,CW8D,CW8N,CW10,CW10U,CW10D,CW10N,CW4,CW4U,CW4D,CW4N,OHrate,HM4UP,HM8UP,HM10UP,Olrate,LM4DN,LM8DN,LM10DN
2008-12-01,1132.869995,1228.560059,1085.719971,1162.109985,1162.109985,7222400,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,0.084466942,1,1,0,-0.041619978,1,0,0
2009-01-01,1145.869995,1227.72998,1036.670044,1063.030029,1063.030029,10345600,-0.085258674,-1,0,1,0,-1,0,1,0,0,0,0,1,-1,0,1,0,0.071439156,1,0,0,-0.095298726,1,1,0
2009-02-01,1044.280029,1256.699951,992.690002,1206.26001,1206.26001,11485200,0.134737474,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0.203412797,1,1,1,-0.049402484,1,0,0
2009-03-01,1214.060059,1377.819946,1201.709961,1369.359985,1369.359985,16097400,0.135211292,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0.13488615,1,1,1,-0.010172559,0,0,0
2009-04-01,1386.02002,1436.920044,1315.209961,1395.890015,1395.890015,13548600,0.019374036,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0.036723874,0,0,0,-0.051088771,1,0,0
2009-05-01,1394.920044,1437.76001,1350.310059,1390.069946,1390.069946,10956200,-0.004169432,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0.030711413,0,0,0,-0.031980317,0,0,0
2009-06-01,1386.329956,1559.069946,1377.599976,1557.290039,1557.290039,10618400,0.120296172,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0.124602364,1,1,1,-0.006297188,0,0,0
2009-07-01,1561.939941,1616.290039,1530.650024,1591.849976,1591.849976,10723400,0.022192357,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0.034796535,0,0,0,-0.020032727,0,0,0
2009-08-01,1592.290039,1723.170044,1583.109985,1673.140015,1673.140015,10543400,0.051066395,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0.082196083,1,1,0,-0.005765315,0,0,0
2009-09-01,1680.459961,1685.01001,1564.410034,1580.689941,1580.689941,7676200,-0.055255432,-1,0,1,0,0,0,0,1,0,0,0,1,-1,0,1,0,0.002707621,0,0,0,-0.06905843,1,0,0
2009-10-01,1543.23999,1630.410034,1519.400024,1555.599976,1555.599976,5595600,-0.015872793,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0.056485086,1,0,0,-0.015447997,0,0,0
2009-11-01,1550.349976,1695.329956,1541.089966,1682.77002,1682.77002,7338600,0.081749837,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0.093514356,1,1,0,-0.005972851,0,0,0
2009-12-01,1681.709961,1723.219971,1595.390015,1602.430054,1602.430054,9179800,-0.047742689,0,0,0,1,0,0,0,1,0,0,0,1,-1,0,1,0,0.024683216,0,0,0,-0.051328676,1,0,0
2010-01-01,1603.869995,1631.709961,1548.780029,1594.579956,1594.579956,7208400,-0.004898871,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0.017357994,0,0,0,-0.034348149,0,0,0
2010-02-01,1612.430054,1705.569946,1608.969971,1692.849976,1692.849976,9177000,0.061627527,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0.057763679,1,0,0,-0.002145881,0,0,0
2010-03-01,1695.300049,1757.76001,1695.300049,1741.560059,1741.560059,9276800,0.028774011,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0.036843013,0,0,0,0,0,0,0
2010-04-01,1735.680054,1740.150024,1532.680054,1641.25,1641.25,7554400,-0.057597818,-1,0,1,0,0,0,0,1,0,0,0,1,-1,0,1,0,0.002575342,0,0,0,-0.116957039,1,1,1
2010-05-01,1634.550049,1741.47998,1618.569946,1698.290039,1698.290039,6700800,0.034754022,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0.065418573,1,0,0,-0.009776454,0,0,0
2010-06-01,1687,1778.719971,1650.300049,1759.329956,1759.329956,8028400,0.035941986,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0.054368685,1,0,0,-0.021754565,0,0,0
2010-07-01,1771.380005,1797.420044,1716.859985,1742.75,1742.75,7271800,-0.009424017,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0.014700425,0,0,0,-0.030778274,0,0,0
2010-08-01,1751.959961,1873.790039,1748.300049,1872.810059,1872.810059,6299600,0.074629212,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0.069539305,1,0,0,-0.002089039,0,0,0
2010-09-01,1872.390015,1924.609985,1837.079956,1882.949951,1882.949951,7760200,0.005414266,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0.027889473,0,0,0,-0.018858282,0,0,0
2010-10-01,1889.569946,1976.459961,1875.339966,1904.630005,1904.630005,7287000,0.011513877,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0.045984016,1,0,0,-0.007530804,0,0,0
2010-11-01,1907.699951,2052.969971,1904.709961,2051,2051,8711800,0.076849569,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0.076149302,1,0,0,-0.001567327,0,0,0
2010-12-01,2063.689941,2121.060059,2054.830078,2069.72998,2069.72998,8110600,0.009132121,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0.027799776,0,0,0,-0.004293214,0,0,0
2011-01-01,2079.919922,2107.830078,1935.930054,1939.300049,1939.300049,5079800,-0.063017849,-1,0,1,0,0,0,0,1,0,0,0,1,-1,0,1,0,0.013418861,0,0,0,-0.069228563,1,0,0
2011-02-01,1922.380005,2106.73999,1882.089966,2106.699951,2106.699951,6618600,0.086319753,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0.095901947,1,1,0,-0.020958416,0,0,0
2011-03-01,2107.669922,2231.469971,2081.97998,2192.360107,2192.360107,7719600,0.040660824,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0.058737873,1,0,0,-0.012188788,0,0,0
2011-04-01,2203.090088,2229.090088,2030.680054,2142.469971,2142.469971,6219800,-0.02275636,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0.011801605,0,0,0,-0.078258277,1,0,0
2011-05-01,2142.669922,2152.949951,2008.839966,2100.689941,2100.689941,5473000,-0.019500871,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0.004797766,0,0,0,-0.062459437,1,0,0
2011-06-01,2120.030029,2192.830078,2105.23999,2133.209961,2133.209961,6595200,0.015480638,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0.034339159,0,0,0,-0.006976335,0,0,0
2011-07-01,2160.090088,2173.280029,1684.680054,1880.109985,1880.109985,9609800,-0.118647475,-1,0,1,0,-1,0,1,0,-1,0,1,0,-1,0,1,0,0.006106199,0,0,0,-0.220088059,1,1,1
2011-08-01,1887.209961,1928.400024,1644.109985,1769.650024,1769.650024,7688800,-0.058751861,-1,0,1,0,0,0,0,1,0,0,0,1,-1,0,1,0,0.021825904,0,0,0,-0.128814483,1,1,1
