,Open,High,Low,Close,Adj Close,Volume,OHrate,HM4UP,HM8UP,HM10UP,Olrate,LM4DN,LM8DN,LM10DN,BAA,CSUSHPINSA,PCE,LREMTTTTUSM156S,DGORDER,TWEXBMTH,UNRATENSA,TCU,INDPRO,PPIACO,CPIAUCSL,HOUST,HSN1F,FEDFUNDS,USSLIND,TOTALSA,NEWORDER,UMCSENT,AMBNS,EXJPUS,EXKOUS,EXCHUS,T10Y2YM,XTEXVA01CNM667S,GACDFSA066MSFRBPHI,XTIMVA01KRM667S,KORPROINDMISMEI,KORCPIALLMINMEI,LRUNTTTTKRM156S,IR3TCD01KRM156N
Open,1.0,0.9778234477222051,0.9510051257691149,0.9362855794109077,0.9362855794109077,-0.13108354433051903,-0.3998843629167407,-0.25020067002913227,-0.31086142595612964,-0.26801074965821114,-0.13042038403644832,0.10893603941786174,0.09446525232676627,0.011087693706174474,-0.7112831432350839,0.6723956710691075,0.7764642683087141,0.5954238851324112,0.7618156791344781,0.5063455120318182,-0.7242423901004705,0.6776496360817644,0.7559617137982272,0.48385087627434675,0.7938843862795206,0.698084655850239,0.6612762010954883,0.6047703597393564,0.5148779306447216,0.6709878471197389,0.637198808394173,0.6686518714171581,0.6355984154179953,0.4238688409118033,-0.4986827990803526,-0.09296907589431164,-0.6551275089859988,0.7323621090236093,0.4754773358774371,0.5470591323526435,0.8258971505798415,0.8053035108576657,0.14101631435641693,-0.4737066454274453
High,0.9778234477222051,1.0,0.9608603985383998,0.9728022314058277,0.9728022314058277,-0.10048916137017731,-0.2012184323933902,-0.08152405330277901,-0.1915070820083867,-0.17707807695226624,-0.024283125938872507,0.00453755747996851,0.04314287959082882,-0.0347114879438657,-0.6923572661257692,0.6661448155784906,0.7667343441843173,0.5995789749919459,0.7374733204512783,0.5062434560713757,-0.7051908198577922,0.6578795533154806,0.7309916460629219,0.46771133936873716,0.7777164905457746,0.663253874223869,0.641979308192854,0.6231087636880266,0.4861318447714674,0.6448061777495401,0.6220514715483605,0.6511985975058512,0.5997344906532618,0.3945811558275621,-0.46383776900548623,-0.04542344692061254,-0.6563727085089884,0.7012819179678855,0.5003872224892392,0.5438583901189684,0.811660504391313,0.7864215860704126,0.15328106698678354,-0.46193754975986673
Low,0.9510051257691149,0.9608603985383998,1.0,0.980313436060032,0.980313436060032,-0.14285449242639714,-0.25450423199456995,-0.12913793150166675,-0.2751824608213643,-0.24438668498086494,0.18092900582113997,-0.12007898348921137,-0.14820680841543482,-0.21983261051791272,-0.7255330761025741,0.6865989292246462,0.7784044131757833,0.6202288821306289,0.7393483286654338,0.5389672162680114,-0.7347876271071319,0.6439108786523329,0.7465431737218108,0.41772044603281744,0.7883744810971683,0.7068514065090026,0.6823237639226002,0.5908522367529148,0.49429317975597004,0.6883602412306833,0.5967147008391196,0.703006224775358,0.6476740857292577,0.45063550848367506,-0.4465849495097903,-0.059477282884882146,-0.6588094484889756,0.7140599668950314,0.5155703446914013,0.4815857438501611,0.8097352683350562,0.7974891968735124,0.16733578105770425,-0.5264062284489212
Close,0.9362855794109077,0.9728022314058277,0.980313436060032,1.0,1.0,-0.1282812939968417,-0.13201944562229803,-0.034422453027421404,-0.16451627727969198,-0.16555896810024495,0.1662614995698131,-0.13761601843150711,-0.11961810718595298,-0.18177182389931937,-0.7095704421746848,0.6643994372921972,0.7623980658433898,0.6035033749110513,0.7305395540558449,0.5186103706548215,-0.7112813996913764,0.6478340164929066,0.7318024114761268,0.4389814447449645,0.7741128130395954,0.6757433757140068,0.651812129120783,0.5863571399547723,0.4966429933351147,0.6688137304742912,0.606359462625827,0.6741190038267696,0.6283607075012442,0.4210717230362619,-0.4430684214354159,-0.05833294342010171,-0.6486655512667464,0.700878317382178,0.5067824719844449,0.5084560638527317,0.80726474784819,0.7864535582310631,0.1455976805734356,-0.4920822592962224
Adj Close,0.9362855794109077,0.9728022314058277,0.980313436060032,1.0,1.0,-0.1282812939968417,-0.13201944562229803,-0.034422453027421404,-0.16451627727969198,-0.16555896810024495,0.1662614995698131,-0.13761601843150711,-0.11961810718595298,-0.18177182389931937,-0.7095704421746848,0.6643994372921972,0.7623980658433898,0.6035033749110513,0.7305395540558449,0.5186103706548215,-0.7112813996913764,0.6478340164929066,0.7318024114761268,0.4389814447449645,0.7741128130395954,0.6757433757140068,0.651812129120783,0.5863571399547723,0.4966429933351147,0.6688137304742912,0.606359462625827,0.6741190038267696,0.6283607075012442,0.4210717230362619,-0.4430684214354159,-0.05833294342010171,-0.6486655512667464,0.700878317382178,0.5067824719844449,0.5084560638527317,0.80726474784819,0.7864535582310631,0.1455976805734356,-0.4920822592962224
Volume,-0.13108354433051903,-0.10048916137017731,-0.14285449242639714,-0.1282812939968417,-0.1282812939968417,1.0,0.17478975323709792,0.1873952867831574,0.0912495500401461,0.07226706349414033,-0.033494279213949825,0.1014053601133619,0.07611117904274588,0.018185060512420727,0.1385319769590643,-0.08853046732392728,-0.06342184864813351,0.011286654262345059,-0.17577284441270927,0.045824528007880755,0.07254091874107133,-0.19846174818494494,-0.15450020392452934,-0.20250196392116399,-0.09663553392809746,-0.06617902037162711,-0.028880799087700273,0.00545361266365988,-0.13465821528510877,-0.0683399212930062,-0.14991643841412255,-0.05068881748924158,-0.19184846880340775,-0.09209575936189622,0.32644446409971245,0.04696363557839063,-0.13216499961375766,-0.17137324703460347,-0.2590380580752451,-0.23406068990856244,-0.18364717027087998,-0.10438243840652722,0.07528237122974275,0.05156460919962879
OHrate,-0.3998843629167407,-0.2012184323933902,-0.25450423199456995,-0.13201944562229803,-0.13201944562229803,0.17478975323709792,1.0,0.8000080406785405,0.6696965581044966,0.5596249037773254,0.480191299683892,-0.47006895533524024,-0.2362505342097687,-0.19768019967705183,0.31698295326153675,-0.22062486219162586,-0.27610434930428046,-0.1483248316922798,-0.35214407513770496,-0.15182363903784638,0.30365625351719416,-0.3130993271104998,-0.3491560452312119,-0.22542148675115187,-0.3115594179715879,-0.3616822620446315,-0.2754415165837854,-0.08640654239661663,-0.31744709398891846,-0.3291641727372537,-0.2715420379094698,-0.2847355187997665,-0.3603843320378034,-0.2545114937151002,0.3124683846585682,0.24548204350433003,0.1880755338823638,-0.37209303340939637,-0.03812448701670074,-0.19079788263150213,-0.3289778107982424,-0.33300184263205135,0.023570826552103588,0.18964870035863268
HM4UP,-0.25020067002913227,-0.08152405330277901,-0.12913793150166675,-0.034422453027421404,-0.034422453027421404,0.1873952867831574,0.8000080406785405,1.0,0.40639176292436824,0.23061932219762896,0.40054805334311466,-0.36956421364396136,-0.1702087805344626,-0.14050381000626436,0.22536300726355632,-0.14671172955552367,-0.18573200362066145,-0.10759872395902043,-0.20734386801288154,-0.12110258407454891,0.22291828976942438,-0.16653650968786407,-0.21733853231924538,-0.1269510696499747,-0.21238373156296725,-0.2934305451798028,-0.22243442111459663,0.017576863689328495,-0.20155664211652097,-0.24699245125965194,-0.14054306791830018,-0.20043952873957394,-0.2964594360430737,-0.22235205562550767,0.21108681937974033,0.1945154367206808,0.10768596049438191,-0.23082140449637498,0.03442638068188142,-0.06929720148731214,-0.22883543757937566,-0.23833723416459135,-0.016343313918279274,0.1701381833085265
HM8UP,-0.31086142595612964,-0.1915070820083867,-0.2751824608213643,-0.16451627727969198,-0.16451627727969198,0.0912495500401461,0.6696965581044966,0.40639176292436824,1.0,0.5674803065350191,0.12880813268695013,-0.15018785229652756,-0.06917144638660735,-0.05709959104603605,0.322366181170484,-0.10980517393081818,-0.17659719780387828,-0.039350134505694585,-0.2980814061276236,-0.093354235094022,0.19822084262023532,-0.30282067663188483,-0.26858069389387623,-0.17824633258466144,-0.2013591581527123,-0.23530937364089738,-0.14950417192493629,0.004251314894427119,-0.36331624974944465,-0.2117316237568266,-0.2747090798118955,-0.2097722081130891,-0.2772734917696663,-0.13289781279979862,0.22086739218214177,0.19739749326567038,0.1362102613949988,-0.31206277409499267,-0.03945786139890787,-0.19110025751453705,-0.3130442473725726,-0.24464193424969974,0.11556711390179963,0.12263245862787422
HM10UP,-0.26801074965821114,-0.17707807695226624,-0.24438668498086494,-0.16555896810024495,-0.16555896810024495,0.07226706349414033,0.5596249037773254,0.23061932219762896,0.5674803065350191,1.0,0.08691028327757425,-0.08522864845907048,-0.03925343359894302,-0.03240289342982898,0.22500859673130405,-0.12170274927263286,-0.15651352331963247,-0.05402522514069225,-0.22141781787995451,-0.1022435838324733,0.16177303683230576,-0.22277499100374956,-0.21662802865210132,-0.08634244863506413,-0.16292067595955692,-0.16383925128398302,-0.12750822539888676,-0.06798067938715711,-0.28391454819013273,-0.2080959555484065,-0.14624065301650835,-0.21033580358831352,-0.1778393443071926,-0.1250067407556605,0.17981724170141125,0.05705232952110792,0.0939317013036178,-0.20659246120492122,-0.17257114269593415,-0.10182975934130388,-0.21590027814967966,-0.17759049875666402,0.02186068707412038,0.12049390483933031
