DATE,경상수지,상품수지
2003-01-01,-2192.9,-890
2003-02-01,-740.2,-303.2
2003-03-01,-143.6,874.6
2003-04-01,-1008.2,905.9
2003-05-01,-51.3,765.7
2003-06-01,1097.1,2496.9
2003-07-01,622.2,1705.7
2003-08-01,971.6,2070.4
2003-09-01,3273.5,4226.8
2003-10-01,3555.7,3946.8
2003-11-01,2949.4,2910.3
2003-12-01,2975,3428.1
2004-01-01,2123.4,2788.3
2004-02-01,1206.6,1554.3
2004-03-01,1897.7,3217.6
2004-04-01,543.8,2946.3
2004-05-01,4340.6,4718.5
2004-06-01,1887.3,2960.6
2004-07-01,2132.6,2843.6
2004-08-01,1642.2,2355
2004-09-01,4145.7,4696.7
2004-10-01,2178.8,2719.2
2004-11-01,4144.7,4714.9
2004-12-01,3046.5,3658
2005-01-01,1398,2084.1
2005-02-01,752.4,1549.6
2005-03-01,1315.6,3605.9
2005-04-01,-1734.7,2183.5
2005-05-01,546.1,2144.1
2005-06-01,958.6,2858.2
2005-07-01,622,2713
2005-08-01,973.5,3370.9
2005-09-01,724.6,2109.5
2005-10-01,3014.9,3797.4
2005-11-01,1866.3,2947.4
2005-12-01,1771.3,3128.9
2006-01-01,-78.3,1665.2
2006-02-01,-3245.1,-1011.3
2006-03-01,-1625.1,1485.1
2006-04-01,-3428.9,498.6
2006-05-01,-43.8,1568.9
2006-06-01,2189.9,4031.5
2006-07-01,-698.4,743.3
2006-08-01,-1540.5,471.2
2006-09-01,3088.4,4395.4
2006-10-01,2688.4,3486.8
2006-11-01,4455.8,5334.2
2006-12-01,332.4,1845.6
2007-01-01,214.1,1552.1
2007-02-01,-729,1218.9
2007-03-01,-1160.4,2574.1
2007-04-01,-2240.6,1786.2
2007-05-01,-2295.3,-739.6
2007-06-01,1581.5,3585.2
2007-07-01,2569.3,3739
2007-08-01,2223.4,3690.5
2007-09-01,4312.6,5236.5
2007-10-01,1914.3,3588.6
2007-11-01,3260.2,4479.8
2007-12-01,822.4,1724.8
2008-01-01,-688.7,630.9
2008-02-01,-2235.2,-383.5
2008-03-01,972.5,1101.6
2008-04-01,-2386.5,488.4
2008-05-01,-1737.8,-557.4
2008-06-01,-1143,868.5
2008-07-01,-2261.7,383.2
2008-08-01,-3845,-2232.2
2008-09-01,1469,1686.2
2008-10-01,3904.5,828.1
2008-11-01,2761.1,1460.7
2008-12-01,6943.8,7471.6
2009-01-01,175.8,430
2009-02-01,5013,5075.9
2009-03-01,5786,6606.6
2009-04-01,3139.2,4729.1
2009-05-01,2329.4,3803.7
2009-06-01,4064.7,5550.4
2009-07-01,1987.7,3573.5
2009-08-01,1169.6,2346.2
2009-09-01,2197.6,3513.5
2009-10-01,2512.2,3688.5
2009-11-01,3013.8,4575.6
2009-12-01,1698.6,4162.6
2010-01-01,-1776.4,260.3
2010-02-01,-322.4,1411.1
2010-03-01,917.1,3311.2
2010-04-01,796.9,4001.5
2010-05-01,6650.4,5940.9
2010-06-01,3751.1,4784.9
2010-07-01,3549.3,4036.7
2010-08-01,3758.1,4782.6
2010-09-01,4207.4,5581
2010-10-01,4265.4,5583.8
2010-11-01,3897.5,6503
2010-12-01,-1743.9,1735.3
2011-01-01,-3159.6,-581.6
2011-02-01,1344.9,2581.8
2011-03-01,-2438.3,180.7
2011-04-01,-2545.2,312.1
2011-05-01,-1247.2,-736.3
2011-06-01,1321.8,2655.1
2011-07-01,3938.8,4696.9
2011-08-01,4470.5,4293.3
2011-09-01,2996.3,2117.9
2011-10-01,3572.4,3224.3
2011-11-01,6645.7,6753.4
2011-12-01,1738.1,2516.7
2012-01-01,-2288,-1774.7
2012-02-01,-2584,-927.8
2012-03-01,3580,4160.7
2012-04-01,-144.8,-328.3
2012-05-01,5015.8,3255.3
2012-06-01,6069.3,5272.5
2012-07-01,8375.5,7601.7
2012-08-01,1618,1998.2
2012-09-01,6484.3,6143
2012-10-01,7287.6,7361.8
2012-11-01,8187.5,8551.3
2012-12-01,7189.4,7275.6
2013-01-01,2752.4,3766.1
2013-02-01,2212.5,3077.7
2013-03-01,6740.2,6898.9
2013-04-01,5039.9,5314.8
2013-05-01,9608.2,9172.1
2013-06-01,6824.8,5502.5
2013-07-01,6964.6,7232.6
2013-08-01,6389.3,7012.2
2013-09-01,7847.7,8338.5
2013-10-01,10724,9536
2013-11-01,5891.6,7817.1
2013-12-01,6263.7,6590.5
