DATE,TCU
1967-01-01,89.3902
1967-02-01,87.9750
1967-03-01,87.0835
1967-04-01,87.5089
1967-05-01,86.3566
1967-06-01,85.9603
1967-07-01,85.3833
1967-08-01,86.6339
1967-09-01,86.1122
1967-10-01,86.4325
1967-11-01,87.2856
1967-12-01,87.8417
1968-01-01,87.3841
1968-02-01,87.3491
1968-03-01,87.2750
1968-04-01,87.0569
1968-05-01,87.6877
1968-06-01,87.6656
1968-07-01,87.1899
1968-08-01,87.0938
1968-09-01,87.0856
1968-10-01,86.9222
1968-11-01,87.7086
1968-12-01,87.6491
1969-01-01,87.8518
1969-02-01,88.0959
1969-03-01,88.4679
1969-04-01,87.8271
1969-05-01,87.1831
1969-06-01,87.7221
1969-07-01,87.8729
1969-08-01,87.7640
1969-09-01,87.4358
1969-10-01,87.1548
1969-11-01,86.0318
1969-12-01,85.5022
1970-01-01,83.6412
1970-02-01,83.3243
1970-03-01,82.9558
1970-04-01,82.4846
1970-05-01,82.1323
1970-06-01,81.6130
1970-07-01,81.5605
1970-08-01,81.1642
1970-09-01,80.3572
1970-10-01,78.5085
1970-11-01,77.7948
1970-12-01,79.3391
1971-01-01,79.7255
1971-02-01,79.3708
1971-03-01,79.0828
1971-04-01,79.3249
1971-05-01,79.5252
1971-06-01,79.6569
1971-07-01,79.2253
1971-08-01,78.5672
1971-09-01,79.6437
1971-10-01,80.0388
1971-11-01,80.1777
1971-12-01,80.9011
1972-01-01,82.6379
1972-02-01,83.2437
1972-03-01,83.6216
1972-04-01,84.3016
1972-05-01,84.0517
1972-06-01,84.0788
1972-07-01,83.8268
1972-08-01,84.7156
1972-09-01,85.1267
1972-10-01,86.0162
1972-11-01,86.7725
1972-12-01,87.4945
1973-01-01,87.7861
1973-02-01,88.7980
1973-03-01,88.5445
1973-04-01,88.1247
1973-05-01,88.3892
1973-06-01,88.1445
1973-07-01,88.2059
1973-08-01,87.7617
1973-09-01,88.2545
1973-10-01,88.5610
1973-11-01,88.7482
1973-12-01,88.2676
1974-01-01,87.3874
1974-02-01,86.8692
1974-03-01,86.6610
1974-04-01,86.1406
1974-05-01,86.6077
1974-06-01,86.3121
1974-07-01,86.1654
1974-08-01,85.1518
1974-09-01,85.0243
1974-10-01,84.5451
1974-11-01,81.6266
1974-12-01,78.6007
1975-01-01,77.3930
1975-02-01,75.4884
1975-03-01,74.5577
1975-04-01,74.4974
1975-05-01,74.2071
1975-06-01,74.5729
1975-07-01,75.1689
1975-08-01,75.8172
1975-09-01,76.6163
1975-10-01,76.8116
1975-11-01,76.8290
1975-12-01,77.6309
1976-01-01,78.5953
1976-02-01,79.2155
1976-03-01,79.1145
1976-04-01,79.3850
1976-05-01,79.5769
1976-06-01,79.4117
1976-07-01,79.7048
1976-08-01,80.0829
1976-09-01,80.1251
1976-10-01,79.9707
1976-11-01,80.9605
1976-12-01,81.6158
1977-01-01,80.9794
1977-02-01,82.0135
1977-03-01,82.8238
1977-04-01,83.3937
1977-05-01,83.8738
1977-06-01,84.2573
1977-07-01,84.1501
1977-08-01,83.9453
1977-09-01,84.1166
1977-10-01,84.0416
1977-11-01,83.8913
1977-12-01,83.7917
1978-01-01,82.4006
1978-02-01,82.5714
1978-03-01,83.9048
1978-04-01,85.4006
1978-05-01,85.4753
1978-06-01,85.8216
1978-07-01,85.5428
1978-08-01,85.6270
1978-09-01,85.6081
1978-10-01,86.0598
1978-11-01,86.4785
1978-12-01,86.7099
1979-01-01,85.9271
1979-02-01,86.1661
1979-03-01,86.2161
1979-04-01,85.0317
1979-05-01,85.5055
1979-06-01,85.2954
1979-07-01,84.9818
1979-08-01,84.2290
1979-09-01,84.1398
1979-10-01,84.4231
1979-11-01,84.1759
1979-12-01,84.1166
1980-01-01,84.3369
1980-02-01,84.1769
1980-03-01,83.7396
1980-04-01,81.8625
1980-05-01,79.7180
1980-06-01,78.5779
1980-07-01,77.8133
1980-08-01,77.9303
1980-09-01,79.0235
1980-10-01,79.8417
1980-11-01,81.0316
1980-12-01,81.2961
1981-01-01,80.6346
1981-02-01,80.0629
1981-03-01,80.2810
1981-04-01,79.7191
1981-05-01,79.9861
1981-06-01,80.1545
1981-07-01,80.4725
1981-08-01,80.2576
1981-09-01,79.5811
1981-10-01,78.8520
1981-11-01,77.7652
1981-12-01,76.7415
1982-01-01,75.0489
1982-02-01,76.3768
1982-03-01,75.6450
1982-04-01,74.8423
1982-05-01,74.2336
1982-06-01,73.8668
1982-07-01,73.5323
1982-08-01,72.7958
1982-09-01,72.4925
1982-10-01,71.7781
1982-11-01,71.4329
1982-12-01,70.8711
1983-01-01,72.2026
1983-02-01,71.7176
1983-03-01,72.2713
1983-04-01,73.1297
1983-05-01,73.6057
1983-06-01,74.0214
1983-07-01,75.1134
1983-08-01,75.9174
1983-09-01,77.0244
1983-10-01,77.6124
1983-11-01,77.8207
1983-12-01,78.1567
1984-01-01,79.6259
1984-02-01,79.8668
1984-03-01,80.1464
1984-04-01,80.5228
1984-05-01,80.7640
1984-06-01,80.8919
1984-07-01,80.9814
1984-08-01,80.8843
1984-09-01,80.5589
1984-10-01,80.2373
1984-11-01,80.3579
1984-12-01,80.2482
1985-01-01,79.9174
1985-02-01,79.9866
1985-03-01,79.9116
1985-04-01,79.4940
1985-05-01,79.4114
1985-06-01,79.2816
1985-07-01,78.5898
1985-08-01,78.7499
1985-09-01,78.9362
1985-10-01,78.4701
1985-11-01,78.6082
1985-12-01,79.3159
1986-01-01,79.5809
1986-02-01,78.9674
1986-03-01,78.3414
1986-04-01,78.2914
1986-05-01,78.3886
1986-06-01,78.0608
1986-07-01,78.4222
1986-08-01,78.2354
1986-09-01,78.3034
1986-10-01,78.5679
1986-11-01,78.8122
1986-12-01,79.3506
1987-01-01,78.9731
1987-02-01,79.8595
1987-03-01,79.8075
1987-04-01,80.1486
1987-05-01,80.5000
1987-06-01,80.7079
1987-07-01,81.1056
1987-08-01,81.6263
1987-09-01,81.6946
1987-10-01,82.7575
1987-11-01,83.0782
1987-12-01,83.3907
1988-01-01,83.3464
1988-02-01,83.6422
1988-03-01,83.7564
1988-04-01,84.1885
1988-05-01,84.0540
1988-06-01,84.2341
1988-07-01,84.2352
1988-08-01,84.5456
1988-09-01,84.2638
1988-10-01,84.6196
1988-11-01,84.6771
1988-12-01,84.9998
1989-01-01,85.1489
1989-02-01,84.6405
1989-03-01,84.6961
1989-04-01,84.6028
1989-05-01,83.8789
1989-06-01,83.7449
1989-07-01,82.7955
1989-08-01,83.3730
1989-09-01,82.8920
1989-10-01,82.6459
1989-11-01,82.7240
1989-12-01,83.0346
1990-01-01,82.2969
1990-02-01,82.9205
1990-03-01,83.1482
1990-04-01,82.8523
1990-05-01,82.8670
1990-06-01,82.9790
1990-07-01,82.7280
1990-08-01,82.8652
1990-09-01,82.8443
1990-10-01,82.1051
1990-11-01,81.0378
1990-12-01,80.4083
1991-01-01,79.9663
1991-02-01,79.3208
1991-03-01,78.8218
1991-04-01,78.8959
1991-05-01,79.6029
1991-06-01,80.2422
1991-07-01,80.2489
1991-08-01,80.2231
1991-09-01,80.8353
1991-10-01,80.5851
1991-11-01,80.3755
1991-12-01,79.9314
1992-01-01,79.3332
1992-02-01,79.7475
1992-03-01,80.2471
1992-04-01,80.6855
1992-05-01,80.7739
1992-06-01,80.6082
1992-07-01,81.1592
1992-08-01,80.5877
1992-09-01,80.6088
1992-10-01,81.0537
