DATE,IEAMGSN
1999-01-01,275075
1999-04-01,300072
1999-07-01,322373
1999-10-01,330965
2000-01-01,334315
2000-04-01,359369
2000-07-01,379333
2000-10-01,374820
2001-01-01,351361
2001-04-01,348985
2001-07-01,340346
2001-10-01,326474
2002-01-01,314059
2002-04-01,351065
2002-07-01,364257
2002-10-01,368280
2003-01-01,354495
2003-04-01,373041
2003-07-01,387766
2003-10-01,399006
2004-01-01,400141
2004-04-01,441589
2004-07-01,456501
2004-10-01,473201
2005-01-01,455593
2005-04-01,495940
2005-07-01,515391
2005-10-01,533344
2006-01-01,517313
2006-04-01,560078
2006-07-01,579039
2006-10-01,562927
2007-01-01,543598
2007-04-01,586593
2007-07-01,606693
2007-10-01,622037
2008-01-01,609050
2008-04-01,669937
2008-07-01,692078
2008-10-01,579274
2009-01-01,448653
2009-04-01,464229
2009-07-01,514022
2009-10-01,539923
2010-01-01,528254
2010-04-01,587290
2010-07-01,615948
2010-10-01,616770
2011-01-01,616306
2011-04-01,679382
2011-07-01,696766
2011-10-01,683192
2012-01-01,665470
2012-04-01,702939
2012-07-01,697726
2012-10-01,689627
2013-01-01,651617
2013-04-01,696522
2013-07-01,707272
2013-10-01,699922
2014-01-01,670067
2014-04-01,731514
2014-07-01,736894
2014-10-01,727767
2015-01-01,663301
2015-04-01,706436
2015-07-01,708206
2015-10-01,687272
2016-01-01,636302
2016-04-01,681795
2016-07-01,698763
2016-10-01,701962
2017-01-01,679139
2017-04-01,728577
2017-07-01,732994
2017-10-01,761960
2018-01-01,735999
2018-04-01,783325
2018-07-01,802507
2018-10-01,807158
2019-01-01,743091
