DATE,USSLIND
1982-01-01,-0.88
1982-02-01,-0.38
1982-03-01,-0.15
1982-04-01,-0.12
1982-05-01,-0.06
1982-06-01,-0.05
1982-07-01,-0.09
1982-08-01,-0.26
1982-09-01,-0.25
1982-10-01,-0.05
1982-11-01,0.41
1982-12-01,0.87
1983-01-01,1.43
1983-02-01,1.65
1983-03-01,1.76
1983-04-01,1.84
1983-05-01,2.07
1983-06-01,2.57
1983-07-01,2.99
1983-08-01,2.55
1983-09-01,2.80
1983-10-01,3.14
1983-11-01,3.42
1983-12-01,2.99
1984-01-01,3.09
1984-02-01,3.30
1984-03-01,3.03
1984-04-01,2.69
1984-05-01,2.51
1984-06-01,2.45
1984-07-01,2.20
1984-08-01,1.92
1984-09-01,2.02
1984-10-01,1.94
1984-11-01,2.00
1984-12-01,1.88
1985-01-01,2.19
1985-02-01,1.97
1985-03-01,2.03
1985-04-01,1.98
1985-05-01,2.12
1985-06-01,1.93
1985-07-01,1.88
1985-08-01,2.02
1985-09-01,2.03
1985-10-01,2.08
1985-11-01,1.88
1985-12-01,1.97
1986-01-01,2.05
1986-02-01,1.55
1986-03-01,1.33
1986-04-01,1.48
1986-05-01,1.52
1986-06-01,1.46
1986-07-01,1.57
1986-08-01,1.52
1986-09-01,1.74
1986-10-01,1.69
1986-11-01,1.73
1986-12-01,2.27
1987-01-01,1.74
1987-02-01,1.91
1987-03-01,1.85
1987-04-01,2.04
1987-05-01,2.16
1987-06-01,1.92
1987-07-01,2.16
1987-08-01,2.00
1987-09-01,2.03
1987-10-01,2.09
1987-11-01,2.14
1987-12-01,2.04
1988-01-01,1.41
1988-02-01,2.03
1988-03-01,2.16
1988-04-01,2.30
1988-05-01,1.98
1988-06-01,2.25
1988-07-01,2.08
1988-08-01,1.83
1988-09-01,1.61
1988-10-01,2.02
1988-11-01,2.12
1988-12-01,1.96
1989-01-01,1.94
1989-02-01,1.80
1989-03-01,1.70
1989-04-01,1.55
1989-05-01,1.16
1989-06-01,0.91
1989-07-01,0.79
1989-08-01,1.08
1989-09-01,1.09
1989-10-01,1.01
1989-11-01,1.21
1989-12-01,1.23
1990-01-01,1.68
1990-02-01,1.43
1990-03-01,1.67
1990-04-01,1.32
1990-05-01,1.11
1990-06-01,1.06
1990-07-01,0.64
1990-08-01,0.41
1990-09-01,-0.12
1990-10-01,-0.10
1990-11-01,-0.31
1990-12-01,-0.33
1991-01-01,-0.24
1991-02-01,-0.33
1991-03-01,-0.34
1991-04-01,0.03
1991-05-01,0.44
1991-06-01,0.83
1991-07-01,1.20
1991-08-01,0.88
1991-09-01,0.91
1991-10-01,0.80
1991-11-01,0.69
1991-12-01,0.70
1992-01-01,0.79
1992-02-01,0.97
1992-03-01,1.12
1992-04-01,1.22
1992-05-01,1.34
1992-06-01,1.30
1992-07-01,1.17
1992-08-01,1.27
1992-09-01,1.43
1992-10-01,1.76
1992-11-01,1.76
1992-12-01,2.25
1993-01-01,1.89
1993-02-01,2.20
1993-03-01,1.74
1993-04-01,1.79
1993-05-01,1.57
1993-06-01,1.68
1993-07-01,1.95
1993-08-01,2.01
1993-09-01,2.06
1993-10-01,1.78
1993-11-01,2.11
1993-12-01,2.31
1994-01-01,1.99
1994-02-01,2.00
1994-03-01,1.99
1994-04-01,2.13
1994-05-01,2.10
1994-06-01,2.21
1994-07-01,2.18
1994-08-01,2.42
1994-09-01,2.11
1994-10-01,2.12
1994-11-01,2.19
1994-12-01,2.15
1995-01-01,2.04
1995-02-01,1.68
1995-03-01,1.58
1995-04-01,1.19
1995-05-01,1.03
1995-06-01,1.14
1995-07-01,1.12
1995-08-01,1.61
1995-09-01,1.47
1995-10-01,1.71
1995-11-01,1.43
1995-12-01,1.42
1996-01-01,1.43
1996-02-01,1.41
1996-03-01,1.37
1996-04-01,1.62
1996-05-01,1.75
1996-06-01,2.06
1996-07-01,1.97
1996-08-01,1.97
1996-09-01,1.72
1996-10-01,1.63
1996-11-01,1.48
1996-12-01,1.44
1997-01-01,1.60
1997-02-01,1.82
1997-03-01,2.02
1997-04-01,1.90
1997-05-01,2.03
1997-06-01,1.93
1997-07-01,2.03
1997-08-01,1.59
1997-09-01,1.92
1997-10-01,2.00
1997-11-01,2.05
1997-12-01,2.08
1998-01-01,1.86
1998-02-01,1.85
1998-03-01,1.64
1998-04-01,1.88
1998-05-01,1.97
1998-06-01,1.65
1998-07-01,1.63
1998-08-01,1.66
1998-09-01,1.94
1998-10-01,1.67
1998-11-01,1.71
1998-12-01,1.84
1999-01-01,1.62
1999-02-01,1.84
1999-03-01,1.84
1999-04-01,1.80
1999-05-01,1.67
1999-06-01,1.67
1999-07-01,1.85
1999-08-01,1.73
1999-09-01,1.61
1999-10-01,1.70
1999-11-01,1.96
1999-12-01,1.90
2000-01-01,1.61
2000-02-01,1.46
2000-03-01,1.87
2000-04-01,2.14
2000-05-01,1.87
2000-06-01,1.26
2000-07-01,0.96
2000-08-01,1.00
2000-09-01,1.02
2000-10-01,1.15
