DATE,자가주거비포함지수,자가주거비
1995-01-01,54.626,65.513
1995-02-01,54.85,65.647
1995-03-01,55.408,65.848
1995-04-01,55.742,66.114
1995-05-01,55.855,66.514
1995-06-01,55.687,66.782
1995-07-01,55.855,67.115
1995-08-01,56.19,67.25
1995-09-01,56.636,67.45
1995-10-01,56.413,67.516
1995-11-01,56.357,67.717
1995-12-01,56.693,67.917
1996-01-01,57.195,67.984
1996-02-01,57.418,68.184
1996-03-01,57.81,68.318
1996-04-01,58.144,68.519
1996-05-01,58.48,68.919
1996-06-01,58.536,69.253
1996-07-01,58.815,69.386
1996-08-01,59.039,69.586
1996-09-01,59.15,69.72
1996-10-01,59.206,69.854
1996-11-01,59.206,69.921
1996-12-01,59.429,70.187
1997-01-01,59.821,70.322
1997-02-01,60.155,70.522
1997-03-01,60.379,70.723
1997-04-01,60.659,71.123
1997-05-01,60.714,71.39
1997-06-01,60.825,71.523
1997-07-01,60.937,71.657
1997-08-01,61.384,71.723
1997-09-01,61.663,71.858
1997-10-01,61.607,71.925
1997-11-01,61.663,71.991
1997-12-01,63.115,72.124
1998-01-01,64.511,72.124
1998-02-01,65.518,72.259
1998-03-01,65.406,72.325
1998-04-01,65.629,72.392
1998-05-01,65.294,72.191
1998-06-01,65.07,72.124
1998-07-01,65.015,71.925
1998-08-01,65.182,71.791
1998-09-01,65.461,71.59
1998-10-01,65.629,71.19
1998-11-01,65.349,70.856
1998-12-01,65.294,70.588
1999-01-01,65.182,70.255
1999-02-01,65.406,69.921
1999-03-01,65.518,69.654
1999-04-01,65.629,69.386
1999-05-01,65.518,69.052
1999-06-01,65.126,68.786
1999-07-01,64.96,68.651
1999-08-01,65.518,68.385
1999-09-01,65.629,68.251
1999-10-01,66.131,68.05
1999-11-01,66.02,67.984
1999-12-01,65.852,67.917
2000-01-01,66.208,67.924
2000-02-01,66.341,68.06
2000-03-01,66.609,68.13
2000-04-01,66.475,68.267
2000-05-01,66.208,68.334
2000-06-01,66.475,68.471
2000-07-01,66.676,68.541
2000-08-01,67.01,68.678
2000-09-01,67.746,68.815
2000-10-01,67.746,68.952
2000-11-01,67.411,69.158
2000-12-01,67.679,69.432
2001-01-01,68.348,69.637
2001-02-01,68.615,69.706
2001-03-01,69.151,69.98
2001-04-01,69.485,70.528
2001-05-01,69.485,70.802
2001-06-01,69.753,71.419
2001-07-01,69.886,71.693
2001-08-01,70.153,71.9
2001-09-01,70.153,72.105
2001-10-01,70.221,72.379
2001-11-01,69.953,72.79
2001-12-01,70.153,73.407
2002-01-01,70.555,73.681
2002-02-01,70.889,73.955
2002-03-01,71.224,74.229
2002-04-01,71.625,74.71
2002-05-01,71.959,75.121
2002-06-01,71.959,75.463
2002-07-01,71.825,75.805
2002-08-01,72.227,76.012
2002-09-01,72.627,76.286
2002-10-01,72.561,76.56
2002-11-01,72.561,76.697
2002-12-01,72.895,76.903
2003-01-01,73.297,77.04
2003-02-01,73.631,77.177
2003-03-01,74.433,77.451
2003-04-01,74.367,77.725
2003-05-01,74.3,77.999
2003-06-01,74.165,78.205
2003-07-01,74.165,78.342
2003-08-01,74.5,78.479
2003-09-01,74.969,78.684
2003-10-01,75.102,78.753
2003-11-01,74.969,78.89
2003-12-01,75.303,79.027
2004-01-01,75.704,79.164
2004-02-01,75.972,79.234
2004-03-01,76.64,79.234
2004-04-01,76.574,79.371
2004-05-01,76.574,79.371
2004-06-01,76.574,79.438
2004-07-01,76.975,79.508
2004-08-01,77.51,79.508
2004-09-01,77.51,79.508
2004-10-01,77.51,79.438
2004-11-01,77.175,79.438
2004-12-01,77.242,79.371
2005-01-01,77.807,79.374
2005-02-01,78.121,79.374
2005-03-01,78.513,79.295
2005-04-01,78.513,79.295
2005-05-01,78.435,79.216
2005-06-01,78.199,79.137
2005-07-01,78.513,79.137
2005-08-01,78.67,79.137
2005-09-01,78.984,79.057
2005-10-01,78.905,79.137
2005-11-01,78.67,79.137
2005-12-01,78.827,79.137
2006-01-01,79.219,79.137
2006-02-01,79.377,79.216
2006-03-01,79.691,79.216
2006-04-01,79.848,79.295
2006-05-01,79.926,79.374
2006-06-01,79.848,79.374
2006-07-01,80.083,79.454
2006-08-01,80.554,79.533
2006-09-01,80.712,79.612
2006-10-01,80.397,79.85
2006-11-01,80.162,80.008
2006-12-01,80.397,80.166
2007-01-01,80.554,80.325
2007-02-01,80.946,80.483
2007-03-01,81.34,80.562
2007-04-01,81.654,80.721
2007-05-01,81.732,80.8
2007-06-01,81.732,80.879
2007-07-01,82.046,80.959
2007-08-01,82.124,81.117
2007-09-01,82.517,81.196
2007-10-01,82.674,81.276
2007-11-01,82.753,81.513
2007-12-01,82.988,81.672
2008-01-01,83.303,81.83
2008-02-01,83.617,81.989
2008-03-01,84.245,82.147
2008-04-01,84.715,82.384
2008-05-01,85.344,82.543
2008-06-01,85.814,82.781
2008-07-01,86.364,82.939
2008-08-01,86.286,83.097
2008-09-01,86.286,83.177
2008-10-01,86.286,83.414
2008-11-01,86.128,83.573
2008-12-01,86.128,83.652
2009-01-01,86.286,83.731
2009-02-01,86.757,83.731
2009-03-01,87.228,83.731
2009-04-01,87.463,83.811
2009-05-01,87.463,83.969
2009-06-01,87.463,83.969
2009-07-01,87.777,84.048
2009-08-01,88.013,84.206
2009-09-01,88.091,84.285
2009-10-01,87.935,84.365
2009-11-01,88.091,84.523
2009-12-01,88.327,84.682
2010-01-01,88.916,84.809
2010-02-01,89.186,84.98
2010-03-01,89.366,85.066
2010-04-01,89.636,85.237
2010-05-01,89.726,85.408
2010-06-01,89.636,85.58
2010-07-01,89.906,85.751
2010-08-01,90.265,85.837
2010-09-01,90.895,86.008
2010-10-01,90.895,86.179
2010-11-01,90.625,86.436
2010-12-01,90.985,86.693
2011-01-01,91.885,86.95
2011-02-01,92.425,87.207
2011-03-01,92.875,87.721
2011-04-01,92.965,88.15
2011-05-01,93.145,88.578
2011-06-01,93.415,89.006
2011-07-01,93.865,89.263
2011-08-01,94.405,89.606
2011-09-01,94.405,89.949
2011-10-01,94.405,90.377
2011-11-01,94.495,90.805
2011-12-01,94.855,91.062
2012-01-01,95.206,91.345
2012-02-01,95.539,91.593
2012-03-01,95.647,92.005
2012-04-01,95.71,92.364
2012-05-01,95.899,92.647
2012-06-01,95.836,92.861
2012-07-01,95.701,93.024
2012-08-01,96.088,93.195
2012-09-01,96.682,93.358
2012-10-01,96.565,93.555
2012-11-01,96.349,93.795
2012-12-01,96.529,94.001
2013-01-01,97.024,94.198
2013-02-01,97.321,94.36
2013-03-01,97.303,94.609
2013-04-01,97.249,94.84
2013-05-01,97.285,95.046
2013-06-01,97.231,95.226
2013-07-01,97.411,95.371
2013-08-01,97.735,95.568
2013-09-01,97.924,95.748
2013-10-01,97.726,95.937
2013-11-01,97.753,96.142
2013-12-01,97.879,96.339
2014-01-01,98.338,96.485
2014-02-01,98.59,96.69
2014-03-01,98.779,96.93
2014-04-01,98.887,97.213
2014-05-01,99.049,97.35
2014-06-01,98.977,97.479
2014-07-01,99.121,97.599
2014-08-01,99.283,97.718
2014-09-01,99.265,97.898
2014-10-01,99.049,98.061
2014-11-01,98.95,98.292
2014-12-01,98.986,98.498
2015-01-01,99.64,99.1
2015-02-01,99.61,99.21
2015-03-01,99.65,99.37
2015-04-01,99.71,99.57
2015-05-01,99.98,99.76
2015-06-01,100.03,99.94
2015-07-01,100.2,100.11
2015-08-01,100.35,100.28
2015-09-01,100.18,100.42
2015-10-01,100.21,100.56
2015-11-01,100.08,100.73
2015-12-01,100.37,100.94
2016-01-01,100.53,101.11
2016-02-01,100.9,101.22
2016-03-01,100.73,101.39
2016-04-01,100.9,101.5
2016-05-01,100.98,101.64
2016-06-01,100.99,101.79
2016-07-01,100.87,101.95
2016-08-01,101.11,102.09
2016-09-01,101.61,102.21
2016-10-01,101.74,102.31
2016-11-01,101.65,102.47
2016-12-01,101.78,102.67
2017-01-01,102.68,102.82
2017-02-01,102.93,103
2017-03-01,102.91,103.17
2017-04-01,102.84,103.32
2017-05-01,102.97,103.5
2017-06-01,102.81,103.58
2017-07-01,102.96,103.64
2017-08-01,103.43,103.71
2017-09-01,103.54,103.76
2017-10-01,103.47,103.79
2017-11-01,102.87,103.89
2017-12-01,103.16,103.9
2018-01-01,103.52,103.98
2018-02-01,104.18,104.05
2018-03-01,104.1,104.08
2018-04-01,104.26,104.12
2018-05-01,104.32,104.16
2018-06-01,104.13,104.16
2018-07-01,103.99,104.18
2018-08-01,104.72,104.2
2018-09-01,105.37,104.2
2018-10-01,105.21,104.21
2018-11-01,104.62,104.22
2018-12-01,104.33,104.2
2019-01-01,104.23,104.19
2019-02-01,104.59,104.18
2019-03-01,104.42,104.14
2019-04-01,104.73,104.1
2019-05-01,104.86,104.07
2019-06-01,104.72,104
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
