DATE,EXKOUS
1981-04-01,677.1679
1981-05-01,681.9050
1981-06-01,684.3727
1981-07-01,686.4674
1981-08-01,687.8071
1981-09-01,686.7
1981-10-01,683.8143
1981-11-01,688.5639
1981-12-01,694.6841
1982-01-01,705.17
1982-02-01,710.0556
1982-03-01,714.6761
1982-04-01,721.0318
1982-05-01,724.35
1982-06-01,738.3
1982-07-01,743.0643
1982-08-01,744.45
1982-09-01,743.6119
1982-10-01,743.6475
1982-11-01,745.6026
1982-12-01,746.3587
1983-01-01,749.8048
1983-02-01,752.1921
1983-03-01,757.9413
1983-04-01,765.2881
1983-05-01,767.9643
1983-06-01,775.8227
1983-07-01,779.88
1983-08-01,787.1935
1983-09-01,790.8262
1983-10-01,791.37
1983-11-01,796.3184
1983-12-01,799.2357
1984-01-01,800.3310
1984-02-01,799.1158
1984-03-01,794.5136
1984-04-01,796.4143
1984-05-01,801.5455
1984-06-01,802.2048
1984-07-01,810.9571
1984-08-01,811.4217
1984-09-01,815.8211
1984-10-01,820.0364
1984-11-01,818.8947
1984-12-01,825.7350
1985-01-01,832.1667
1985-02-01,839.1647
1985-03-01,850.7095
1985-04-01,861.2136
1985-05-01,871.1091
1985-06-01,875
1985-07-01,876.4591
1985-08-01,885.0955
1985-09-01,894.0505
1985-10-01,894.4955
1985-11-01,893.3526
1985-12-01,893.1286
1986-01-01,892.7476
1986-02-01,888.5737
1986-03-01,886.6619
1986-04-01,887.9545
1986-05-01,889.0952
1986-06-01,890.7381
1986-07-01,888.5909
1986-08-01,886.4524
1986-09-01,883.0571
1986-10-01,878.8091
1986-11-01,873.5444
1986-12-01,868.4318
1987-01-01,862.8650
1987-02-01,860.2211
1987-03-01,856.1091
1987-04-01,844.6773
1987-05-01,832.5350
1987-06-01,818.3864
1987-07-01,811.8130
1987-08-01,811.8762
1987-09-01,810.0762
1987-10-01,808.4714
1987-11-01,802.3053
1987-12-01,798.3455
1988-01-01,791.3158
1988-02-01,776.85
1988-03-01,757.3696
1988-04-01,745.3143
1988-05-01,739.4381
1988-06-01,732.8818
1988-07-01,728.67
1988-08-01,725.7435
1988-09-01,723.0048
1988-10-01,712.7250
1988-11-01,696.0850
1988-12-01,687.8952
1989-01-01,685.2850
1989-02-01,680.2842
1989-03-01,675.6795
1989-04-01,669.9947
1989-05-01,669.2476
1989-06-01,669.4333
1989-07-01,669.8350
1989-08-01,671.1341
1989-09-01,672.7294
1989-10-01,673.8579
1989-11-01,674.9381
1989-12-01,677.6550
1990-01-01,686.1842
