feature,recall
"['Volume', 'BAA', 'CSUSHPINSA', 'PCE']",0
"['Volume', 'BAA', 'CSUSHPINSA', 'LREMTTTTUSM156S']",0
"['Volume', 'BAA', 'CSUSHPINSA', 'DGORDER']",0
"['Volume', 'BAA', 'CSUSHPINSA', 'TWEXBMTH']",0
"['Volume', 'BAA', 'CSUSHPINSA', 'UNRATENSA']",0
"['Volume', 'BAA', 'CSUSHPINSA', 'TCU']",0.125
"['Volume', 'BAA', 'CSUSHPINSA', 'INDPRO']",0
"['Volume', 'BAA', 'CSUSHPINSA', 'PPIACO']",0.25
"['Volume', 'BAA', 'CSUSHPINSA', 'CPIAUCSL']",0
"['Volume', 'BAA', 'CSUSHPINSA', 'HOUST']",0
"['Volume', 'BAA', 'CSUSHPINSA', 'HSN1F']",0
"['Volume', 'BAA', 'CSUSHPINSA', 'FEDFUNDS']",0
"['Volume', 'BAA', 'CSUSHPINSA', 'USSLIND']",0
"['Volume', 'BAA', 'CSUSHPINSA', 'TOTALSA']",0
"['Volume', 'BAA', 'CSUSHPINSA', 'NEWORDER']",0
"['Volume', 'BAA', 'CSUSHPINSA', 'UMCSENT']",0
"['Volume', 'BAA', 'CSUSHPINSA', 'AMBNS']",0
"['Volume', 'BAA', 'CSUSHPINSA', 'EXJPUS']",0
"['Volume', 'BAA', 'CSUSHPINSA', 'EXKOUS']",0.25
"['Volume', 'BAA', 'CSUSHPINSA', 'EXCHUS']",0
"['Volume', 'BAA', 'CSUSHPINSA', 'T10Y2YM']",0
"['Volume', 'BAA', 'CSUSHPINSA', 'XTEXVA01CNM667S']",0.25
"['Volume', 'BAA', 'CSUSHPINSA', 'GACDFSA066MSFRBPHI']",0
"['Volume', 'BAA', 'CSUSHPINSA', 'XTIMVA01KRM667S']",0.125
"['Volume', 'BAA', 'CSUSHPINSA', 'KORPROINDMISMEI']",0
"['Volume', 'BAA', 'CSUSHPINSA', 'KORCPIALLMINMEI']",0
"['Volume', 'BAA', 'CSUSHPINSA', 'LRUNTTTTKRM156S']",0
"['Volume', 'BAA', 'CSUSHPINSA', 'IR3TCD01KRM156N']",0.125
"['Volume', 'BAA', 'PCE', 'LREMTTTTUSM156S']",0
"['Volume', 'BAA', 'PCE', 'DGORDER']",0.125
"['Volume', 'BAA', 'PCE', 'TWEXBMTH']",0
"['Volume', 'BAA', 'PCE', 'UNRATENSA']",0
"['Volume', 'BAA', 'PCE', 'TCU']",0
"['Volume', 'BAA', 'PCE', 'INDPRO']",0.125
"['Volume', 'BAA', 'PCE', 'PPIACO']",0.125
"['Volume', 'BAA', 'PCE', 'CPIAUCSL']",0
"['Volume', 'BAA', 'PCE', 'HOUST']",0
"['Volume', 'BAA', 'PCE', 'HSN1F']",0
"['Volume', 'BAA', 'PCE', 'FEDFUNDS']",0
"['Volume', 'BAA', 'PCE', 'USSLIND']",0
"['Volume', 'BAA', 'PCE', 'TOTALSA']",0
"['Volume', 'BAA', 'PCE', 'NEWORDER']",0.125
"['Volume', 'BAA', 'PCE', 'UMCSENT']",0
"['Volume', 'BAA', 'PCE', 'AMBNS']",0
"['Volume', 'BAA', 'PCE', 'EXJPUS']",0
"['Volume', 'BAA', 'PCE', 'EXKOUS']",0.375
"['Volume', 'BAA', 'PCE', 'EXCHUS']",0
"['Volume', 'BAA', 'PCE', 'T10Y2YM']",0
"['Volume', 'BAA', 'PCE', 'XTEXVA01CNM667S']",0.125
"['Volume', 'BAA', 'PCE', 'GACDFSA066MSFRBPHI']",0
"['Volume', 'BAA', 'PCE', 'XTIMVA01KRM667S']",0.125
"['Volume', 'BAA', 'PCE', 'KORPROINDMISMEI']",0
"['Volume', 'BAA', 'PCE', 'KORCPIALLMINMEI']",0
"['Volume', 'BAA', 'PCE', 'LRUNTTTTKRM156S']",0.125
"['Volume', 'BAA', 'PCE', 'IR3TCD01KRM156N']",0.125
"['Volume', 'BAA', 'LREMTTTTUSM156S', 'DGORDER']",0.125
"['Volume', 'BAA', 'LREMTTTTUSM156S', 'TWEXBMTH']",0
"['Volume', 'BAA', 'LREMTTTTUSM156S', 'UNRATENSA']",0
"['Volume', 'BAA', 'LREMTTTTUSM156S', 'TCU']",0
"['Volume', 'BAA', 'LREMTTTTUSM156S', 'INDPRO']",0
"['Volume', 'BAA', 'LREMTTTTUSM156S', 'PPIACO']",0.125
"['Volume', 'BAA', 'LREMTTTTUSM156S', 'CPIAUCSL']",0
"['Volume', 'BAA', 'LREMTTTTUSM156S', 'HOUST']",0
"['Volume', 'BAA', 'LREMTTTTUSM156S', 'HSN1F']",0
"['Volume', 'BAA', 'LREMTTTTUSM156S', 'FEDFUNDS']",0
"['Volume', 'BAA', 'LREMTTTTUSM156S', 'USSLIND']",0
"['Volume', 'BAA', 'LREMTTTTUSM156S', 'TOTALSA']",0
"['Volume', 'BAA', 'LREMTTTTUSM156S', 'NEWORDER']",0
"['Volume', 'BAA', 'LREMTTTTUSM156S', 'UMCSENT']",0
"['Volume', 'BAA', 'LREMTTTTUSM156S', 'AMBNS']",0
"['Volume', 'BAA', 'LREMTTTTUSM156S', 'EXJPUS']",0
"['Volume', 'BAA', 'LREMTTTTUSM156S', 'EXKOUS']",0.25
"['Volume', 'BAA', 'LREMTTTTUSM156S', 'EXCHUS']",0
"['Volume', 'BAA', 'LREMTTTTUSM156S', 'T10Y2YM']",0
"['Volume', 'BAA', 'LREMTTTTUSM156S', 'XTEXVA01CNM667S']",0.25
"['Volume', 'BAA', 'LREMTTTTUSM156S', 'GACDFSA066MSFRBPHI']",0
"['Volume', 'BAA', 'LREMTTTTUSM156S', 'XTIMVA01KRM667S']",0.125
"['Volume', 'BAA', 'LREMTTTTUSM156S', 'KORPROINDMISMEI']",0
"['Volume', 'BAA', 'LREMTTTTUSM156S', 'KORCPIALLMINMEI']",0
"['Volume', 'BAA', 'LREMTTTTUSM156S', 'LRUNTTTTKRM156S']",0
"['Volume', 'BAA', 'LREMTTTTUSM156S', 'IR3TCD01KRM156N']",0
"['Volume', 'BAA', 'DGORDER', 'TWEXBMTH']",0.25
"['Volume', 'BAA', 'DGORDER', 'UNRATENSA']",0.25
"['Volume', 'BAA', 'DGORDER', 'TCU']",0
"['Volume', 'BAA', 'DGORDER', 'INDPRO']",0.125
"['Volume', 'BAA', 'DGORDER', 'PPIACO']",0.375
"['Volume', 'BAA', 'DGORDER', 'CPIAUCSL']",0.375
"['Volume', 'BAA', 'DGORDER', 'HOUST']",0.125
"['Volume', 'BAA', 'DGORDER', 'HSN1F']",0
"['Volume', 'BAA', 'DGORDER', 'FEDFUNDS']",0.375
"['Volume', 'BAA', 'DGORDER', 'USSLIND']",0.25
"['Volume', 'BAA', 'DGORDER', 'TOTALSA']",0
"['Volume', 'BAA', 'DGORDER', 'NEWORDER']",0
"['Volume', 'BAA', 'DGORDER', 'UMCSENT']",0.375
"['Volume', 'BAA', 'DGORDER', 'AMBNS']",0.125
"['Volume', 'BAA', 'DGORDER', 'EXJPUS']",0.125
"['Volume', 'BAA', 'DGORDER', 'EXKOUS']",0.25
"['Volume', 'BAA', 'DGORDER', 'EXCHUS']",0
"['Volume', 'BAA', 'DGORDER', 'T10Y2YM']",0.125
"['Volume', 'BAA', 'DGORDER', 'XTEXVA01CNM667S']",0.375
"['Volume', 'BAA', 'DGORDER', 'GACDFSA066MSFRBPHI']",0.125
"['Volume', 'BAA', 'DGORDER', 'XTIMVA01KRM667S']",0.125
"['Volume', 'BAA', 'DGORDER', 'KORPROINDMISMEI']",0
"['Volume', 'BAA', 'DGORDER', 'KORCPIALLMINMEI']",0.125
"['Volume', 'BAA', 'DGORDER', 'LRUNTTTTKRM156S']",0.125
"['Volume', 'BAA', 'DGORDER', 'IR3TCD01KRM156N']",0.5
"['Volume', 'BAA', 'TWEXBMTH', 'UNRATENSA']",0.125
"['Volume', 'BAA', 'TWEXBMTH', 'TCU']",0
"['Volume', 'BAA', 'TWEXBMTH', 'INDPRO']",0.125
"['Volume', 'BAA', 'TWEXBMTH', 'PPIACO']",0.5
"['Volume', 'BAA', 'TWEXBMTH', 'CPIAUCSL']",0.125
"['Volume', 'BAA', 'TWEXBMTH', 'HOUST']",0
"['Volume', 'BAA', 'TWEXBMTH', 'HSN1F']",0
"['Volume', 'BAA', 'TWEXBMTH', 'FEDFUNDS']",0
