,Open,High,Low,Close,Adj Close,Volume,HM4UP,LM4DN,ISM_PMI_Actual,경상수지,상품수지,BAA,UNRATE,T10Y2YM,NEWORDER,CSUSHPINSA,PCE,LREMTTTTUSM156S,DGORDER,TWEXBMTH,UNRATENSA,TCU,INDPRO,PPIACO,RMFSL,CPIAUCSL,HOUST,HSN1F,FEDFUNDS,USSLIND,TOTALSA,UMCSENT,서울아파트매매가격지수,AMBNS,자가주거비포함지수,자가주거비,수출물가지수,EXJPUS,EXKOUS,EXCHUS,XTEXVA01CNM667S,정책금리,통화량,GACDFSA066MSFRBPHI,XTIMVA01KRM667S,KORPROINDMISMEI,KORCPIALLMINMEI,LRUNTTTTKRM156S,한국실업률,IR3TCD01KRM156N,환율평균
Open,1.0,0.9843513085194179,0.9588118246885513,0.9525452548968446,0.9525452548968446,-0.11205554011965148,-0.376582744408425,-0.1121735826523924,0.7055772480806449,0.3626291777405803,0.4962992003784267,-0.8146672521871704,-0.5067246002438026,-0.3976668972913748,0.6159890079161455,0.530381048155994,0.7772103708839533,-0.13027158522411864,0.7286498609949973,0.406997387084534,-0.5055262107606698,0.5144763236500612,0.6902649283700578,0.6241634979388299,-0.5854661187624832,0.786839193906222,0.5288653660032445,0.3409876423765238,0.009142000331548316,0.7374785454714057,0.7090993508235286,0.6917736493452392,0.37569095938292485,0.6622756276372486,0.7556732547609226,0.7532831890159731,-0.5979567461268642,0.2535583826944377,-0.39630150486864973,-0.3492661283674615,0.792816697501781,-0.3959419154834771,0.7422955455501706,0.6454280681256266,0.6870954739390229,0.8372892312198587,0.7517093531014925,0.21501075137817538,0.1104979885405644,-0.5012607711206873,-0.3975173950933065
High,0.9843513085194179,1.0,0.9684003013233302,0.9790789162849503,0.9790789162849503,-0.12697030542650292,-0.24230550094903924,-0.19689998323165378,0.7153334308297717,0.3293447135623796,0.4829185329868544,-0.8047551168132886,-0.5006906495238104,-0.4130908454177182,0.6039489941161696,0.5326674425600777,0.7703873723483889,-0.1237211594629571,0.7179122995583077,0.4090615620077959,-0.4993738629133245,0.5081047018264623,0.67848228797707,0.597117389808591,-0.5788602851118718,0.7726198436153411,0.5254839842755691,0.3544248820963211,0.03194332119002632,0.7269882014628404,0.6954467408158349,0.6902215167388244,0.3904514255046445,0.645581905955842,0.7426878643376241,0.739986804830716,-0.5930986739464861,0.24267775221572402,-0.3947305705291686,-0.31798396364581333,0.7694566928338642,-0.3967758240155515,0.7352483757956687,0.671398628355863,0.6697683518426614,0.8257820211454661,0.7387699439354153,0.23279308854116018,0.12412877195296068,-0.5026250894606858,-0.3956215182176781
Low,0.9588118246885513,0.9684003013233302,1.0,0.9858624684918044,0.9858624684918044,-0.11877551906354818,-0.2656054146470494,-0.3022865656168059,0.7244334454113324,0.3551235808804311,0.5257816061782337,-0.8543453980465826,-0.48251229149306335,-0.3802962323394429,0.560736981282678,0.5195497802674592,0.7821818340408034,-0.17992131754080265,0.6918052870747838,0.4238382058606598,-0.4791091206159767,0.46042529784722164,0.6563215331874294,0.5863258209910134,-0.6332005750437566,0.7899836917362021,0.5266002653806823,0.34702582304324864,-0.028963468335768815,0.7597273442543391,0.715948434677846,0.7289988837312799,0.3470234816538348,0.6952720548385689,0.7720913957569714,0.7705670490526972,-0.6398311331290268,0.2587299271243292,-0.38900324849049306,-0.35621460534655797,0.7827991349879596,-0.4639434134128332,0.7573826452300122,0.7165656602566184,0.640735283194263,0.8454462482925245,0.7674577408229292,0.26451312603390476,0.16185740016788266,-0.5773758565323819,-0.3900148832541737
Close,0.9525452548968446,0.9790789162849503,0.9858624684918044,1.0,1.0,-0.1430729559099123,-0.19712246007930007,-0.3118617820649072,0.7179242185383826,0.3358741889046479,0.50656581704989,-0.831740488179044,-0.4915188168110826,-0.3994276885218909,0.5780291285743485,0.5228206046254996,0.7668974374729047,-0.15132107783322948,0.7041263377153697,0.41290837871890035,-0.4895072307671624,0.4863405043777373,0.6657938471550006,0.5727898856909489,-0.6135838875278458,0.7689147426764322,0.5332485144359609,0.36161845594128,0.010654534680423721,0.7499292681579394,0.7124376753995088,0.7146685985823302,0.34360278396146465,0.6683375875143194,0.7492092212148149,0.7492369513758187,-0.628392750206451,0.255169931434524,-0.4010738069640726,-0.32636591010232385,0.7651045180664047,-0.427980831265981,0.7362749994491675,0.7042675460808004,0.6364050653559666,0.8304663069627629,0.744283104416231,0.24785827548735248,0.1508501433882706,-0.5429550034458515,-0.4017995831423661
Adj Close,0.9525452548968446,0.9790789162849503,0.9858624684918044,1.0,1.0,-0.1430729559099123,-0.19712246007930007,-0.3118617820649072,0.7179242185383826,0.3358741889046479,0.50656581704989,-0.831740488179044,-0.4915188168110826,-0.3994276885218909,0.5780291285743485,0.5228206046254996,0.7668974374729047,-0.15132107783322948,0.7041263377153697,0.41290837871890035,-0.4895072307671624,0.4863405043777373,0.6657938471550006,0.5727898856909489,-0.6135838875278458,0.7689147426764322,0.5332485144359609,0.36161845594128,0.010654534680423721,0.7499292681579394,0.7124376753995088,0.7146685985823302,0.34360278396146465,0.6683375875143194,0.7492092212148149,0.7492369513758187,-0.628392750206451,0.255169931434524,-0.4010738069640726,-0.32636591010232385,0.7651045180664047,-0.427980831265981,0.7362749994491675,0.7042675460808004,0.6364050653559666,0.8304663069627629,0.744283104416231,0.24785827548735248,0.1508501433882706,-0.5429550034458515,-0.4017995831423661
Volume,-0.11205554011965148,-0.12697030542650292,-0.11877551906354818,-0.1430729559099123,-0.1430729559099123,1.0,-0.039716059869477405,0.118195136737759,-0.07151187656523891,-0.18943666410710153,-0.18731925774073002,0.139154297322535,-0.0068255921166295655,-0.009019500831644779,0.028891377267309885,-0.015324506066501868,-0.09024825390006029,0.13505932345555338,-0.023782604955929803,-0.08338582176667812,-0.007176772508897759,0.018209198357309615,-0.024066671413950417,0.032425568293921805,0.1904546563996225,-0.08270714527882175,-0.042307479994890165,-0.03344727000575548,0.06467274539818227,-0.1817607649768991,-0.05231733136159797,-0.12893654104629457,0.037566564451503734,-0.15859938805495605,-0.11685407955903915,-0.11520280490162921,0.12447794600257803,0.04272675962510932,-0.04290617957927024,0.05307420300470258,-0.0855086938173428,0.19883841622622844,-0.10805809501758146,-0.14197559404122706,0.03446660953692915,-0.12491495218364405,-0.11708107010162516,-0.07581034642892252,-0.06548571579287171,0.19457444774835167,-0.042399751038451845
HM4UP,-0.376582744408425,-0.24230550094903924,-0.2656054146470494,-0.19712246007930007,-0.19712246007930007,-0.039716059869477405,1.0,-0.3111555686714855,-0.14974740123335617,-0.3179914223092099,-0.2763171768580318,0.33913712632537496,0.18805406220081652,0.04529284789579243,-0.2113769528826569,-0.15457468361008733,-0.29600970262194876,0.09829865707504513,-0.25384643001430407,-0.15014131881169282,0.18292773439529633,-0.13955784418804806,-0.24328182846018098,-0.32283459603815634,0.24416501995520679,-0.3360400807477797,-0.19297127531896613,-0.05382299307021981,0.1375274767591348,-0.2859501893846634,-0.31298315602170984,-0.23944943006629843,-0.02377543246301194,-0.3261859667677671,-0.33215362153029987,-0.3334493005260842,0.2417139313874685,-0.16097669011712296,0.11904889690663577,0.2684272111058421,-0.3689688043169416,0.1644174078411477,-0.2898970799947058,-0.11103454448880781,-0.28760258853526605,-0.35423859244809397,-0.3302405682229611,-0.04197687233294023,-0.03492221482567283,0.20293104330030484,0.12075086306258022
LM4DN,-0.1121735826523924,-0.19689998323165378,-0.3022865656168059,-0.3118617820649072,-0.3118617820649072,0.118195136737759,-0.3111555686714855,1.0,-0.29138336787662433,-0.012661090074242116,-0.14554777414813294,0.28641409546230334,0.058577400531375425,0.05619136672604281,-0.01919080381189359,-0.1124840690296894,-0.14834426141567278,0.10206501954071018,-0.09068709704155373,-0.10198058418851845,0.06964623875894739,-0.03866805212833578,-0.08950366221746493,0.0009683624920742181,0.2487974574317798,-0.12906375543632573,-0.14105243182974664,-0.14088059247570286,0.009229574403547389,-0.25995529087850205,-0.17540851648637135,-0.22249244129838472,0.00016371970866732298,-0.17366720195214697,-0.15184191845416578,-0.15756864697983972,0.2305180001605842,-0.057938345691483796,0.14721105230244563,-0.03088803576581267,-0.09941908033259636,0.2032785488879532,-0.1546774097124912,-0.3880104175781544,-0.04442048233056264,-0.20339958367244576,-0.148039343281694,-0.19092736751751047,-0.11563228564465475,0.23776849412935178,0.14809692591580584
ISM_PMI_Actual,0.7055772480806449,0.7153334308297717,0.7244334454113324,0.7179242185383826,0.7179242185383826,-0.07151187656523891,-0.14974740123335617,-0.29138336787662433,1.0,0.06457816444996473,0.1896013573605406,-0.613569556161179,-0.17771296366429779,-0.10826796424125693,0.44882676317400566,0.2788333087037948,0.4342271891328095,-0.2071182631997992,0.5047618960218624,0.11514358164077468,-0.18337477621584292,0.42436977424477496,0.4407094168243295,0.4882327022351228,-0.5474643153914542,0.44930312711668285,0.2798657841947194,0.1713032811398697,0.0644023014436344,0.723140403914051,0.39545566504453433,0.48995378009575996,0.2794445736112407,0.3749502914541469,0.4260285043357253,0.38948373492023314,-0.35483600407054794,0.08228822224543547,-0.48556273750056067,-0.14792867859930675,0.5040851296724571,-0.23712482761338885,0.41996358982655885,0.8191499877676112,0.5984667880865141,0.6271291726293107,0.43339124160362713,0.22035450310958202,0.10578500484715157,-0.30562931811594196,-0.4867867914454965
경상수지,0.3626291777405803,0.3293447135623796,0.3551235808804311,0.3358741889046479,0.3358741889046479,-0.18943666410710153,-0.3179914223092099,-0.012661090074242116,0.06457816444996473,1.0,0.9074049889391538,-0.5187508396940939,-0.33643206027513983,-0.21633460758360692,0.10779653041097163,0.3500105691571667,0.5798075613659499,-0.2516589964872147,0.2705369080397382,0.5253855039034692,-0.3559768954816743,0.04055411878132446,0.3459992625370516,0.22049248867002846,-0.4665998850251121,0.5999365446696745,0.3312578361209387,0.11200249007583664,-0.31113389976926953,0.34207494812581696,0.5088908956279923,0.5106133570870781,0.048109038267286,0.7052631196794182,0.6422100798916939,0.6698621392822002,-0.4642635418681618,0.33884528334468467,0.19947473469341928,-0.44339049715451423,0.5677090047672845,-0.5978401303960811,0.6070188732115899,0.20217779268708885,0.13083037424189797,0.5158001892348069,0.6302089841749724,0.16535133078566902,-0.09654007901361412,-0.6242828376696583,0.19784587763539516
