feature,score
"['서울아파트매매가격지수', 'XTIMVA01KRM667S', 'KORPROINDMISMEI']",-0.692888113
"['CPIAUCSL', '서울아파트매매가격지수', 'EXJPUS']",-0.695082981
"['CPIAUCSL', '서울아파트매매가격지수', 'IR3TCD01KRM156N']",-0.69856267
"['Volume', '서울아파트매매가격지수', 'KORPROINDMISMEI']",-0.767660232
"['경상수지', 'CPIAUCSL', '서울아파트매매가격지수']",-0.815827001
"['서울아파트매매가격지수', 'KORPROINDMISMEI', 'LRUNTTTTKRM156S']",-0.834912291
"['상품수지', 'CPIAUCSL', '서울아파트매매가격지수']",-0.908729261
"['PPIACO', '서울아파트매매가격지수', 'KORPROINDMISMEI']",-0.925451184
"['HSN1F', '서울아파트매매가격지수', 'KORPROINDMISMEI']",-0.926771175
"['UMCSENT', '서울아파트매매가격지수', 'KORPROINDMISMEI']",-0.940632155
"['서울아파트매매가격지수', 'GACDFSA066MSFRBPHI', 'KORPROINDMISMEI']",-0.94403701
"['서울아파트매매가격지수', 'EXJPUS', 'KORPROINDMISMEI']",-0.961749241
"['Volume', 'CPIAUCSL', '서울아파트매매가격지수']",-0.962809864
"['UNRATENSA', '서울아파트매매가격지수', 'KORPROINDMISMEI']",-0.965908397
"['CPIAUCSL', '서울아파트매매가격지수', '정책금리']",-0.99130949
"['서울아파트매매가격지수', '자가주거비', 'EXJPUS']",-1.017385342
"['서울아파트매매가격지수', '자가주거비포함지수', 'GACDFSA066MSFRBPHI']",-1.019139938
"['Volume', '서울아파트매매가격지수', 'KORCPIALLMINMEI']",-1.029676274
"['Volume', '서울아파트매매가격지수', '자가주거비포함지수']",-1.036282986
"['서울아파트매매가격지수', 'EXJPUS', '통화량']",-1.041500971
"['LREMTTTTUSM156S', 'CPIAUCSL', '서울아파트매매가격지수']",-1.045903319
"['Volume', '서울아파트매매가격지수', '통화량']",-1.050370819
"['CPIAUCSL', '서울아파트매매가격지수', 'XTIMVA01KRM667S']",-1.052914559
"['서울아파트매매가격지수', 'GACDFSA066MSFRBPHI', 'KORCPIALLMINMEI']",-1.058259341
"['서울아파트매매가격지수', '자가주거비포함지수', 'EXJPUS']",-1.058763427
"['서울아파트매매가격지수', 'AMBNS', 'KORPROINDMISMEI']",-1.06050317
"['CPIAUCSL', '서울아파트매매가격지수', '한국실업률']",-1.062121831
"['Volume', '서울아파트매매가격지수', '자가주거비']",-1.063670312
"['서울아파트매매가격지수', '자가주거비포함지수', 'XTIMVA01KRM667S']",-1.070154455
"['서울아파트매매가격지수', '자가주거비', 'GACDFSA066MSFRBPHI']",-1.071668847
"['서울아파트매매가격지수', '통화량', 'GACDFSA066MSFRBPHI']",-1.073472485
"['서울아파트매매가격지수', 'KORCPIALLMINMEI', 'LRUNTTTTKRM156S']",-1.074100279
"['Volume', 'PCE', '서울아파트매매가격지수']",-1.074653756
"['PCE', '서울아파트매매가격지수', 'GACDFSA066MSFRBPHI']",-1.080923939
"['CPIAUCSL', 'FEDFUNDS', '서울아파트매매가격지수']",-1.081647792
"['CPIAUCSL', '서울아파트매매가격지수', 'AMBNS']",-1.082665874
"['CPIAUCSL', 'HSN1F', '서울아파트매매가격지수']",-1.083963529
"['CPIAUCSL', '서울아파트매매가격지수', 'LRUNTTTTKRM156S']",-1.090893951
"['서울아파트매매가격지수', '통화량', 'LRUNTTTTKRM156S']",-1.09303945
"['NEWORDER', '서울아파트매매가격지수', 'KORPROINDMISMEI']",-1.09359743
"['서울아파트매매가격지수', '통화량', 'XTIMVA01KRM667S']",-1.098210477
"['서울아파트매매가격지수', '자가주거비', 'XTIMVA01KRM667S']",-1.10082553
"['서울아파트매매가격지수', '정책금리', 'KORPROINDMISMEI']",-1.106223631
"['CSUSHPINSA', 'CPIAUCSL', '서울아파트매매가격지수']",-1.108551663
"['TWEXBMTH', 'UMCSENT', 'EXKOUS']",-1.112625675
"['서울아파트매매가격지수', '자가주거비포함지수', 'LRUNTTTTKRM156S']",-1.113183795
"['FEDFUNDS', '서울아파트매매가격지수', 'KORPROINDMISMEI']",-1.114211746
"['HSN1F', '서울아파트매매가격지수', 'KORCPIALLMINMEI']",-1.115946893
"['서울아파트매매가격지수', '통화량', 'KORPROINDMISMEI']",-1.119022626
"['서울아파트매매가격지수', 'EXJPUS', 'KORCPIALLMINMEI']",-1.124721709
"['PCE', '서울아파트매매가격지수', 'LRUNTTTTKRM156S']",-1.131940927
"['서울아파트매매가격지수', 'XTEXVA01CNM667S', 'KORPROINDMISMEI']",-1.134130333
"['서울아파트매매가격지수', '자가주거비', 'LRUNTTTTKRM156S']",-1.140847603
"['UNRATE', '서울아파트매매가격지수', 'KORPROINDMISMEI']",-1.14145289
"['서울아파트매매가격지수', '자가주거비포함지수', '한국실업률']",-1.143194478
"['HSN1F', '서울아파트매매가격지수', '자가주거비포함지수']",-1.145742883
"['서울아파트매매가격지수', 'AMBNS', 'KORCPIALLMINMEI']",-1.148145193
"['HSN1F', '서울아파트매매가격지수', '통화량']",-1.15183447
"['HOUST', '서울아파트매매가격지수', 'KORPROINDMISMEI']",-1.153804086
"['서울아파트매매가격지수', '자가주거비포함지수', '정책금리']",-1.155270221
"['서울아파트매매가격지수', '자가주거비포함지수', 'KORPROINDMISMEI']",-1.162545942
"['서울아파트매매가격지수', 'XTEXVA01CNM667S', 'GACDFSA066MSFRBPHI']",-1.166325684
"['서울아파트매매가격지수', 'AMBNS', '통화량']",-1.168832235
"['PCE', '서울아파트매매가격지수', 'XTIMVA01KRM667S']",-1.16896648
"['서울아파트매매가격지수', 'KORPROINDMISMEI', 'KORCPIALLMINMEI']",-1.169542392
"['PCE', 'HSN1F', '서울아파트매매가격지수']",-1.170166203
"['HSN1F', '서울아파트매매가격지수', '자가주거비']",-1.1721479
"['서울아파트매매가격지수', '자가주거비', 'KORPROINDMISMEI']",-1.173915859
"['서울아파트매매가격지수', 'XTIMVA01KRM667S', 'KORCPIALLMINMEI']",-1.174460042
"['CPIAUCSL', 'HOUST', '서울아파트매매가격지수']",-1.17506045
"['서울아파트매매가격지수', 'AMBNS', '자가주거비포함지수']",-1.175262473
"['UNRATE', 'CPIAUCSL', '서울아파트매매가격지수']",-1.176065206
"['서울아파트매매가격지수', 'KORCPIALLMINMEI', '한국실업률']",-1.17964992
"['PCE', '서울아파트매매가격지수', 'EXJPUS']",-1.184405397
