,feature,accuracy,precision,recall
22,"['Volume', 'ISM_PMI_Actual', 'UMCSENT']",0.810810811,1,0.125
103,"['Volume', '상품수지', 'UMCSENT']",0.810810811,1,0.125
108,"['Volume', '상품수지', '수출물가지수']",0.810810811,1,0.125
158,"['Volume', 'BAA', 'LRUNTTTTKRM156S']",0.810810811,1,0.125
308,"['Volume', 'PCE', 'LREMTTTTUSM156S']",0.810810811,1,0.125
324,"['Volume', 'PCE', 'AMBNS']",0.810810811,1,0.125
338,"['Volume', 'PCE', 'LRUNTTTTKRM156S']",0.810810811,1,0.125
341,"['Volume', 'PCE', '환율평균']",0.810810811,1,0.125
599,"['Volume', 'CPIAUCSL', 'LRUNTTTTKRM156S']",0.810810811,1,0.125
693,"['Volume', 'TOTALSA', 'UMCSENT']",0.810810811,1,0.125
712,"['Volume', 'TOTALSA', '환율평균']",0.810810811,1,0.125
731,"['Volume', 'UMCSENT', '환율평균']",0.810810811,1,0.125
871,"['Volume', '통화량', 'LRUNTTTTKRM156S']",0.810810811,1,0.125
889,"['Volume', 'KORPROINDMISMEI', 'LRUNTTTTKRM156S']",0.810810811,1,0.125
906,"['ISM_PMI_Actual', '경상수지', 'T10Y2YM']",0.837837838,1,0.25
907,"['ISM_PMI_Actual', '경상수지', 'NEWORDER']",0.837837838,1,0.25
909,"['ISM_PMI_Actual', '경상수지', 'PCE']",0.810810811,1,0.125
911,"['ISM_PMI_Actual', '경상수지', 'DGORDER']",0.837837838,1,0.25
920,"['ISM_PMI_Actual', '경상수지', 'HSN1F']",0.810810811,1,0.125
924,"['ISM_PMI_Actual', '경상수지', 'UMCSENT']",0.810810811,1,0.125
929,"['ISM_PMI_Actual', '경상수지', '수출물가지수']",0.837837838,1,0.25
946,"['ISM_PMI_Actual', '상품수지', 'T10Y2YM']",0.810810811,1,0.125
949,"['ISM_PMI_Actual', '상품수지', 'PCE']",0.810810811,1,0.125
953,"['ISM_PMI_Actual', '상품수지', 'UNRATENSA']",0.810810811,1,0.125
955,"['ISM_PMI_Actual', '상품수지', 'INDPRO']",0.810810811,1,0.125
959,"['ISM_PMI_Actual', '상품수지', 'HOUST']",0.810810811,1,0.125
960,"['ISM_PMI_Actual', '상품수지', 'HSN1F']",0.810810811,1,0.125
964,"['ISM_PMI_Actual', '상품수지', 'UMCSENT']",0.810810811,1,0.125
980,"['ISM_PMI_Actual', '상품수지', 'LRUNTTTTKRM156S']",0.810810811,1,0.125
984,"['ISM_PMI_Actual', 'BAA', 'UNRATE']",0.810810811,1,0.125
988,"['ISM_PMI_Actual', 'BAA', 'PCE']",0.810810811,1,0.125
1026,"['ISM_PMI_Actual', 'UNRATE', 'PCE']",0.810810811,1,0.125
1063,"['ISM_PMI_Actual', 'T10Y2YM', 'PCE']",0.810810811,1,0.125
1066,"['ISM_PMI_Actual', 'T10Y2YM', 'TWEXBMTH']",0.810810811,1,0.125
1099,"['ISM_PMI_Actual', 'NEWORDER', 'PCE']",0.810810811,1,0.125
1134,"['ISM_PMI_Actual', 'CSUSHPINSA', 'PCE']",0.810810811,1,0.125
1169,"['ISM_PMI_Actual', 'PCE', 'LREMTTTTUSM156S']",0.810810811,1,0.125
1170,"['ISM_PMI_Actual', 'PCE', 'DGORDER']",0.810810811,1,0.125
1171,"['ISM_PMI_Actual', 'PCE', 'TWEXBMTH']",0.810810811,1,0.125
1172,"['ISM_PMI_Actual', 'PCE', 'UNRATENSA']",0.810810811,1,0.125
1173,"['ISM_PMI_Actual', 'PCE', 'TCU']",0.810810811,1,0.125
1174,"['ISM_PMI_Actual', 'PCE', 'INDPRO']",0.810810811,1,0.125
1175,"['ISM_PMI_Actual', 'PCE', 'PPIACO']",0.810810811,1,0.125
1176,"['ISM_PMI_Actual', 'PCE', 'RMFSL']",0.810810811,1,0.125
1178,"['ISM_PMI_Actual', 'PCE', 'HOUST']",0.810810811,1,0.125
1179,"['ISM_PMI_Actual', 'PCE', 'HSN1F']",0.810810811,1,0.125
1180,"['ISM_PMI_Actual', 'PCE', 'FEDFUNDS']",0.810810811,1,0.125
1181,"['ISM_PMI_Actual', 'PCE', 'USSLIND']",0.810810811,1,0.125
1182,"['ISM_PMI_Actual', 'PCE', 'TOTALSA']",0.810810811,1,0.125
1184,"['ISM_PMI_Actual', 'PCE', '서울아파트매매가격지수']",0.810810811,1,0.125
1186,"['ISM_PMI_Actual', 'PCE', '자가주거비포함지수']",0.810810811,1,0.125
1187,"['ISM_PMI_Actual', 'PCE', '자가주거비']",0.810810811,1,0.125
1189,"['ISM_PMI_Actual', 'PCE', 'EXJPUS']",0.810810811,1,0.125
1190,"['ISM_PMI_Actual', 'PCE', 'EXKOUS']",0.810810811,1,0.125
1191,"['ISM_PMI_Actual', 'PCE', 'EXCHUS']",0.810810811,1,0.125
1192,"['ISM_PMI_Actual', 'PCE', 'XTEXVA01CNM667S']",0.810810811,1,0.125
1194,"['ISM_PMI_Actual', 'PCE', '통화량']",0.810810811,1,0.125
1197,"['ISM_PMI_Actual', 'PCE', 'KORPROINDMISMEI']",0.810810811,1,0.125
1199,"['ISM_PMI_Actual', 'PCE', 'LRUNTTTTKRM156S']",0.810810811,1,0.125
1200,"['ISM_PMI_Actual', 'PCE', '한국실업률']",0.810810811,1,0.125
1295,"['ISM_PMI_Actual', 'TWEXBMTH', 'LRUNTTTTKRM156S']",0.810810811,1,0.125
1337,"['ISM_PMI_Actual', 'TCU', 'TOTALSA']",0.864864865,1,0.375
1354,"['ISM_PMI_Actual', 'TCU', 'LRUNTTTTKRM156S']",0.810810811,1,0.125
1365,"['ISM_PMI_Actual', 'INDPRO', 'TOTALSA']",0.864864865,1,0.375
1467,"['ISM_PMI_Actual', 'HOUST', 'TOTALSA']",0.810810811,1,0.125
1556,"['ISM_PMI_Actual', 'TOTALSA', 'AMBNS']",0.810810811,1,0.125
1563,"['ISM_PMI_Actual', 'TOTALSA', 'XTEXVA01CNM667S']",0.837837838,1,0.25
1572,"['ISM_PMI_Actual', 'TOTALSA', 'IR3TCD01KRM156N']",0.810810811,1,0.125
1766,"['경상수지', '상품수지', 'T10Y2YM']",0.864864865,1,0.375
1767,"['경상수지', '상품수지', 'NEWORDER']",0.810810811,1,0.125
1769,"['경상수지', '상품수지', 'PCE']",0.810810811,1,0.125
1771,"['경상수지', '상품수지', 'DGORDER']",0.837837838,1,0.25
1772,"['경상수지', '상품수지', 'TWEXBMTH']",0.837837838,1,0.25
1773,"['경상수지', '상품수지', 'UNRATENSA']",0.810810811,1,0.125
1775,"['경상수지', '상품수지', 'INDPRO']",0.810810811,1,0.125
1780,"['경상수지', '상품수지', 'HSN1F']",0.837837838,1,0.25
1784,"['경상수지', '상품수지', 'UMCSENT']",0.810810811,1,0.125
1789,"['경상수지', '상품수지', '수출물가지수']",0.837837838,1,0.25
1808,"['경상수지', 'BAA', 'PCE']",0.810810811,1,0.125
1812,"['경상수지', 'BAA', 'UNRATENSA']",0.810810811,1,0.125
1828,"['경상수지', 'BAA', '수출물가지수']",0.810810811,1,0.125
1833,"['경상수지', 'BAA', '정책금리']",0.810810811,1,0.125
1839,"['경상수지', 'BAA', 'LRUNTTTTKRM156S']",0.810810811,1,0.125
1841,"['경상수지', 'BAA', 'IR3TCD01KRM156N']",0.810810811,1,0.125
1846,"['경상수지', 'UNRATE', 'PCE']",0.810810811,1,0.125
1848,"['경상수지', 'UNRATE', 'DGORDER']",0.837837838,1,0.25
1861,"['경상수지', 'UNRATE', 'UMCSENT']",0.837837838,1,0.25
1877,"['경상수지', 'UNRATE', 'LRUNTTTTKRM156S']",0.837837838,1,0.25
1879,"['경상수지', 'UNRATE', 'IR3TCD01KRM156N']",0.810810811,1,0.125
1883,"['경상수지', 'T10Y2YM', 'PCE']",0.810810811,1,0.125
1889,"['경상수지', 'T10Y2YM', 'INDPRO']",0.810810811,1,0.125
1898,"['경상수지', 'T10Y2YM', 'UMCSENT']",0.810810811,1,0.125
1903,"['경상수지', 'T10Y2YM', '수출물가지수']",0.837837838,1,0.25
1905,"['경상수지', 'T10Y2YM', 'EXKOUS']",0.810810811,1,0.125
1908,"['경상수지', 'T10Y2YM', '정책금리']",0.810810811,1,0.125
1915,"['경상수지', 'T10Y2YM', '한국실업률']",0.837837838,1,0.25
1919,"['경상수지', 'NEWORDER', 'PCE']",0.837837838,1,0.25
1920,"['경상수지', 'NEWORDER', 'LREMTTTTUSM156S']",0.810810811,1,0.125
1928,"['경상수지', 'NEWORDER', 'CPIAUCSL']",0.810810811,1,0.125
1930,"['경상수지', 'NEWORDER', 'HSN1F']",0.810810811,1,0.125
1933,"['경상수지', 'NEWORDER', 'TOTALSA']",0.837837838,1,0.25
1937,"['경상수지', 'NEWORDER', '자가주거비포함지수']",0.810810811,1,0.125
1938,"['경상수지', 'NEWORDER', '자가주거비']",0.810810811,1,0.125
1939,"['경상수지', 'NEWORDER', '수출물가지수']",0.810810811,1,0.125
1943,"['경상수지', 'NEWORDER', 'XTEXVA01CNM667S']",0.810810811,1,0.125
1944,"['경상수지', 'NEWORDER', '정책금리']",0.810810811,1,0.125
1950,"['경상수지', 'NEWORDER', 'LRUNTTTTKRM156S']",0.810810811,1,0.125
1952,"['경상수지', 'NEWORDER', 'IR3TCD01KRM156N']",0.810810811,1,0.125
1954,"['경상수지', 'CSUSHPINSA', 'PCE']",0.810810811,1,0.125
1969,"['경상수지', 'CSUSHPINSA', 'UMCSENT']",0.810810811,1,0.125
1989,"['경상수지', 'PCE', 'LREMTTTTUSM156S']",0.810810811,1,0.125
1990,"['경상수지', 'PCE', 'DGORDER']",0.810810811,1,0.125
1991,"['경상수지', 'PCE', 'TWEXBMTH']",0.810810811,1,0.125
1992,"['경상수지', 'PCE', 'UNRATENSA']",0.810810811,1,0.125
1993,"['경상수지', 'PCE', 'TCU']",0.810810811,1,0.125
1994,"['경상수지', 'PCE', 'INDPRO']",0.810810811,1,0.125
1995,"['경상수지', 'PCE', 'PPIACO']",0.810810811,1,0.125
1996,"['경상수지', 'PCE', 'RMFSL']",0.810810811,1,0.125
1998,"['경상수지', 'PCE', 'HOUST']",0.810810811,1,0.125
1999,"['경상수지', 'PCE', 'HSN1F']",0.810810811,1,0.125
2000,"['경상수지', 'PCE', 'FEDFUNDS']",0.810810811,1,0.125
2001,"['경상수지', 'PCE', 'USSLIND']",0.810810811,1,0.125
2002,"['경상수지', 'PCE', 'TOTALSA']",0.810810811,1,0.125
2003,"['경상수지', 'PCE', 'UMCSENT']",0.810810811,1,0.125
2004,"['경상수지', 'PCE', '서울아파트매매가격지수']",0.810810811,1,0.125
2005,"['경상수지', 'PCE', 'AMBNS']",0.810810811,1,0.125
2006,"['경상수지', 'PCE', '자가주거비포함지수']",0.810810811,1,0.125
2007,"['경상수지', 'PCE', '자가주거비']",0.837837838,1,0.25
2008,"['경상수지', 'PCE', '수출물가지수']",0.810810811,1,0.125
2009,"['경상수지', 'PCE', 'EXJPUS']",0.810810811,1,0.125
2011,"['경상수지', 'PCE', 'EXCHUS']",0.810810811,1,0.125
2012,"['경상수지', 'PCE', 'XTEXVA01CNM667S']",0.810810811,1,0.125
2013,"['경상수지', 'PCE', '정책금리']",0.810810811,1,0.125
2014,"['경상수지', 'PCE', '통화량']",0.837837838,1,0.25
2016,"['경상수지', 'PCE', 'XTIMVA01KRM667S']",0.810810811,1,0.125
2017,"['경상수지', 'PCE', 'KORPROINDMISMEI']",0.810810811,1,0.125
2018,"['경상수지', 'PCE', 'KORCPIALLMINMEI']",0.810810811,1,0.125
2019,"['경상수지', 'PCE', 'LRUNTTTTKRM156S']",0.837837838,1,0.25
2020,"['경상수지', 'PCE', '한국실업률']",0.810810811,1,0.125
2021,"['경상수지', 'PCE', 'IR3TCD01KRM156N']",0.837837838,1,0.25
2022,"['경상수지', 'PCE', '환율평균']",0.810810811,1,0.125
2031,"['경상수지', 'LREMTTTTUSM156S', 'HOUST']",0.810810811,1,0.125
2032,"['경상수지', 'LREMTTTTUSM156S', 'HSN1F']",0.810810811,1,0.125
