,feature,accuracy,precision,recall
0,"['Volume', 'ISM_PMI_Actual', '경상수지']",0.5526315789473685,0.45,0.6
1,"['Volume', 'ISM_PMI_Actual', '상품수지']",0.5,0.4166666666666667,0.6666666666666666
2,"['Volume', 'ISM_PMI_Actual', 'BAA']",0.5,0.35714285714285715,0.3333333333333333
3,"['Volume', 'ISM_PMI_Actual', 'UNRATE']",0.5,0.4,0.5333333333333333
4,"['Volume', 'ISM_PMI_Actual', 'T10Y2YM']",0.5526315789473685,0.4444444444444444,0.5333333333333333
5,"['Volume', 'ISM_PMI_Actual', 'NEWORDER']",0.5263157894736842,0.42105263157894735,0.5333333333333333
6,"['Volume', 'ISM_PMI_Actual', 'CSUSHPINSA']",0.5526315789473685,0.42857142857142855,0.4
7,"['Volume', 'ISM_PMI_Actual', 'PCE']",0.5789473684210527,0.4782608695652174,0.7333333333333333
8,"['Volume', 'ISM_PMI_Actual', 'LREMTTTTUSM156S_x']",0.5,0.4411764705882353,1.0
9,"['Volume', 'ISM_PMI_Actual', 'LREMTTTTUSM156S_y']",0.5,0.4411764705882353,1.0
10,"['Volume', 'ISM_PMI_Actual', 'DGORDER']",0.5263157894736842,0.42857142857142855,0.6
11,"['Volume', 'ISM_PMI_Actual', 'TWEXBMTH']",0.4473684210526316,0.375,0.6
12,"['Volume', 'ISM_PMI_Actual', 'UNRATENSA']",0.5,0.4166666666666667,0.6666666666666666
13,"['Volume', 'ISM_PMI_Actual', 'TCU']",0.6052631578947368,0.5,0.6666666666666666
14,"['Volume', 'ISM_PMI_Actual', 'INDPRO']",0.5263157894736842,0.4117647058823529,0.4666666666666667
15,"['Volume', 'ISM_PMI_Actual', 'PPIACO']",0.5526315789473685,0.4375,0.4666666666666667
16,"['Volume', 'ISM_PMI_Actual', 'RMFSL']",0.6052631578947368,0.5,0.6666666666666666
17,"['Volume', 'ISM_PMI_Actual', 'CPIAUCSL']",0.5263157894736842,0.42105263157894735,0.5333333333333333
18,"['Volume', 'ISM_PMI_Actual', 'HOUST']",0.5,0.3333333333333333,0.26666666666666666
19,"['Volume', 'ISM_PMI_Actual', 'HSN1F']",0.47368421052631576,0.391304347826087,0.6
20,"['Volume', 'ISM_PMI_Actual', 'FEDFUNDS']",0.4473684210526316,0.4117647058823529,0.9333333333333333
21,"['Volume', 'ISM_PMI_Actual', 'USSLIND']",0.631578947368421,0.5294117647058824,0.6
22,"['Volume', 'ISM_PMI_Actual', 'TOTALSA']",0.5789473684210527,0.47619047619047616,0.6666666666666666
23,"['Volume', 'ISM_PMI_Actual', 'UMCSENT']",0.5,0.3888888888888889,0.4666666666666667
24,"['Volume', 'ISM_PMI_Actual', '서울아파트매매가격지수']",0.5263157894736842,0.44,0.7333333333333333
25,"['Volume', 'ISM_PMI_Actual', 'AMBNS']",0.5,0.4090909090909091,0.6
