,feature,accuracy,precision,recall
0,"['Volume', 'ISM_PMI_Actual', '경상수지']",0.631578947368421,0.2727272727272727,0.3333333333333333
1,"['Volume', 'ISM_PMI_Actual', '상품수지']",0.631578947368421,0.2727272727272727,0.3333333333333333
2,"['Volume', 'ISM_PMI_Actual', 'BAA']",0.6052631578947368,0.0,0.0
3,"['Volume', 'ISM_PMI_Actual', 'UNRATE']",0.5,0.14285714285714285,0.2222222222222222
4,"['Volume', 'ISM_PMI_Actual', 'T10Y2YM']",0.6052631578947368,0.0,0.0
5,"['Volume', 'ISM_PMI_Actual', 'NEWORDER']",0.631578947368421,0.0,0.0
6,"['Volume', 'ISM_PMI_Actual', 'CSUSHPINSA']",0.5526315789473685,0.0,0.0
7,"['Volume', 'ISM_PMI_Actual', 'PCE']",0.6052631578947368,0.125,0.1111111111111111
8,"['Volume', 'ISM_PMI_Actual', 'LREMTTTTUSM156S_x']",0.5789473684210527,0.23076923076923078,0.3333333333333333
9,"['Volume', 'ISM_PMI_Actual', 'LREMTTTTUSM156S_y']",0.5789473684210527,0.23076923076923078,0.3333333333333333
10,"['Volume', 'ISM_PMI_Actual', 'DGORDER']",0.6052631578947368,0.2,0.2222222222222222
11,"['Volume', 'ISM_PMI_Actual', 'TWEXBMTH']",0.5263157894736842,0.15384615384615385,0.2222222222222222
12,"['Volume', 'ISM_PMI_Actual', 'UNRATENSA']",0.5263157894736842,0.15384615384615385,0.2222222222222222
13,"['Volume', 'ISM_PMI_Actual', 'TCU']",0.47368421052631576,0.0,0.0
14,"['Volume', 'ISM_PMI_Actual', 'INDPRO']",0.631578947368421,0.14285714285714285,0.1111111111111111
15,"['Volume', 'ISM_PMI_Actual', 'PPIACO']",0.5789473684210527,0.18181818181818182,0.2222222222222222
16,"['Volume', 'ISM_PMI_Actual', 'RMFSL']",0.5526315789473685,0.21428571428571427,0.3333333333333333
17,"['Volume', 'ISM_PMI_Actual', 'CPIAUCSL']",0.6052631578947368,0.125,0.1111111111111111
18,"['Volume', 'ISM_PMI_Actual', 'HOUST']",0.5789473684210527,0.0,0.0
19,"['Volume', 'ISM_PMI_Actual', 'HSN1F']",0.5526315789473685,0.1,0.1111111111111111
20,"['Volume', 'ISM_PMI_Actual', 'FEDFUNDS']",0.3157894736842105,0.16,0.4444444444444444
21,"['Volume', 'ISM_PMI_Actual', 'USSLIND']",0.6578947368421053,0.3333333333333333,0.4444444444444444
22,"['Volume', 'ISM_PMI_Actual', 'TOTALSA']",0.47368421052631576,0.13333333333333333,0.2222222222222222
23,"['Volume', 'ISM_PMI_Actual', 'UMCSENT']",0.5526315789473685,0.1,0.1111111111111111
24,"['Volume', 'ISM_PMI_Actual', '서울아파트매매가격지수']",0.5789473684210527,0.26666666666666666,0.4444444444444444
25,"['Volume', 'ISM_PMI_Actual', 'AMBNS']",0.7368421052631579,0.4,0.2222222222222222
26,"['Volume', 'ISM_PMI_Actual', '수출물가지수']",0.5789473684210527,0.23076923076923078,0.3333333333333333
27,"['Volume', 'ISM_PMI_Actual', 'EXJPUS']",0.5526315789473685,0.1,0.1111111111111111
28,"['Volume', 'ISM_PMI_Actual', 'EXKOUS']",0.6578947368421053,0.3,0.3333333333333333
29,"['Volume', 'ISM_PMI_Actual', 'EXCHUS']",0.42105263157894735,0.19047619047619047,0.4444444444444444
30,"['Volume', 'ISM_PMI_Actual', 'XTEXVA01CNM667S']",0.6842105263157895,0.2,0.1111111111111111
31,"['Volume', 'ISM_PMI_Actual', '정책금리']",0.5526315789473685,0.25,0.4444444444444444
32,"['Volume', 'ISM_PMI_Actual', '통화량']",0.5526315789473685,0.25,0.4444444444444444
