,DATE,Open,High,Low,Close,Adj Close,USSLIND,EXKOUS,È¯À²Æò±Õ,LM4DN,LM4DN_pred
111,2016-06-01,1976.869995,2035.27002,1892.75,1970.3499760000002,1970.3499760000002,1.59,1181.573,1182.15,1,0
112,2016-07-01,1977.359985,2030.689941,1944.3299559999998,2016.189941,2016.189941,1.59,1145.7967,1146.71,0,0
113,2016-08-01,2024.709961,2063.090088,1993.0,2034.6500239999998,2034.6500239999998,1.44,1173.7905,1174.58,0,0
114,2016-09-01,2022.959961,2073.889893,1991.469971,2043.630005,2043.630005,1.47,1165.2023,1168.36,0,0
115,2016-10-01,2056.939941,2070.429932,2002.290039,2008.189941,2008.189941,1.53,1140.865,1141.7,0,0
116,2016-11-01,2003.410034,2015.22998,1931.069946,1983.47998,1983.47998,1.56,1110.0183,1111.677,0,0
117,2016-12-01,1987.47998,2053.459961,1960.6500239999998,2026.459961,2026.459961,1.35,1108.3638,1106.77,0,0
118,2017-01-01,2034.310059,2091.02002,2028.469971,2067.570068,2067.570068,1.25,1128.1660000000002,1125.779,0,0
119,2017-02-01,2075.310059,2108.98999,2052.290039,2091.639893,2091.639893,1.69,1162.708,1159.935,0,0
120,2017-03-01,2105.189941,2182.419922,2067.679932,2160.22998,2160.22998,1.65,1183.07,1183.3,0,0
121,2017-04-01,2166.040039,2217.040039,2117.820068,2205.439941,2205.439941,1.76,1179.1074,1182.24,0,0
122,2017-05-01,2213.610107,2371.669922,2212.8701170000004,2347.3798829999996,2347.3798829999996,1.52,1140.4874,1143.36,0,0
123,2017-06-01,2348.310059,2402.800049,2335.6298829999996,2391.790039,2391.790039,1.69,1133.8617,1133.945,0,0
124,2017-07-01,2397.659912,2453.169922,2372.830078,2402.709961,2402.709961,1.6,1134.1755,1133.57,0,0
125,2017-08-01,2397.1201170000004,2434.469971,2310.199951,2363.189941,2363.189941,1.43,1125.1359,1124.65,0,0
126,2017-09-01,2367.449951,2429.1201170000004,2314.310059,2394.469971,2394.469971,1.5,1130.8464,1131.62,0,0
127,2017-10-01,2425.6298829999996,2528.320068,2421.100098,2523.429932,2523.429932,1.42,1131.746,1133.13,0,0
128,2017-11-01,2535.969971,2561.6298829999996,2474.280029,2476.3701170000004,2476.3701170000004,1.39,1130.27,1131.4,0,0
129,2017-12-01,2488.919922,2514.610107,2411.47998,2467.48999,2467.48999,1.18,1131.599,1132.93,0,0
130,2018-01-01,2474.860107,2607.100098,2465.939941,2566.459961,2566.459961,1.6,1130.8838,1129.48,0,0
131,2018-02-01,2578.909912,2583.73999,2346.72998,2427.360107,2427.360107,1.43,1099.7945,1102.82,1,0
132,2018-03-01,2406.570068,2508.709961,2374.800049,2445.850098,2445.850098,1.53,1082.902,1085.95,0,0
133,2018-04-01,2454.719971,2515.3798829999996,2405.909912,2515.3798829999996,2515.3798829999996,1.56,1065.641,1066.54,0,0
134,2018-05-01,2515.75,2516.570068,2399.580078,2423.01001,2423.01001,1.6,1078.4747,1080.7,1,1
135,2018-06-01,2419.6298829999996,2479.560059,2296.389893,2326.1298829999996,2326.1298829999996,1.62,1069.9418,1071.21,1,1
136,2018-07-01,2322.22998,2327.590088,2243.899902,2295.26001,2295.26001,1.6,1068.0452,1068.05,0,1
137,2018-08-01,2301.169922,2322.8798829999996,2218.090088,2322.8798829999996,2322.8798829999996,1.58,1076.6595,1077.05,0,1
138,2018-09-01,2317.929932,2356.6201170000004,2264.899902,2343.070068,2343.070068,1.52,1094.3552,1095.96,0,0
139,2018-10-01,2349.639893,2352.110107,1985.949951,2029.689941,2029.689941,1.34,1122.2029,1123.05,1,1
140,2018-11-01,2035.109985,2136.73999,2023.430054,2096.860107,2096.860107,1.52,1120.427,1120.96,0,0
141,2018-12-01,2127.780029,2136.639893,2014.280029,2041.040039,2041.040039,1.38,1119.82,1120.19,1,1
142,2019-01-01,2050.550049,2222.8798829999996,1984.530029,2204.850098,2204.850098,1.47,1131.615,1132.78,0,0
143,2019-02-01,2211.929932,2241.76001,2167.360107,2195.439941,2195.439941,1.12,1125.345,1127.55,0,0
144,2019-03-01,2210.969971,2216.02002,2120.929932,2140.669922,2140.669922,1.14,1122.4244,1122.65,1,0
145,2019-04-01,2153.310059,2252.050049,2153.310059,2203.590088,2203.590088,1.11,1120.33,1121.72,0,0
146,2019-05-01,2192.939941,2217.030029,2016.25,2041.7399899999998,2041.7399899999998,1.18,1121.8333,1123.66,1,1
147,2019-06-01,2031.030029,2141.27002,2029.1700440000002,2130.6201170000004,2130.6201170000004,1.26,1131.6005,1131.88,0,0
148,2019-07-01,2147.23999,2147.23999,2052.030029,2066.26001,2066.26001,1.36,1142.165,1142.79,1,0
