,Open,High,Low,Close,Adj Close,Volume,HM4UP,LM4D,경상수지,상품수지,BAA,CSUSHPINSA,PCE,LREMTTTTUSM156S,DGORDER,TWEXBMTH,UNRATENSA,TCU,INDPRO,PPIACO,CPIAUCSL,HOUST,HSN1F,FEDFUNDS,USSLIND,TOTALSA,NEWORDER,서울아파트매매가격지수,AMBNS,자가주거비포함지수,자가주거비,수출물가지수,EXJPUS,EXKOUS,EXCHUS,T10Y2YM,XTEXVA01CNM667S,정책금리,통화량,GACDFSA066MSFRBPHI,XTIMVA01KRM667S,KORPROINDMISMEI,KORCPIALLMINMEI,LRUNTTTTKRM156S,한국실업률,IR3TCD01KRM156N,환율평균
Open,1.0,0.9983107696793184,0.995005745188761,0.9949889383888612,0.9949889383888612,0.06520375312483431,-0.07937359848206124,-0.12926766811867513,0.5763314960864108,0.7274055201801869,-0.7202304613853434,0.6808836879331148,0.9508252946846647,-0.2092690085424944,0.667533098050406,0.7361086252153998,-0.5384761790559199,0.14373671661096962,0.7140525333452848,0.5281479505322008,0.8690360524838852,0.055318501943243455,-0.11321433302952967,-0.19182861422466152,0.42115264306533484,0.5745769321371116,0.46743923161257545,0.5980604036315431,0.7854281288788904,0.8379041336630851,0.9038272070665506,-0.6118719592118174,0.36636881697155876,0.0738985455613685,-0.4206076839059588,-0.2761406438980804,0.7933831389547097,-0.6593824177628106,0.9074930941931119,0.4515423628734131,0.5487234864704651,0.7458501703053619,0.8158457423069592,0.369734084022435,0.21746563046451947,-0.7071407463478484,0.07327497176226185
High,0.9983107696793184,1.0,0.9961558829178351,0.9978463735761973,0.9978463735761973,0.0637987730309655,-0.03754667661367445,-0.14763163091412476,0.5748161250813357,0.7287716422385423,-0.7161343156533104,0.6801752748407283,0.9527838353648924,-0.21285131563602946,0.6599732718918743,0.7382379278433842,-0.5331773874948235,0.13552421159239952,0.7090631450272753,0.5275561530540964,0.8709820334965976,0.04954826309537442,-0.1169632345558857,-0.19474748038401493,0.4131601891379465,0.5668703516650195,0.4622194385848759,0.6049432836598173,0.7855502707241031,0.8393989058933893,0.9045552032789179,-0.606966623141606,0.3623318829139802,0.08260866245249472,-0.42355874215899714,-0.274476546676687,0.7931817489259275,-0.6640606373808114,0.9104846149052132,0.44888249123030116,0.5476299648626229,0.7466333294218067,0.817493189941163,0.3774015257464564,0.2255034411356107,-0.7111463749383783,0.08205700955838661
Low,0.995005745188761,0.9961558829178351,1.0,0.9979883544661468,0.9979883544661468,0.017894567004088972,-0.047024487008807674,-0.19518553663528215,0.5730142836374886,0.7333738553992201,-0.7370516343744736,0.679108831343637,0.9474108661626527,-0.21317008878226498,0.6654033653102688,0.7317342757434996,-0.535875575764167,0.1428625319399385,0.7099194025888754,0.522473734502437,0.8650578805313031,0.06360395129254068,-0.10332861252371794,-0.19203084784535407,0.43591427944368477,0.5819567286353174,0.46426935750854054,0.584125463885038,0.7878857994965829,0.8362662871349414,0.9038375521300345,-0.6233088246011417,0.3667972013302873,0.0602818417288642,-0.41804575842133845,-0.2773333435035331,0.7886178956192299,-0.6659403312999057,0.9045064525601678,0.47444035092293046,0.5424152847341326,0.7456424378834577,0.8137561455507962,0.3749343801489977,0.22672585974209358,-0.7174627302609904,0.059653648937704806
Close,0.9949889383888612,0.9978463735761973,0.9979883544661468,1.0,1.0,0.03420147569541923,-0.02854520396903028,-0.1823632153582885,0.5756897159517792,0.7321421981466381,-0.728664761207836,0.6781091250225283,0.9512085123086937,-0.21613214758490856,0.6599826647884112,0.7350685187610562,-0.5333332228539962,0.1365874692791482,0.7082168299937109,0.5249486469577447,0.8693639739642772,0.05512384723491078,-0.11044006463864933,-0.1958100419705905,0.4255225195144016,0.5745883314306475,0.46197143522121764,0.5937519603917647,0.7896946287047687,0.8397721994113333,0.9061519496375473,-0.6168015778510426,0.3634051962274855,0.07315156397286256,-0.42296875265064093,-0.2743341632198897,0.7937750561817732,-0.6675847117653289,0.9090102304866045,0.46241220831642466,0.5445258718613772,0.7479306726019123,0.8175324893880116,0.3791602942093082,0.22978233792252448,-0.7173733401293527,0.07265098755620261
Adj Close,0.9949889383888612,0.9978463735761973,0.9979883544661468,1.0,1.0,0.03420147569541923,-0.02854520396903028,-0.1823632153582885,0.5756897159517792,0.7321421981466381,-0.728664761207836,0.6781091250225283,0.9512085123086937,-0.21613214758490856,0.6599826647884112,0.7350685187610562,-0.5333332228539962,0.1365874692791482,0.7082168299937109,0.5249486469577447,0.8693639739642772,0.05512384723491078,-0.11044006463864933,-0.1958100419705905,0.4255225195144016,0.5745883314306475,0.46197143522121764,0.5937519603917647,0.7896946287047687,0.8397721994113333,0.9061519496375473,-0.6168015778510426,0.3634051962274855,0.07315156397286256,-0.42296875265064093,-0.2743341632198897,0.7937750561817732,-0.6675847117653289,0.9090102304866045,0.46241220831642466,0.5445258718613772,0.7479306726019123,0.8175324893880116,0.3791602942093082,0.22978233792252448,-0.7173733401293527,0.07265098755620261
Volume,0.06520375312483431,0.0637987730309655,0.017894567004088972,0.03420147569541923,0.03420147569541923,1.0,-0.05082819977478272,0.3799570292837379,-0.05586815748758983,-0.04807505724681044,0.3144282418793237,0.10927679344289633,0.052722834308868864,0.06665930005718147,-0.09260268742695095,0.03946682054307586,0.04706377702694141,-0.2014190495747847,-0.08421433479273725,0.01411671053373045,0.04360020674328969,-0.21127516555389697,-0.1792951211148603,0.06029260788777568,-0.35911665117739566,-0.29072145255580256,-0.1255983963149829,0.3526754836187521,-0.0978615961876738,-0.014630663472011713,-0.05344471109672366,0.13875741066166286,0.04214510714807012,0.1336808225881421,0.00738694749433758,0.08945859836122241,-0.028558389010812268,0.017415196847846186,0.054311345809972586,-0.12902005636344768,0.02475757643745952,0.004821438264017097,-0.004812662022174857,0.12663084853260742,0.08916886085178109,0.07948025672341962,0.134711172644404
HM4UP,-0.07937359848206124,-0.03754667661367445,-0.047024487008807674,-0.02854520396903028,-0.02854520396903028,-0.05082819977478272,1.0,-0.27748927787639815,-0.014808015994763382,0.01789518705849233,0.1103184412996096,-0.11475105876071488,-0.02004941535225092,-0.12033348878582568,-0.2077345032481946,-0.05067950973880271,0.200267153596206,-0.208020808672804,-0.17174687684313555,0.01197517929166914,0.0031943871580067114,-0.19126547222698465,-0.14372294204784802,-0.09845960894578089,-0.16548091223576278,-0.22882616609297493,-0.13878162952227346,0.1294071852807011,-0.023592894473171436,0.005755997696517062,-0.03226998140057262,0.1855506678753339,-0.14645782054616466,0.20106800977924524,-0.08792026419008626,0.10325256952207926,-0.024154017807289124,-0.0705850369810953,0.011091656195881918,-0.07961600621062481,-0.011040392099131477,0.0015641432383106228,0.014636586223749533,0.04403952137029382,0.10772040579773128,-0.04490976291223532,0.20345418897476067
LM4D,-0.12926766811867513,-0.14763163091412476,-0.19518553663528215,-0.1823632153582885,-0.1823632153582885,0.3799570292837379,-0.27748927787639815,1.0,-0.05205000092149648,-0.1536026460620694,0.24775987625735973,-0.14447744537107463,-0.10767331446789834,0.03115778392150597,-0.12379000218511566,-0.11454922220342975,0.10519187122871049,-0.04166861078901342,-0.10309085693610914,0.013962762036073766,-0.08013342612068207,-0.12933991074739268,-0.11296579183420259,-0.041101211799190095,-0.24903492985483444,-0.2265743321078043,-0.04900128535964463,0.04994205579758491,-0.1212838254434155,-0.09137607306536474,-0.12341540529332513,0.26459237780412026,-0.151692089438669,0.16340924241341526,-0.011913558482403133,0.09521072705511298,-0.069919104530273,0.14223793617791425,-0.10020813480312736,-0.30061078154202125,-0.000386294380941421,-0.10078566460021054,-0.08217913777192455,-0.09768537147234596,-0.06144733608273434,0.1808151771146266,0.16476417172244004
경상수지,0.5763314960864108,0.5748161250813357,0.5730142836374886,0.5756897159517792,0.5756897159517792,-0.05586815748758983,-0.014808015994763382,-0.05205000092149648,1.0,0.9184139857737397,-0.5525814532882288,0.2216764630050598,0.6360198373733158,-0.4226214656019463,0.2755846191018827,0.4564910236185155,-0.19171579748016007,-0.14181596499472926,0.3173267191983193,0.4004454256385015,0.6379638016433431,-0.13579180720717887,-0.2759559252484468,-0.45716261344044046,0.2642836750046853,0.3225038620384202,0.14240866175159309,0.3257519580766166,0.7331469628191197,0.6731608392962923,0.7097463907136744,-0.35626971385812595,0.15709412214301435,0.3409687192780519,-0.5243394829727994,0.05305569629125219,0.6203305952879385,-0.6413543665080166,0.6579163057741059,0.13248635915558388,0.3378747006946025,0.5841360679544404,0.6595964749895672,0.10265549852959761,-0.13296988626834036,-0.661280312776722,0.33978041262551595
상품수지,0.7274055201801869,0.7287716422385423,0.7333738553992201,0.7321421981466381,0.7321421981466381,-0.04807505724681044,0.01789518705849233,-0.1536026460620694,0.9184139857737397,1.0,-0.6233297110694176,0.413160204645521,0.7486060671049082,-0.34997944069969156,0.34474007989893957,0.6227140229723493,-0.33366045207030937,-0.11535244952215731,0.40414881139965914,0.36138858653904965,0.7058367002609399,-0.03789193441670954,-0.18624482937581385,-0.3731968298282555,0.31469228813096733,0.4277055512251065,0.148925218483943,0.39785291237443576,0.7723050688163702,0.72959307921046,0.7892062478428944,-0.5114430397017774,0.28672153787799987,0.27522925531323794,-0.46144410350852566,-0.07388290340129852,0.6442702991484995,-0.7361265261241419,0.7552102067224545,0.2761990901103401,0.31775977448590426,0.6250781011804377,0.7096414224801592,0.26230087960718584,0.01800123311437393,-0.7663780092315436,0.2744531407733757
