,0,T10Y2YM,TWEXBMTH,ÇÑ±¹½Ç¾÷·ü
0,2004-10-01,,,
1,2004-11-01,,,
2,2004-12-01,,,
3,2005-01-01,,,
4,2005-02-01,,,
5,2005-03-01,,,
6,2005-04-01,,,
7,2005-05-01,,,
8,2005-06-01,,,
9,2005-07-01,,,
10,2005-08-01,,,
11,2005-09-01,,,
12,2005-10-01,,,
13,2005-11-01,,,
14,2005-12-01,,,
15,2006-01-01,,,
16,2006-02-01,,,
17,2006-03-01,,,
18,2006-04-01,,,
19,2006-05-01,,,
20,2006-06-01,,,
21,2006-07-01,,,
22,2006-08-01,,,
23,2006-09-01,,,
24,2006-10-01,,,
25,2006-11-01,,,
26,2006-12-01,,,
27,2007-01-01,,,
28,2007-02-01,,,
29,2007-03-01,,,
30,2007-04-01,,,
31,2007-05-01,,,
32,2007-06-01,,,
33,2007-07-01,,,
34,2007-08-01,,,
35,2007-09-01,,,
36,2007-10-01,,,
37,2007-11-01,,,
38,2007-12-01,,,
39,2008-01-01,,,
40,2008-02-01,,,
41,2008-03-01,,,
42,2008-04-01,,,
43,2008-05-01,,,
44,2008-06-01,,,
45,2008-07-01,,,
46,2008-08-01,,,
47,2008-09-01,,,
48,2008-10-01,,,
49,2008-11-01,,,
50,2008-12-01,,,
51,2009-01-01,,,
52,2009-02-01,,,
53,2009-03-01,,,
54,2009-04-01,,,
55,2009-05-01,,,
56,2009-06-01,,,
57,2009-07-01,,,
58,2009-08-01,,,
59,2009-09-01,,,
60,2009-10-01,,,
61,2009-11-01,,,
62,2009-12-01,,,
63,2010-01-01,,,
64,2010-02-01,,,
65,2010-03-01,,,
66,2010-04-01,,,
67,2010-05-01,,,
68,2010-06-01,,,
69,2010-07-01,,,
70,2010-08-01,,,
71,2010-09-01,,,
72,2010-10-01,,,
73,2010-11-01,,,
74,2010-12-01,,,
75,2011-01-01,,,
76,2011-02-01,,,
77,2011-03-01,,,
78,2011-04-01,,,
79,2011-05-01,,,
80,2011-06-01,,,
81,2011-07-01,,,
82,2011-08-01,,,
83,2011-09-01,,,
84,2011-10-01,,,
85,2011-11-01,,,
86,2011-12-01,,,
87,2012-01-01,,,
88,2012-02-01,,,
89,2012-03-01,,,
90,2012-04-01,,,
91,2012-05-01,,,
92,2012-06-01,,,
93,2012-07-01,,,
94,2012-08-01,,,
95,2012-09-01,,,
96,2012-10-01,,,
97,2012-11-01,,,
98,2012-12-01,,,
99,2013-01-01,,,
100,2013-02-01,,,
101,2013-03-01,,,
102,2013-04-01,,,
103,2013-05-01,,,
104,2013-06-01,,,
105,2013-07-01,,,
106,2013-08-01,,,
107,2013-09-01,,,
108,2013-10-01,,,
109,2013-11-01,,,
110,2013-12-01,,,
111,2014-01-01,,,
112,2014-02-01,,,
113,2014-03-01,,,
114,2014-04-01,,,
115,2014-05-01,,,
116,2014-06-01,,,
117,2014-07-01,,,
118,2014-08-01,,,
119,2014-09-01,,,
120,2014-10-01,,,
121,2014-11-01,,,
122,2014-12-01,,,
123,2015-01-01,,,
124,2015-02-01,,,
125,2015-03-01,,,
126,2015-04-01,,,
127,2015-05-01,,,
128,2015-06-01,,,
129,2015-07-01,,,
