"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-01",99.58908,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-02",99.60795,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-03",99.66763,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-04",99.76216,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-05",99.81115,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-06",99.82756,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-07",99.8128,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-08",99.80546,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-09",99.8231,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-10",99.87127,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-11",99.96466,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.1253,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-01",100.2823,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-02",100.3637,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.3882,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.3827,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.3329,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.2984,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.2103,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-08",100.1285,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-09",100.0958,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.2037,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-11",100.3518,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.401,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.3275,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.205,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.1382,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.1461,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.2154,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.2292,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.1847,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.1863,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.2157,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-10",100.2374,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-11",100.2983,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-12",100.3584,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-01",100.3681,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-02",100.3824,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-03",100.4501,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-04",100.5341,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-05",100.5966,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-06",100.6185,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-07",100.6494,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-08",100.7046,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-09",100.7624,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-10",100.838,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-11",100.8564,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-12",100.8486,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-01",100.864,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-02",100.8989,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-03",100.9122,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-04",100.8881,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-05",100.8665,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-06",100.8606,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-07",100.8624,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-08",100.813,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-09",100.7487,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-10",100.6633,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-11",100.5678,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-12",100.4769,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-01",100.4109,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-02",100.452,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-03",100.5264,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-04",100.554,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-05",100.5344,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-06",100.4976,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-01",99.31718,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-02",99.3864,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-03",99.41824,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-04",99.49036,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-05",99.47691,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-06",99.45082,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-07",99.44274,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-08",99.53647,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-09",99.7383,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-10",100.022,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.3702,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.7562,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-01",101.0163,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-02",101.0185,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.9235,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.8697,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.7906,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.8044,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.6915,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-08",100.5051,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-09",100.337,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.3658,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-11",100.4805,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.576,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.5889,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.5521,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.5129,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.5346,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.6551,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.6334,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.489,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.3848,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.3659,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-10",100.4416,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-11",100.7655,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-12",101.0976,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-01",101.2434,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-02",101.2313,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-03",101.2012,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-04",101.1623,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-05",101.0922,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-06",100.9881,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-07",100.9477,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-08",101.0426,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-09",101.1615,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-10",101.3087,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-11",101.289,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.2077,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.2366,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.3934,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.4908,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.4418,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-05",101.3591,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-06",101.3033,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-07",101.273,
