DATE,GACDFSA066MSFRBPHI
1968-05-01,32.20000
1968-06-01,18.40000
1968-07-01,33.30000
1968-08-01,-3.90000
1968-09-01,9.50000
1968-10-01,6.80000
1968-11-01,13.20000
1968-12-01,23.50000
1969-01-01,-11.30000
1969-02-01,16.80000
1969-03-01,27.80000
1969-04-01,18.10000
1969-05-01,12.70000
1969-06-01,18.50000
1969-07-01,-1.10000
1969-08-01,8.00000
1969-09-01,-1.60000
1969-10-01,12.10000
1969-11-01,-3.40000
1969-12-01,-7.90000
1970-01-01,-13.10000
1970-02-01,-18.10000
1970-03-01,-31.20000
1970-04-01,-16.90000
1970-05-01,-21.50000
1970-06-01,-8.40000
1970-07-01,7.00000
1970-08-01,6.90000
1970-09-01,14.00000
1970-10-01,3.70000
1970-11-01,6.40000
1970-12-01,10.20000
1971-01-01,28.90000
1971-02-01,39.00000
1971-03-01,33.30000
1971-04-01,37.40000
1971-05-01,39.20000
1971-06-01,31.30000
1971-07-01,25.50000
1971-08-01,22.80000
1971-09-01,35.90000
1971-10-01,39.30000
1971-11-01,32.10000
1971-12-01,30.40000
1972-01-01,34.20000
1972-02-01,30.90000
1972-03-01,39.50000
1972-04-01,28.20000
1972-05-01,35.80000
1972-06-01,34.10000
1972-07-01,33.10000
1972-08-01,35.20000
1972-09-01,32.90000
1972-10-01,39.20000
1972-11-01,47.20000
1972-12-01,49.10000
1973-01-01,47.80000
1973-02-01,40.50000
1973-03-01,58.50000
1973-04-01,53.60000
1973-05-01,36.60000
1973-06-01,30.40000
1973-07-01,24.80000
1973-08-01,18.50000
1973-09-01,-0.30000
1973-10-01,9.80000
1973-11-01,15.40000
1973-12-01,8.00000
1974-01-01,-12.90000
1974-02-01,-13.20000
1974-03-01,-12.50000
1974-04-01,-11.90000
1974-05-01,-9.20000
1974-06-01,-8.70000
1974-07-01,-8.40000
1974-08-01,-16.90000
1974-09-01,-7.40000
1974-10-01,-26.10000
1974-11-01,-31.80000
1974-12-01,-57.90000
1975-01-01,-44.70000
1975-02-01,-25.50000
1975-03-01,-28.40000
1975-04-01,-28.10000
1975-05-01,-18.30000
1975-06-01,-6.40000
1975-07-01,13.70000
1975-08-01,28.00000
1975-09-01,32.60000
1975-10-01,35.30000
1975-11-01,44.20000
1975-12-01,33.10000
1976-01-01,10.80000
1976-02-01,20.70000
1976-03-01,36.20000
1976-04-01,43.20000
1976-05-01,37.70000
1976-06-01,32.70000
1976-07-01,28.00000
1976-08-01,19.60000
1976-09-01,22.10000
1976-10-01,22.20000
1976-11-01,13.80000
1976-12-01,13.60000
1977-01-01,31.50000
1977-02-01,34.90000
1977-03-01,33.20000
1977-04-01,44.40000
1977-05-01,30.30000
1977-06-01,27.60000
1977-07-01,21.50000
1977-08-01,20.10000
1977-09-01,11.20000
1977-10-01,15.90000
1977-11-01,18.20000
1977-12-01,30.60000
1978-01-01,20.60000
1978-02-01,11.30000
1978-03-01,8.90000
1978-04-01,18.40000
1978-05-01,27.60000
1978-06-01,23.20000
1978-07-01,17.90000
1978-08-01,27.70000
1978-09-01,17.90000
1978-10-01,21.00000
1978-11-01,14.40000
1978-12-01,8.50000
1979-01-01,4.10000
1979-02-01,-1.50000
1979-03-01,5.80000
1979-04-01,-3.40000
1979-05-01,-1.60000
1979-06-01,-4.20000
1979-07-01,-13.20000
1979-08-01,-17.80000
1979-09-01,-24.40000
1979-10-01,-28.60000
1979-11-01,-20.10000
1979-12-01,-15.60000
1980-01-01,-18.50000
1980-02-01,-20.90000
1980-03-01,-19.50000
1980-04-01,-37.10000
1980-05-01,-53.30000
1980-06-01,-54.30000
1980-07-01,-57.10000
1980-08-01,-39.40000
1980-09-01,-10.30000
1980-10-01,24.70000
1980-11-01,9.00000
1980-12-01,7.40000
1981-01-01,2.10000
1981-02-01,5.20000
1981-03-01,7.90000
1981-04-01,-1.20000
1981-05-01,9.10000
1981-06-01,-2.10000
1981-07-01,5.50000
1981-08-01,16.80000
1981-09-01,7.50000
1981-10-01,-13.20000
1981-11-01,-25.70000
1981-12-01,-34.50000
1982-01-01,-19.90000
1982-02-01,-15.40000
1982-03-01,-15.70000
1982-04-01,-3.20000
1982-05-01,-4.60000
1982-06-01,2.20000
1982-07-01,2.80000
1982-08-01,-3.20000
1982-09-01,-13.60000
1982-10-01,10.90000
1982-11-01,2.30000
1982-12-01,14.70000
1983-01-01,12.50000
1983-02-01,20.20000
1983-03-01,32.60000
1983-04-01,37.20000
1983-05-01,37.60000
1983-06-01,42.30000
1983-07-01,49.50000
1983-08-01,41.50000
1983-09-01,40.70000
1983-10-01,35.50000
1983-11-01,45.10000
1983-12-01,41.00000
1984-01-01,47.00000
1984-02-01,25.80000
1984-03-01,35.00000
1984-04-01,36.90000
1984-05-01,31.70000
1984-06-01,27.70000
1984-07-01,1.40000
1984-08-01,23.70000
1984-09-01,22.30000
1984-10-01,15.50000
1984-11-01,2.70000
1984-12-01,2.10000
1985-01-01,5.50000
1985-02-01,10.90000
1985-03-01,31.00000
1985-04-01,10.00000
1985-05-01,8.00000
1985-06-01,-2.40000
1985-07-01,11.50000
1985-08-01,6.90000
1985-09-01,2.30000
1985-10-01,6.20000
1985-11-01,19.70000
1985-12-01,13.50000
1986-01-01,22.40000
1986-02-01,19.90000
1986-03-01,14.00000
1986-04-01,3.20000
1986-05-01,1.90000
1986-06-01,2.80000
1986-07-01,11.80000
1986-08-01,6.80000
1986-09-01,10.60000
1986-10-01,9.10000
1986-11-01,16.40000
1986-12-01,22.80000
1987-01-01,5.80000
1987-02-01,9.30000
1987-03-01,5.50000
1987-04-01,14.40000
1987-05-01,19.70000
1987-06-01,13.00000
1987-07-01,15.50000
1987-08-01,30.10000
1987-09-01,26.30000
1987-10-01,27.20000
1987-11-01,11.80000
1987-12-01,29.60000
1988-01-01,3.50000
1988-02-01,18.30000
1988-03-01,12.80000
1988-04-01,26.80000
1988-05-01,17.80000
1988-06-01,17.40000
1988-07-01,23.70000
1988-08-01,15.20000
