DATE,서울아파트매매가격지수
2003-11-01,61.6
2003-12-01,61.2
2004-01-01,61
2004-02-01,61.4
2004-03-01,61.7
2004-04-01,62.1
2004-05-01,62.2
2004-06-01,62.1
2004-07-01,61.9
2004-08-01,61.5
2004-09-01,61.3
2004-10-01,61.1
2004-11-01,60.8
2004-12-01,60.6
2005-01-01,60.4
2005-02-01,61
2005-03-01,61.3
2005-04-01,62
2005-05-01,62.6
2005-06-01,63.7
2005-07-01,64.9
2005-08-01,65.2
2005-09-01,65.3
2005-10-01,65.3
2005-11-01,65.4
2005-12-01,65.8
2006-01-01,66.3
2006-02-01,66.9
2006-03-01,68
2006-04-01,69.5
2006-05-01,70.8
2006-06-01,71.3
2006-07-01,71.5
2006-08-01,71.7
2006-09-01,72.3
2006-10-01,73.8
2006-11-01,78.2
2006-12-01,81.2
2007-01-01,83.1
2007-02-01,83.6
2007-03-01,84
2007-04-01,84.3
2007-05-01,84.3
2007-06-01,84.5
2007-07-01,84.8
2007-08-01,85.2
2007-09-01,85.6
2007-10-01,85.9
2007-11-01,86.5
2007-12-01,86.9
2008-01-01,87.5
2008-02-01,88.1
2008-03-01,89.7
2008-04-01,91.9
2008-05-01,93.3
2008-06-01,94.7
2008-07-01,95.4
2008-08-01,95.6
2008-09-01,95.8
2008-10-01,95.5
2008-11-01,94.7
2008-12-01,93
2009-01-01,92.2
2009-02-01,92
2009-03-01,91.8
2009-04-01,92.1
2009-05-01,92.3
2009-06-01,92.7
2009-07-01,93.5
2009-08-01,93.9
2009-09-01,95
2009-10-01,95.3
2009-11-01,95.3
2009-12-01,95.3
2010-01-01,95.4
2010-02-01,95.7
2010-03-01,95.6
2010-04-01,95.5
2010-05-01,95.1
2010-06-01,94.8
2010-07-01,94.3
2010-08-01,93.9
2010-09-01,93.6
2010-10-01,93.4
2010-11-01,93.3
2010-12-01,93.4
2011-01-01,93.5
2011-02-01,93.8
2011-03-01,93.9
2011-04-01,93.9
2011-05-01,93.9
2011-06-01,93.8
2011-07-01,93.7
2011-08-01,93.6
2011-09-01,93.5
2011-10-01,93.3
2011-11-01,93.2
2011-12-01,93
2012-01-01,92.8
2012-02-01,92.5
2012-03-01,92.1
2012-04-01,91.6
2012-05-01,91.1
2012-06-01,90.4
2012-07-01,89.8
2012-08-01,89
2012-09-01,88.4
2012-10-01,87.8
2012-11-01,87.4
2012-12-01,86.8
