DATE,AMBNS
1999-01-01,549.897
1999-02-01,549.039
1999-03-01,553.509
1999-04-01,557.531
1999-05-01,564.206
1999-06-01,566.779
1999-07-01,569.643
1999-08-01,571.511
1999-09-01,579.401
1999-10-01,586.813
1999-11-01,605.708
1999-12-01,636.875
2000-01-01,621.627
2000-02-01,599.635
2000-03-01,597.477
2000-04-01,599.970
2000-05-01,603.605
2000-06-01,604.605
2000-07-01,606.986
2000-08-01,604.797
2000-09-01,605.930
2000-10-01,607.140
2000-11-01,612.538
2000-12-01,621.247
2001-01-01,619.575
2001-02-01,616.717
2001-03-01,619.592
2001-04-01,623.389
2001-05-01,629.822
2001-06-01,631.773
2001-07-01,639.000
2001-08-01,645.167
2001-09-01,671.227
2001-10-01,660.201
2001-11-01,662.221
2001-12-01,674.751
2002-01-01,676.691
2002-02-01,678.846
2002-03-01,682.259
2002-04-01,686.698
2002-05-01,692.215
2002-06-01,696.098
2002-07-01,701.747
2002-08-01,702.364
2002-09-01,704.176
2002-10-01,706.748
2002-11-01,713.374
2002-12-01,723.993
2003-01-01,722.683
2003-02-01,725.579
2003-03-01,729.431
2003-04-01,734.238
2003-05-01,738.222
2003-06-01,738.944
2003-07-01,742.471
2003-08-01,745.372
2003-09-01,745.805
2003-10-01,749.714
2003-11-01,755.602
2003-12-01,763.476
2004-01-01,760.057
2004-02-01,759.753
2004-03-01,761.246
2004-04-01,765.550
2004-05-01,769.517
2004-06-01,774.401
2004-07-01,781.885
2004-08-01,781.515
2004-09-01,786.259
2004-10-01,787.783
2004-11-01,794.524
2004-12-01,798.967
2005-01-01,797.208
2005-02-01,796.764
2005-03-01,797.604
2005-04-01,799.687
2005-05-01,799.742
2005-06-01,803.894
2005-07-01,807.557
2005-08-01,807.746
2005-09-01,812.393
2005-10-01,812.160
2005-11-01,818.136
2005-12-01,826.827
2006-01-01,828.699
2006-02-01,828.605
2006-03-01,830.600
2006-04-01,832.577
2006-05-01,836.245
2006-06-01,835.791
2006-07-01,835.986
2006-08-01,834.318
2006-09-01,834.190
2006-10-01,833.211
2006-11-01,841.006
2006-12-01,849.407
2007-01-01,847.103
2007-02-01,843.383
2007-03-01,844.670
2007-04-01,846.157
2007-05-01,848.862
2007-06-01,850.035
2007-07-01,852.857
2007-08-01,853.061
2007-09-01,851.416
2007-10-01,851.617
2007-11-01,858.126
2007-12-01,859.204
2008-01-01,855.006
2008-02-01,853.182
2008-03-01,857.102
2008-04-01,852.832
2008-05-01,859.928
2008-06-01,862.751
2008-07-01,872.666
2008-08-01,871.953
2008-09-01,936.449
2008-10-01,1135.793
2008-11-01,1481.970
2008-12-01,1692.580
2009-01-01,1737.561
2009-02-01,1582.888
2009-03-01,1661.594
2009-04-01,1781.823
2009-05-01,1797.662
2009-06-01,1701.768
2009-07-01,1695.747
2009-08-01,1727.451
2009-09-01,1819.668
2009-10-01,1964.315
2009-11-01,2046.347
2009-12-01,2045.522
2010-01-01,2018.743
2010-02-01,2141.174
2010-03-01,2097.924
2010-04-01,2037.644
2010-05-01,2032.786
2010-06-01,2021.411
2010-07-01,2017.643
2010-08-01,2013.930
2010-09-01,1981.158
2010-10-01,1987.401
2010-11-01,1992.808
2010-12-01,2037.414
2011-01-01,2065.997
2011-02-01,2233.379
2011-03-01,2418.235
2011-04-01,2523.424
2011-05-01,2588.177
2011-06-01,2668.010
2011-07-01,2706.778
2011-08-01,2679.411
2011-09-01,2656.543
2011-10-01,2663.548
2011-11-01,2625.315
2011-12-01,2640.078
2012-01-01,2659.039
2012-02-01,2720.795
2012-03-01,2673.317
2012-04-01,2665.101
2012-05-01,2632.839
2012-06-01,2641.487
2012-07-01,2672.630
2012-08-01,2668.787
2012-09-01,2616.571
2012-10-01,2634.377
2012-11-01,2667.679
2012-12-01,2694.343
2013-01-01,2760.986
2013-02-01,2861.542
2013-03-01,2961.377
2013-04-01,3035.849
2013-05-01,3136.493
2013-06-01,3218.136
2013-07-01,3314.256
2013-08-01,3418.306
2013-09-01,3508.905
2013-10-01,3610.435
2013-11-01,3705.159
2013-12-01,3736.862
2014-01-01,3749.541
2014-02-01,3851.917
2014-03-01,3909.651
2014-04-01,3952.139
2014-05-01,3929.115
2014-06-01,3965.744
2014-07-01,4013.810
2014-08-01,4095.659
2014-09-01,4072.006
2014-10-01,4018.823
2014-11-01,3851.254
2014-12-01,3953.015
2015-01-01,4037.175
2015-02-01,3849.090
2015-03-01,4064.785
2015-04-01,4075.810
2015-05-01,3955.722
2015-06-01,3946.095
2015-07-01,3994.394
2015-08-01,4001.923
2015-09-01,4049.583
2015-10-01,4076.198
2015-11-01,4029.394
2015-12-01,3869.438
2016-01-01,3796.011
2016-02-01,3891.058
2016-03-01,3910.592
2016-04-01,3899.466
2016-05-01,3855.240
2016-06-01,3841.284
2016-07-01,3793.399
2016-08-01,3841.592
2016-09-01,3750.020
2016-10-01,3587.953
2016-11-01,3651.992
2016-12-01,3558.890
2017-01-01,3609.684
2017-02-01,3764.189
2017-03-01,3871.646
2017-04-01,3840.333
2017-05-01,3793.773
2017-06-01,3792.151
2017-07-01,3807.811
2017-08-01,3927.491
2017-09-01,3885.901
2017-10-01,3849.992
2017-11-01,3928.867
2017-12-01,3877.107
2018-01-01,3841.419
2018-02-01,3873.433
2018-03-01,3817.473
2018-04-01,3743.678
2018-05-01,3692.236
2018-06-01,3671.801
2018-07-01,3635.381
2018-08-01,3602.172
2018-09-01,3572.001
2018-10-01,3540.181
2018-11-01,3495.555
2018-12-01,3420.014
2019-01-01,3357.108
2019-02-01,3368.187
2019-03-01,3396.071
2019-04-01,3303.084
2019-05-01,3262.642
2019-06-01,3290.142
