DATE,수출물가지수
2003-02-01,115.5
2003-03-01,118.54
2003-04-01,114.64
2003-05-01,111.87
2003-06-01,111.77
2003-07-01,111.24
2003-08-01,111.85
2003-09-01,110.47
2003-10-01,111.76
2003-11-01,114.67
2003-12-01,117.07
2004-01-01,119.1
2004-02-01,118.29
2004-03-01,118.34
2004-04-01,118.09
2004-05-01,121.8
2004-06-01,119.91
2004-07-01,121.5
2004-08-01,124.41
2004-09-01,124.37
2004-10-01,126.31
2004-11-01,120.54
2004-12-01,113.8
2005-01-01,117.16
2005-02-01,115.76
2005-03-01,114.15
2005-04-01,113.39
2005-05-01,109.92
2005-06-01,110.35
2005-07-01,112.89
2005-08-01,111.64
2005-09-01,112.68
2005-10-01,113.37
2005-11-01,110.59
2005-12-01,108.28
2006-01-01,105.64
2006-02-01,103.54
2006-03-01,103.51
2006-04-01,102.3
2006-05-01,101.99
2006-06-01,103.5
2006-07-01,103.51
2006-08-01,105.57
2006-09-01,104.85
2006-10-01,103.66
2006-11-01,101.2
2006-12-01,100.11
2007-01-01,99.64
2007-02-01,99.19
2007-03-01,100.05
2007-04-01,100.39
2007-05-01,100.53
2007-06-01,100.66
2007-07-01,100.79
2007-08-01,101.97
2007-09-01,102.11
2007-10-01,101.06
2007-11-01,102.98
2007-12-01,103.52
2008-01-01,105.42
2008-02-01,106.66
2008-03-01,113.44
2008-04-01,116.19
2008-05-01,124.59
2008-06-01,126
2008-07-01,126.13
2008-08-01,124.32
2008-09-01,130.05
2008-10-01,140.1
2008-11-01,135.44
2008-12-01,129.44
2009-01-01,125.03
2009-02-01,131.07
2009-03-01,133.22
2009-04-01,125.16
2009-05-01,119.53
2009-06-01,121.81
2009-07-01,122.68
2009-08-01,122.94
2009-09-01,120.71
2009-10-01,117.04
2009-11-01,117.32
2009-12-01,118.28
2010-01-01,117.23
2010-02-01,118.67
2010-03-01,118.16
2010-04-01,118.47
2010-05-01,121.41
2010-06-01,124.95
2010-07-01,124.13
2010-08-01,120.79
2010-09-01,119.76
2010-10-01,116.23
2010-11-01,116.88
2010-12-01,120.32
2011-01-01,118.18
2011-02-01,120.55
2011-03-01,124.2
2011-04-01,122.46
2011-05-01,120.32
2011-06-01,118.95
2011-07-01,116.65
2011-08-01,117.51
2011-09-01,120.96
2011-10-01,122.42
2011-11-01,119.2
2011-12-01,119.08
2012-01-01,120.18
2012-02-01,119.74
2012-03-01,120.49
2012-04-01,121
2012-05-01,120.01
2012-06-01,118.32
2012-07-01,116.76
2012-08-01,116.72
2012-09-01,116.9
2012-10-01,114.44
2012-11-01,111.3
2012-12-01,110.47
2013-01-01,110.4
2013-02-01,113.09
2013-03-01,113.39
2013-04-01,114.06
2013-05-01,113.07
2013-06-01,115.95
2013-07-01,114.92
2013-08-01,114.17
2013-09-01,111.38
2013-10-01,109.31
2013-11-01,108.47
2013-12-01,108.12
2014-01-01,108.28
2014-02-01,109
2014-03-01,108.53
2014-04-01,105.63
2014-05-01,103.94
2014-06-01,103.83
2014-07-01,104.17
2014-08-01,104.35
2014-09-01,104.07
2014-10-01,104.83
2014-11-01,106.06
2014-12-01,103.36
2015-01-01,98.91
2015-02-01,100.22
2015-03-01,101.16
2015-04-01,99.3
2015-05-01,100.35
2015-06-01,101.51
2015-07-01,102.06
2015-08-01,102.69
2015-09-01,101.88
2015-10-01,97.99
2015-11-01,96.93
2015-12-01,97
2016-01-01,97.38
2016-02-01,98.15
2016-03-01,96.96
2016-04-01,94.11
2016-05-01,96.37
2016-06-01,96.52
2016-07-01,94.47
2016-08-01,92.73
2016-09-01,93.46
2016-10-01,96.61
2016-11-01,100.28
2016-12-01,103.38
2017-01-01,104.63
2017-02-01,103.15
2017-03-01,101.79
2017-04-01,102.48
2017-05-01,101.26
2017-06-01,101.01
2017-07-01,102.15
2017-08-01,102.73
2017-09-01,103.91
2017-10-01,104.45
2017-11-01,102.82
2017-12-01,101.27
2018-01-01,101.04
2018-02-01,102.27
2018-03-01,100.82
2018-04-01,101
2018-05-01,102.75
2018-06-01,103.55
2018-07-01,106.14
2018-08-01,106.09
2018-09-01,106.3
2018-10-01,106.82
2018-11-01,103.48
2018-12-01,100.61
2019-01-01,99.23
2019-02-01,99.65
2019-03-01,99.84
2019-04-01,100.51
2019-05-01,103.07
2019-06-01,100.95
