DATE,XTIMVA01KRM667S
1960-01-01,26000839.7418409
1960-02-01,31714557.6724429
1960-03-01,27220704.879120298
1960-04-01,31258583.145157102
1960-05-01,29237721.868165303
1960-06-01,30244774.199458
1960-07-01,24087728.5967336
1960-08-01,32637771.197699796
1960-09-01,27938495.4954049
1960-10-01,25690199.5874058
1960-11-01,25944086.2828164
1960-12-01,29938306.6493395
1961-01-01,23618117.4755778
1961-02-01,26433246.1777107
1961-03-01,27316426.001637798
1961-04-01,29024422.5190603
1961-05-01,32434703.492838703
1961-06-01,33178452.619478002
1961-07-01,22884752.020587903
1961-08-01,23662291.7485031
1961-09-01,22956400.511084702
1961-10-01,23809191.155711297
1961-11-01,24856215.0811605
1961-12-01,24738930.0709611
1962-01-01,34385715.5054825
1962-02-01,30151175.733790997
1962-03-01,33701605.7363076
1962-04-01,33303815.875861302
1962-05-01,30644597.832625497
1962-06-01,29080123.8263854
1962-07-01,44645008.900018
1962-08-01,36406728.0467833
1962-09-01,33330680.7666557
1962-10-01,44010080.2580256
1962-11-01,40286715.3884561
1962-12-01,33728848.116960004
1963-01-01,42757287.574999996
1963-02-01,39736475.687285796
1963-03-01,42374589.1170139
1963-04-01,42128827.3138526
1963-05-01,52131770.7885122
1963-06-01,56405817.229305096
1963-07-01,46712390.1787359
1963-08-01,52042996.153960496
1963-09-01,55320789.851884
1963-10-01,53426726.8572753
1963-11-01,49328378.0745536
1963-12-01,32071165.6343163
1964-01-01,35929564.2612016
1964-02-01,28608784.730497003
1964-03-01,39827453.367266096
1964-04-01,31871217.842578597
1964-05-01,28114389.7777467
1964-06-01,36342143.2028202
1964-07-01,18856706.6791162
1964-08-01,30553959.2300067
1964-09-01,49817331.9799794
1964-10-01,33079300.514241196
1964-11-01,40796238.3433026
1964-12-01,30434698.660500098
1965-01-01,20464428.5520349
1965-02-01,29459608.7047035
1965-03-01,39394653.491185695
1965-04-01,34683918.1700931
1965-05-01,35873732.056756705
1965-06-01,34622034.975656696
1965-07-01,40433042.2492581
1965-08-01,44845423.8333333
1965-09-01,41241074.9000162
1965-10-01,44573015.6547797
1965-11-01,37934643.5345421
1965-12-01,53312153.686953895
1966-01-01,42492167.2199748
1966-02-01,55307553.283241004
1966-03-01,42720708.8501192
1966-04-01,55346158.9824829
1966-05-01,52273228.0610524
1966-06-01,56038591.7916955
1966-07-01,51498090.5254756
1966-08-01,57612284.4357893
1966-09-01,52718396.712936305
1966-10-01,61979722.9064338
1966-11-01,52122855.0410359
1966-12-01,117350997.902621
1967-01-01,75457363.410762
1967-02-01,72981193.00317441
1967-03-01,65539236.2053108
1967-04-01,78894554.6683244
1967-05-01,64212688.027360395
1967-06-01,60184219.7030299
1967-07-01,82347997.8503796
1967-08-01,79192969.5930889
1967-09-01,87822488.91851011
1967-10-01,102787015.835963
1967-11-01,94515603.9271014
1967-12-01,122574039.483521
1968-01-01,113839333.267665
1968-02-01,94717834.3961312
1968-03-01,106069523.750735
1968-04-01,106198691.599978
1968-05-01,118616841.775953
1968-06-01,115080798.349659
1968-07-01,108001767.31317699
1968-08-01,125685404.530729
1968-09-01,122821102.248156
1968-10-01,117736308.186178
1968-11-01,137122508.692794
1968-12-01,174931991.05051398
1969-01-01,130779927.849936
1969-02-01,121797015.607024
1969-03-01,121633027.860331
1969-04-01,136508474.508232
1969-05-01,150487293.09187
1969-06-01,135540544.014887
1969-07-01,148335513.262147
1969-08-01,216864798.758773
1969-09-01,168283701.79570702
1969-10-01,136575254.233962
1969-11-01,186444475.436358
1969-12-01,161034927.008461
1970-01-01,165143195.912891
1970-02-01,146610311.648702
1970-03-01,147359522.75339
1970-04-01,145044100.446826
1970-05-01,147118182.73781797
