,feature,precision
0,"['Volume', '경상수지', '상품수지']",0.38461538461538464
1,"['Volume', '경상수지', 'BAA']",0.5555555555555556
2,"['Volume', '경상수지', 'CSUSHPINSA']",0.5
3,"['Volume', '경상수지', 'PCE']",0.3409090909090909
4,"['Volume', '경상수지', 'LREMTTTTUSM156S']",0.36363636363636365
5,"['Volume', '경상수지', 'DGORDER']",0.3333333333333333
6,"['Volume', '경상수지', 'TWEXBMTH']",0.35714285714285715
7,"['Volume', '경상수지', 'UNRATENSA']",0.37037037037037035
8,"['Volume', '경상수지', 'TCU']",0.3
9,"['Volume', '경상수지', 'INDPRO']",0.3333333333333333
10,"['Volume', '경상수지', 'PPIACO']",0.35
11,"['Volume', '경상수지', 'CPIAUCSL']",0.3333333333333333
12,"['Volume', '경상수지', 'HOUST']",0.2727272727272727
13,"['Volume', '경상수지', 'HSN1F']",0.3684210526315789
14,"['Volume', '경상수지', 'FEDFUNDS']",0.38461538461538464
15,"['Volume', '경상수지', 'USSLIND']",0.3125
16,"['Volume', '경상수지', 'TOTALSA']",0.6
17,"['Volume', '경상수지', 'NEWORDER']",0.29411764705882354
18,"['Volume', '경상수지', '서울아파트매매가격지수']",0.2857142857142857
19,"['Volume', '경상수지', 'AMBNS']",0.26666666666666666
20,"['Volume', '경상수지', '자가주거비포함지수']",0.3488372093023256
21,"['Volume', '경상수지', '자가주거비']",0.3409090909090909
22,"['Volume', '경상수지', '수출물가지수']",0.42857142857142855
23,"['Volume', '경상수지', 'EXJPUS']",0.3333333333333333
24,"['Volume', '경상수지', 'EXKOUS']",0.45454545454545453
25,"['Volume', '경상수지', 'EXCHUS']",0.3548387096774194
26,"['Volume', '경상수지', 'T10Y2YM']",0.375
27,"['Volume', '경상수지', 'XTEXVA01CNM667S']",0.2727272727272727
28,"['Volume', '경상수지', '정책금리']",0.3333333333333333
29,"['Volume', '경상수지', '통화량']",0.3409090909090909
30,"['Volume', '경상수지', 'GACDFSA066MSFRBPHI']",0.38461538461538464
31,"['Volume', '경상수지', 'XTIMVA01KRM667S']",0.4117647058823529
32,"['Volume', '경상수지', 'KORPROINDMISMEI']",0.0
33,"['Volume', '경상수지', 'KORCPIALLMINMEI']",0.3170731707317073
34,"['Volume', '경상수지', 'LRUNTTTTKRM156S']",0.35294117647058826
35,"['Volume', '경상수지', '한국실업률']",0.29411764705882354
36,"['Volume', '경상수지', 'IR3TCD01KRM156N']",0.35714285714285715
37,"['Volume', '경상수지', '환율평균']",0.3076923076923077
38,"['Volume', '상품수지', 'BAA']",0.5555555555555556
39,"['Volume', '상품수지', 'CSUSHPINSA']",0.6363636363636364
40,"['Volume', '상품수지', 'PCE']",0.3488372093023256
41,"['Volume', '상품수지', 'LREMTTTTUSM156S']",0.3333333333333333
42,"['Volume', '상품수지', 'DGORDER']",0.2857142857142857
43,"['Volume', '상품수지', 'TWEXBMTH']",0.3409090909090909
44,"['Volume', '상품수지', 'UNRATENSA']",0.3793103448275862
45,"['Volume', '상품수지', 'TCU']",0.4117647058823529
46,"['Volume', '상품수지', 'INDPRO']",0.35714285714285715
47,"['Volume', '상품수지', 'PPIACO']",0.4117647058823529
48,"['Volume', '상품수지', 'CPIAUCSL']",0.3333333333333333
49,"['Volume', '상품수지', 'HOUST']",0.4074074074074074
50,"['Volume', '상품수지', 'HSN1F']",0.391304347826087
51,"['Volume', '상품수지', 'FEDFUNDS']",0.46153846153846156
52,"['Volume', '상품수지', 'USSLIND']",0.4666666666666667
53,"['Volume', '상품수지', 'TOTALSA']",0.625
54,"['Volume', '상품수지', 'NEWORDER']",0.3333333333333333
55,"['Volume', '상품수지', '서울아파트매매가격지수']",0.43333333333333335
56,"['Volume', '상품수지', 'AMBNS']",0.4782608695652174
57,"['Volume', '상품수지', '자가주거비포함지수']",0.35714285714285715
58,"['Volume', '상품수지', '자가주거비']",0.3409090909090909
59,"['Volume', '상품수지', '수출물가지수']",0.45454545454545453
60,"['Volume', '상품수지', 'EXJPUS']",0.42857142857142855
61,"['Volume', '상품수지', 'EXKOUS']",0.2857142857142857
62,"['Volume', '상품수지', 'EXCHUS']",0.35714285714285715
63,"['Volume', '상품수지', 'T10Y2YM']",0.35294117647058826
64,"['Volume', '상품수지', 'XTEXVA01CNM667S']",0.3
65,"['Volume', '상품수지', '정책금리']",0.4
66,"['Volume', '상품수지', '통화량']",0.3409090909090909
67,"['Volume', '상품수지', 'GACDFSA066MSFRBPHI']",0.38461538461538464
68,"['Volume', '상품수지', 'XTIMVA01KRM667S']",0.35294117647058826
69,"['Volume', '상품수지', 'KORPROINDMISMEI']",0.0
70,"['Volume', '상품수지', 'KORCPIALLMINMEI']",0.325
71,"['Volume', '상품수지', 'LRUNTTTTKRM156S']",0.375
72,"['Volume', '상품수지', '한국실업률']",0.3
73,"['Volume', '상품수지', 'IR3TCD01KRM156N']",0.35714285714285715
74,"['Volume', '상품수지', '환율평균']",0.3125
75,"['Volume', 'BAA', 'CSUSHPINSA']",1.0
76,"['Volume', 'BAA', 'PCE']",0.3409090909090909
77,"['Volume', 'BAA', 'LREMTTTTUSM156S']",1.0
78,"['Volume', 'BAA', 'DGORDER']",1.0
79,"['Volume', 'BAA', 'TWEXBMTH']",0.3409090909090909
80,"['Volume', 'BAA', 'UNRATENSA']",0.42105263157894735
81,"['Volume', 'BAA', 'TCU']",0.38461538461538464
82,"['Volume', 'BAA', 'INDPRO']",0.25
83,"['Volume', 'BAA', 'PPIACO']",0.5454545454545454
84,"['Volume', 'BAA', 'CPIAUCSL']",0.38461538461538464
85,"['Volume', 'BAA', 'HOUST']",0.2727272727272727
86,"['Volume', 'BAA', 'HSN1F']",0.2
87,"['Volume', 'BAA', 'FEDFUNDS']",0.6666666666666666
88,"['Volume', 'BAA', 'USSLIND']",0.42857142857142855
89,"['Volume', 'BAA', 'TOTALSA']",1.0
90,"['Volume', 'BAA', 'NEWORDER']",0.5714285714285714
91,"['Volume', 'BAA', '서울아파트매매가격지수']",0.47368421052631576
92,"['Volume', 'BAA', 'AMBNS']",0.38461538461538464
93,"['Volume', 'BAA', '자가주거비포함지수']",0.3488372093023256
94,"['Volume', 'BAA', '자가주거비']",0.3409090909090909
95,"['Volume', 'BAA', '수출물가지수']",0.3
96,"['Volume', 'BAA', 'EXJPUS']",0.0
97,"['Volume', 'BAA', 'EXKOUS']",0.25
98,"['Volume', 'BAA', 'EXCHUS']",0.6666666666666666
99,"['Volume', 'BAA', 'T10Y2YM']",0.5714285714285714
100,"['Volume', 'BAA', 'XTEXVA01CNM667S']",0.16666666666666666
101,"['Volume', 'BAA', '정책금리']",0.5
102,"['Volume', 'BAA', '통화량']",0.3409090909090909
103,"['Volume', 'BAA', 'GACDFSA066MSFRBPHI']",0.6
104,"['Volume', 'BAA', 'XTIMVA01KRM667S']",0.5
105,"['Volume', 'BAA', 'KORPROINDMISMEI']",0.0
106,"['Volume', 'BAA', 'KORCPIALLMINMEI']",0.325
107,"['Volume', 'BAA', 'LRUNTTTTKRM156S']",0.6666666666666666
108,"['Volume', 'BAA', '한국실업률']",0.5454545454545454
109,"['Volume', 'BAA', 'IR3TCD01KRM156N']",0.34210526315789475
110,"['Volume', 'BAA', '환율평균']",0.4444444444444444
111,"['Volume', 'CSUSHPINSA', 'PCE']",0.36666666666666664
112,"['Volume', 'CSUSHPINSA', 'LREMTTTTUSM156S']",0.375
113,"['Volume', 'CSUSHPINSA', 'DGORDER']",0.3333333333333333
114,"['Volume', 'CSUSHPINSA', 'TWEXBMTH']",0.3488372093023256
115,"['Volume', 'CSUSHPINSA', 'UNRATENSA']",0.45454545454545453
116,"['Volume', 'CSUSHPINSA', 'TCU']",0.16666666666666666
117,"['Volume', 'CSUSHPINSA', 'INDPRO']",0.4
118,"['Volume', 'CSUSHPINSA', 'PPIACO']",0.4444444444444444
119,"['Volume', 'CSUSHPINSA', 'CPIAUCSL']",0.18181818181818182
120,"['Volume', 'CSUSHPINSA', 'HOUST']",0.16666666666666666
121,"['Volume', 'CSUSHPINSA', 'HSN1F']",0.25
122,"['Volume', 'CSUSHPINSA', 'FEDFUNDS']",0.0
123,"['Volume', 'CSUSHPINSA', 'USSLIND']",0.0
124,"['Volume', 'CSUSHPINSA', 'TOTALSA']",0.375
125,"['Volume', 'CSUSHPINSA', 'NEWORDER']",0.0
126,"['Volume', 'CSUSHPINSA', '서울아파트매매가격지수']",0.3
127,"['Volume', 'CSUSHPINSA', 'AMBNS']",0.3333333333333333
128,"['Volume', 'CSUSHPINSA', '자가주거비포함지수']",0.35714285714285715
129,"['Volume', 'CSUSHPINSA', '자가주거비']",0.3488372093023256
130,"['Volume', 'CSUSHPINSA', '수출물가지수']",0.0
131,"['Volume', 'CSUSHPINSA', 'EXJPUS']",0.0
132,"['Volume', 'CSUSHPINSA', 'EXKOUS']",0.2
133,"['Volume', 'CSUSHPINSA', 'EXCHUS']",0.375
134,"['Volume', 'CSUSHPINSA', 'T10Y2YM']",0.6666666666666666
135,"['Volume', 'CSUSHPINSA', 'XTEXVA01CNM667S']",0.16666666666666666
136,"['Volume', 'CSUSHPINSA', '정책금리']",0.2857142857142857
137,"['Volume', 'CSUSHPINSA', '통화량']",0.3488372093023256
138,"['Volume', 'CSUSHPINSA', 'GACDFSA066MSFRBPHI']",0.5
139,"['Volume', 'CSUSHPINSA', 'XTIMVA01KRM667S']",0.3333333333333333
