feature,recall
"['Volume', '경상수지', '상품수지']",0.2
"['Volume', '경상수지', 'BAA']",0.133333333
"['Volume', '경상수지', 'CSUSHPINSA']",0.066666667
"['Volume', '경상수지', 'PCE']",0.2
"['Volume', '경상수지', 'LREMTTTTUSM156S']",0.533333333
"['Volume', '경상수지', 'DGORDER']",0.133333333
"['Volume', '경상수지', 'TWEXBMTH']",0.733333333
"['Volume', '경상수지', 'UNRATENSA']",0.266666667
"['Volume', '경상수지', 'TCU']",0.2
"['Volume', '경상수지', 'INDPRO']",0.2
"['Volume', '경상수지', 'PPIACO']",0.133333333
"['Volume', '경상수지', 'CPIAUCSL']",0
"['Volume', '경상수지', 'HOUST']",0.133333333
"['Volume', '경상수지', 'HSN1F']",0
"['Volume', '경상수지', 'FEDFUNDS']",0.133333333
"['Volume', '경상수지', 'USSLIND']",0.133333333
"['Volume', '경상수지', 'TOTALSA']",0.066666667
"['Volume', '경상수지', 'NEWORDER']",0.2
"['Volume', '경상수지', '서울아파트매매가격지수']",0.733333333
"['Volume', '경상수지', 'AMBNS']",0
"['Volume', '경상수지', '자가주거비포함지수']",0.133333333
"['Volume', '경상수지', '자가주거비']",0.266666667
"['Volume', '경상수지', '수출물가지수']",0.066666667
"['Volume', '경상수지', 'EXJPUS']",0
"['Volume', '경상수지', 'EXKOUS']",0.2
"['Volume', '경상수지', 'EXCHUS']",0.333333333
"['Volume', '경상수지', 'T10Y2YM']",0.2
"['Volume', '경상수지', 'XTEXVA01CNM667S']",0.133333333
"['Volume', '경상수지', '정책금리']",0.666666667
"['Volume', '경상수지', '통화량']",0.133333333
"['Volume', '경상수지', 'GACDFSA066MSFRBPHI']",0.2
"['Volume', '경상수지', 'XTIMVA01KRM667S']",0.133333333
"['Volume', '경상수지', 'KORPROINDMISMEI']",0.133333333
"['Volume', '경상수지', 'KORCPIALLMINMEI']",0.066666667
"['Volume', '경상수지', 'LRUNTTTTKRM156S']",0.4
"['Volume', '경상수지', '한국실업률']",0.333333333
"['Volume', '경상수지', 'IR3TCD01KRM156N']",0.4
"['Volume', '경상수지', '환율평균']",0.2
"['Volume', '상품수지', 'BAA']",0.066666667
"['Volume', '상품수지', 'CSUSHPINSA']",0
"['Volume', '상품수지', 'PCE']",0.266666667
"['Volume', '상품수지', 'LREMTTTTUSM156S']",0.666666667
"['Volume', '상품수지', 'DGORDER']",0.066666667
"['Volume', '상품수지', 'TWEXBMTH']",0.8
"['Volume', '상품수지', 'UNRATENSA']",0.2
"['Volume', '상품수지', 'TCU']",0.066666667
"['Volume', '상품수지', 'INDPRO']",0.133333333
"['Volume', '상품수지', 'PPIACO']",0.266666667
"['Volume', '상품수지', 'CPIAUCSL']",0.2
"['Volume', '상품수지', 'HOUST']",0.266666667
"['Volume', '상품수지', 'HSN1F']",0.333333333
"['Volume', '상품수지', 'FEDFUNDS']",0.2
"['Volume', '상품수지', 'USSLIND']",0.2
"['Volume', '상품수지', 'TOTALSA']",0
"['Volume', '상품수지', 'NEWORDER']",0.133333333
"['Volume', '상품수지', '서울아파트매매가격지수']",0.733333333
"['Volume', '상품수지', 'AMBNS']",0.133333333
"['Volume', '상품수지', '자가주거비포함지수']",0.266666667
"['Volume', '상품수지', '자가주거비']",0.133333333
"['Volume', '상품수지', '수출물가지수']",0.066666667
"['Volume', '상품수지', 'EXJPUS']",0
"['Volume', '상품수지', 'EXKOUS']",0.4
"['Volume', '상품수지', 'EXCHUS']",0.333333333
"['Volume', '상품수지', 'T10Y2YM']",0
"['Volume', '상품수지', 'XTEXVA01CNM667S']",0.066666667
"['Volume', '상품수지', '정책금리']",0.466666667
"['Volume', '상품수지', '통화량']",0.2
"['Volume', '상품수지', 'GACDFSA066MSFRBPHI']",0.2
"['Volume', '상품수지', 'XTIMVA01KRM667S']",0.333333333
"['Volume', '상품수지', 'KORPROINDMISMEI']",0.066666667
"['Volume', '상품수지', 'KORCPIALLMINMEI']",0.2
"['Volume', '상품수지', 'LRUNTTTTKRM156S']",0.266666667
"['Volume', '상품수지', '한국실업률']",0.266666667
"['Volume', '상품수지', 'IR3TCD01KRM156N']",0.6
"['Volume', '상품수지', '환율평균']",0.4
"['Volume', 'BAA', 'CSUSHPINSA']",0.2
"['Volume', 'BAA', 'PCE']",0.333333333
"['Volume', 'BAA', 'LREMTTTTUSM156S']",0
"['Volume', 'BAA', 'DGORDER']",0.266666667
"['Volume', 'BAA', 'TWEXBMTH']",0.333333333
"['Volume', 'BAA', 'UNRATENSA']",0.133333333
"['Volume', 'BAA', 'TCU']",0
"['Volume', 'BAA', 'INDPRO']",0.133333333
"['Volume', 'BAA', 'PPIACO']",0.266666667
"['Volume', 'BAA', 'CPIAUCSL']",0.333333333
"['Volume', 'BAA', 'HOUST']",0.266666667
"['Volume', 'BAA', 'HSN1F']",0.266666667
"['Volume', 'BAA', 'FEDFUNDS']",0.066666667
"['Volume', 'BAA', 'USSLIND']",0.133333333
"['Volume', 'BAA', 'TOTALSA']",0.2
"['Volume', 'BAA', 'NEWORDER']",0.133333333
"['Volume', 'BAA', '서울아파트매매가격지수']",0.4
"['Volume', 'BAA', 'AMBNS']",0.333333333
"['Volume', 'BAA', '자가주거비포함지수']",0.333333333
"['Volume', 'BAA', '자가주거비']",0.333333333
"['Volume', 'BAA', '수출물가지수']",0.133333333
"['Volume', 'BAA', 'EXJPUS']",0
"['Volume', 'BAA', 'EXKOUS']",0.4
"['Volume', 'BAA', 'EXCHUS']",0.4
"['Volume', 'BAA', 'T10Y2YM']",0
"['Volume', 'BAA', 'XTEXVA01CNM667S']",0
"['Volume', 'BAA', '정책금리']",0.266666667
"['Volume', 'BAA', '통화량']",0.333333333
"['Volume', 'BAA', 'GACDFSA066MSFRBPHI']",0.066666667
"['Volume', 'BAA', 'XTIMVA01KRM667S']",0.133333333
"['Volume', 'BAA', 'KORPROINDMISMEI']",0.066666667
"['Volume', 'BAA', 'KORCPIALLMINMEI']",0.133333333
"['Volume', 'BAA', 'LRUNTTTTKRM156S']",0.2
"['Volume', 'BAA', '한국실업률']",0.2
"['Volume', 'BAA', 'IR3TCD01KRM156N']",0.333333333
"['Volume', 'BAA', '환율평균']",0.333333333
"['Volume', 'CSUSHPINSA', 'PCE']",0.6
"['Volume', 'CSUSHPINSA', 'LREMTTTTUSM156S']",0.133333333
"['Volume', 'CSUSHPINSA', 'DGORDER']",0.133333333
"['Volume', 'CSUSHPINSA', 'TWEXBMTH']",0.333333333
"['Volume', 'CSUSHPINSA', 'UNRATENSA']",0.333333333
"['Volume', 'CSUSHPINSA', 'TCU']",0
"['Volume', 'CSUSHPINSA', 'INDPRO']",0.066666667
"['Volume', 'CSUSHPINSA', 'PPIACO']",0.133333333
"['Volume', 'CSUSHPINSA', 'CPIAUCSL']",0.466666667
"['Volume', 'CSUSHPINSA', 'HOUST']",0.333333333
"['Volume', 'CSUSHPINSA', 'HSN1F']",0.066666667
"['Volume', 'CSUSHPINSA', 'FEDFUNDS']",0.066666667
"['Volume', 'CSUSHPINSA', 'USSLIND']",0
"['Volume', 'CSUSHPINSA', 'TOTALSA']",0.133333333
"['Volume', 'CSUSHPINSA', 'NEWORDER']",0
"['Volume', 'CSUSHPINSA', '서울아파트매매가격지수']",0.333333333
"['Volume', 'CSUSHPINSA', 'AMBNS']",0.2
"['Volume', 'CSUSHPINSA', '자가주거비포함지수']",0.4
"['Volume', 'CSUSHPINSA', '자가주거비']",0.733333333
"['Volume', 'CSUSHPINSA', '수출물가지수']",0.133333333
"['Volume', 'CSUSHPINSA', 'EXJPUS']",0
"['Volume', 'CSUSHPINSA', 'EXKOUS']",0.266666667
"['Volume', 'CSUSHPINSA', 'EXCHUS']",0.333333333
"['Volume', 'CSUSHPINSA', 'T10Y2YM']",0.133333333
"['Volume', 'CSUSHPINSA', 'XTEXVA01CNM667S']",0.066666667
"['Volume', 'CSUSHPINSA', '정책금리']",0.133333333
"['Volume', 'CSUSHPINSA', '통화량']",0.333333333
"['Volume', 'CSUSHPINSA', 'GACDFSA066MSFRBPHI']",0
"['Volume', 'CSUSHPINSA', 'XTIMVA01KRM667S']",0.133333333
"['Volume', 'CSUSHPINSA', 'KORPROINDMISMEI']",0
"['Volume', 'CSUSHPINSA', 'KORCPIALLMINMEI']",0.266666667
"['Volume', 'CSUSHPINSA', 'LRUNTTTTKRM156S']",0.133333333
"['Volume', 'CSUSHPINSA', '한국실업률']",0.066666667
"['Volume', 'CSUSHPINSA', 'IR3TCD01KRM156N']",0.266666667
"['Volume', 'CSUSHPINSA', '환율평균']",0.2
"['Volume', 'PCE', 'LREMTTTTUSM156S']",0.133333333
"['Volume', 'PCE', 'DGORDER']",0.133333333
"['Volume', 'PCE', 'TWEXBMTH']",0.8
"['Volume', 'PCE', 'UNRATENSA']",0.2
"['Volume', 'PCE', 'TCU']",0
"['Volume', 'PCE', 'INDPRO']",0.133333333
"['Volume', 'PCE', 'PPIACO']",0.2
