,feature,precision
0,"['Volume', '경상수지', '상품수지']",0.3333333333333333
1,"['Volume', '경상수지', 'BAA']",0.5714285714285714
2,"['Volume', '경상수지', 'CSUSHPINSA']",0.6666666666666666
3,"['Volume', '경상수지', 'PCE']",0.3157894736842105
4,"['Volume', '경상수지', 'LREMTTTTUSM156S']",0.4
5,"['Volume', '경상수지', 'DGORDER']",0.375
6,"['Volume', '경상수지', 'TWEXBMTH']",0.3409090909090909
7,"['Volume', '경상수지', 'UNRATENSA']",0.34782608695652173
8,"['Volume', '경상수지', 'TCU']",0.2727272727272727
9,"['Volume', '경상수지', 'INDPRO']",0.6
10,"['Volume', '경상수지', 'PPIACO']",0.29411764705882354
11,"['Volume', '경상수지', 'CPIAUCSL']",0.34210526315789475
12,"['Volume', '경상수지', 'HOUST']",0.2857142857142857
13,"['Volume', '경상수지', 'HSN1F']",0.14285714285714285
14,"['Volume', '경상수지', 'FEDFUNDS']",0.3
15,"['Volume', '경상수지', 'USSLIND']",0.0
16,"['Volume', '경상수지', 'TOTALSA']",0.16666666666666666
17,"['Volume', '경상수지', 'NEWORDER']",0.25
18,"['Volume', '경상수지', '서울아파트매매가격지수']",0.3125
19,"['Volume', '경상수지', 'AMBNS']",0.3333333333333333
20,"['Volume', '경상수지', '자가주거비포함지수']",0.3333333333333333
21,"['Volume', '경상수지', '자가주거비']",0.3409090909090909
22,"['Volume', '경상수지', '수출물가지수']",0.42857142857142855
23,"['Volume', '경상수지', 'EXJPUS']",0.0
24,"['Volume', '경상수지', 'EXKOUS']",0.2631578947368421
25,"['Volume', '경상수지', 'EXCHUS']",0.2727272727272727
26,"['Volume', '경상수지', 'T10Y2YM']",0.3333333333333333
27,"['Volume', '경상수지', 'XTEXVA01CNM667S']",0.2727272727272727
28,"['Volume', '경상수지', '정책금리']",0.35294117647058826
29,"['Volume', '경상수지', '통화량']",0.3488372093023256
30,"['Volume', '경상수지', 'GACDFSA066MSFRBPHI']",0.2222222222222222
31,"['Volume', '경상수지', 'XTIMVA01KRM667S']",0.30434782608695654
32,"['Volume', '경상수지', 'KORPROINDMISMEI']",0.0
33,"['Volume', '경상수지', 'KORCPIALLMINMEI']",0.325
34,"['Volume', '경상수지', 'LRUNTTTTKRM156S']",0.29411764705882354
35,"['Volume', '경상수지', '한국실업률']",0.23529411764705882
36,"['Volume', '경상수지', 'IR3TCD01KRM156N']",0.3488372093023256
37,"['Volume', '경상수지', '환율평균']",0.26666666666666666
38,"['Volume', '상품수지', 'BAA']",0.42857142857142855
39,"['Volume', '상품수지', 'CSUSHPINSA']",0.3333333333333333
40,"['Volume', '상품수지', 'PCE']",0.3488372093023256
41,"['Volume', '상품수지', 'LREMTTTTUSM156S']",0.391304347826087
42,"['Volume', '상품수지', 'DGORDER']",0.42857142857142855
43,"['Volume', '상품수지', 'TWEXBMTH']",0.3409090909090909
44,"['Volume', '상품수지', 'UNRATENSA']",0.36363636363636365
45,"['Volume', '상품수지', 'TCU']",0.3333333333333333
46,"['Volume', '상품수지', 'INDPRO']",0.3333333333333333
47,"['Volume', '상품수지', 'PPIACO']",0.5294117647058824
48,"['Volume', '상품수지', 'CPIAUCSL']",0.34210526315789475
49,"['Volume', '상품수지', 'HOUST']",0.375
