feature,precision
"['Volume', '경상수지', '상품수지']",0.5
"['Volume', '경상수지', 'BAA']",0.25
"['Volume', '경상수지', 'CSUSHPINSA']",0.5
"['Volume', '경상수지', 'PCE']",0.285714286
"['Volume', '경상수지', 'LREMTTTTUSM156S']",0.24
"['Volume', '경상수지', 'DGORDER']",0.666666667
"['Volume', '경상수지', 'TWEXBMTH']",0.235294118
"['Volume', '경상수지', 'UNRATENSA']",0.4
"['Volume', '경상수지', 'TCU']",0.181818182
"['Volume', '경상수지', 'INDPRO']",0.2
"['Volume', '경상수지', 'PPIACO']",0.333333333
"['Volume', '경상수지', 'CPIAUCSL']",0
"['Volume', '경상수지', 'HOUST']",0.318181818
"['Volume', '경상수지', 'HSN1F']",0.291666667
"['Volume', '경상수지', 'FEDFUNDS']",0.333333333
"['Volume', '경상수지', 'USSLIND']",0.125
"['Volume', '경상수지', 'TOTALSA']",0.285714286
"['Volume', '경상수지', 'NEWORDER']",0.285714286
"['Volume', '경상수지', '서울아파트매매가격지수']",0.352941176
"['Volume', '경상수지', 'AMBNS']",0
"['Volume', '경상수지', '자가주거비포함지수']",0
"['Volume', '경상수지', '자가주거비']",0.166666667
"['Volume', '경상수지', '수출물가지수']",0.545454545
"['Volume', '경상수지', 'EXJPUS']",0.5
"['Volume', '경상수지', 'EXKOUS']",0.2
"['Volume', '경상수지', 'EXCHUS']",0.217391304
"['Volume', '경상수지', 'T10Y2YM']",0.538461538
"['Volume', '경상수지', 'XTEXVA01CNM667S']",0.2
"['Volume', '경상수지', '정책금리']",0.277777778
"['Volume', '경상수지', '통화량']",0.2
"['Volume', '경상수지', 'GACDFSA066MSFRBPHI']",0.142857143
"['Volume', '경상수지', 'XTIMVA01KRM667S']",0.285714286
"['Volume', '경상수지', 'KORPROINDMISMEI']",0
"['Volume', '경상수지', 'KORCPIALLMINMEI']",0.166666667
"['Volume', '경상수지', 'LRUNTTTTKRM156S']",0.333333333
"['Volume', '경상수지', '한국실업률']",0.3
"['Volume', '경상수지', 'IR3TCD01KRM156N']",0.285714286
"['Volume', '경상수지', '환율평균']",0.3
"['Volume', '상품수지', 'BAA']",0.285714286
"['Volume', '상품수지', 'CSUSHPINSA']",0.571428571
"['Volume', '상품수지', 'PCE']",0.5
"['Volume', '상품수지', 'LREMTTTTUSM156S']",0.342105263
"['Volume', '상품수지', 'DGORDER']",0.5
"['Volume', '상품수지', 'TWEXBMTH']",0.272727273
"['Volume', '상품수지', 'UNRATENSA']",0.416666667
"['Volume', '상품수지', 'TCU']",0.25
"['Volume', '상품수지', 'INDPRO']",0.125
"['Volume', '상품수지', 'PPIACO']",0.388888889
"['Volume', '상품수지', 'CPIAUCSL']",0.375
"['Volume', '상품수지', 'HOUST']",0.5
"['Volume', '상품수지', 'HSN1F']",0.428571429
"['Volume', '상품수지', 'FEDFUNDS']",0.384615385
"['Volume', '상품수지', 'USSLIND']",0.625
"['Volume', '상품수지', 'TOTALSA']",0.285714286
"['Volume', '상품수지', 'NEWORDER']",0.428571429
"['Volume', '상품수지', '서울아파트매매가격지수']",0.348837209
"['Volume', '상품수지', 'AMBNS']",0.4
"['Volume', '상품수지', '자가주거비포함지수']",0.384615385
"['Volume', '상품수지', '자가주거비']",0.454545455
"['Volume', '상품수지', '수출물가지수']",0.571428571
"['Volume', '상품수지', 'EXJPUS']",0.3
"['Volume', '상품수지', 'EXKOUS']",0.260869565
"['Volume', '상품수지', 'EXCHUS']",0.333333333
"['Volume', '상품수지', 'T10Y2YM']",0.555555556
"['Volume', '상품수지', 'XTEXVA01CNM667S']",0.25
"['Volume', '상품수지', '정책금리']",0.363636364
"['Volume', '상품수지', '통화량']",0.4
"['Volume', '상품수지', 'GACDFSA066MSFRBPHI']",0.333333333
"['Volume', '상품수지', 'XTIMVA01KRM667S']",0.333333333
"['Volume', '상품수지', 'KORPROINDMISMEI']",0.333333333
