DATE,IR3TCD01KRM156N,KORCPIALLMINMEI,T10Y2YM,USSLIND,y,predict,TP,FP,TN,FN
2015-08-01,1.64,100.37,1.47,1.83,0,1,0,1,0,0
2015-09-01,1.6,100.11,1.46,1.81,1,1,1,0,0,0
2015-10-01,1.58,100.11,1.43,1.63,1,1,1,0,0,0
2015-11-01,1.59,99.92,1.38,1.58,0,0,0,0,1,0
2015-12-01,1.67,100.22,1.26,1.66,0,0,0,0,1,0
2016-01-01,1.67,100.39,1.19,1.4,0,0,0,0,1,0
2016-02-01,1.64,100.82,1.05,1.69,0,0,0,0,1,0
2016-03-01,1.63,100.56,1.01,1.59,1,0,0,0,0,1
2016-04-01,1.61,100.75,1.04,1.59,0,0,0,0,1,0
2016-05-01,1.58,100.81,0.99,1.44,0,0,0,0,1,0
2016-06-01,1.43,100.79,0.91,1.47,0,0,0,0,1,0
2016-07-01,1.36,100.6,0.83,1.53,1,0,0,0,0,1
2016-08-01,1.35,100.86,0.82,1.56,0,0,0,0,1,0
2016-09-01,1.34,101.46,0.86,1.35,0,0,0,0,1,0
2016-10-01,1.35,101.6,0.92,1.25,0,0,0,0,1,0
2016-11-01,1.42,101.45,1.16,1.69,0,0,0,0,1,0
2016-12-01,1.54,101.56,1.29,1.65,0,0,0,0,1,0
2017-01-01,1.5,102.64,1.22,1.76,1,1,1,0,0,0
2017-02-01,1.49,102.92,1.22,1.52,0,0,0,0,1,0
2017-03-01,1.48,102.85,1.17,1.69,0,0,0,0,1,0
2017-04-01,1.43,102.72,1.06,1.6,0,0,0,0,1,0
2017-05-01,1.39,102.83,1,1.43,0,0,0,0,1,0
2017-06-01,1.38,102.61,0.85,1.5,0,0,0,0,1,0
2017-07-01,1.39,102.78,0.95,1.42,1,0,0,0,0,1
2017-08-01,1.39,103.37,0.87,1.39,0,0,0,0,1,0
2017-09-01,1.38,103.49,0.82,1.18,0,0,0,0,1,0
2017-10-01,1.38,103.39,0.81,1.6,0,0,0,0,1,0
2017-11-01,1.45,102.62,0.65,1.43,0,0,0,0,1,0
2017-12-01,1.66,102.99,0.56,1.53,0,0,0,0,1,0
2018-01-01,1.66,103.42,0.55,1.56,1,0,0,0,0,1
2018-02-01,1.65,104.21,0.68,1.6,0,0,0,0,1,0
2018-03-01,1.65,104.1,0.56,1.62,1,1,1,0,0,0
2018-04-01,1.65,104.29,0.49,1.6,1,1,1,0,0,0
2018-05-01,1.65,104.34,0.47,1.58,1,0,0,0,0,1
2018-06-01,1.65,104.13,0.38,1.52,1,0,0,0,0,1
2018-07-01,1.65,103.93,0.28,1.34,1,1,1,0,0,0
2018-08-01,1.65,104.85,0.25,1.52,1,0,0,0,0,1
2018-09-01,1.65,105.65,0.23,1.38,0,0,0,0,1,0
2018-10-01,1.68,105.46,0.29,1.47,0,0,0,0,1,0
2018-11-01,1.71,104.71,0.26,1.12,0,0,0,0,1,0
2018-12-01,1.91,104.35,0.15,1.14,0,0,0,0,1,0
2019-01-01,1.87,104.24,0.17,1.11,1,0,0,0,0,1
2019-02-01,1.87,104.69,0.18,1.18,1,0,0,0,0,1
2019-03-01,1.9,104.49,0.16,1.26,0,0,0,0,1,0
,,,,,,,6,1,28,9
,,,,,precision,0.857142857,,,,
,,,,,recall,0.4,,,,
