DATE,EXCHUS,T10Y2YM,Volume,서울아파트매매가격지수,y,predict,TP,FP,TN,FN
2015-08-01,6.3383,1.47,45767180000,91.1,1,1,1,0,0,0
2015-09-01,6.3676,1.46,41503920000,91.7,0,1,0,1,0,0
2015-10-01,6.3505,1.43,42348240000,92.3,0,1,0,1,0,0
2015-11-01,6.364,1.38,36834860000,92.9,0,0,0,0,1,0
2015-12-01,6.4491,1.26,40617940000,93.3,1,1,1,0,0,0
2016-01-01,6.5726,1.19,44877130000,93.3,1,1,1,0,0,0
2016-02-01,6.5501,1.05,43108650000,93.3,1,1,1,0,0,0
2016-03-01,6.5027,1.01,40738880000,93.3,0,0,0,0,1,0
2016-04-01,6.4754,1.04,38014300000,93.4,0,0,0,0,1,0
2016-05-01,6.5259,0.99,38803240000,93.6,0,0,0,0,1,0
2016-06-01,6.5892,0.91,44213900000,93.9,1,1,1,0,0,0
2016-07-01,6.6771,0.83,36050040000,94.3,0,0,0,0,1,0
2016-08-01,6.6466,0.82,38754780000,94.6,0,0,0,0,1,0
2016-09-01,6.6702,0.86,40054600000,95,0,0,0,0,1,0
2016-10-01,6.7303,0.92,34644850000,95.7,0,0,0,0,1,0
2016-11-01,6.8402,1.16,41870720000,96.2,0,0,0,0,1,0
2016-12-01,6.9198,1.29,40597960000,96.3,0,0,0,0,1,0
2017-01-01,6.8907,1.22,36027970000,96.3,0,0,0,0,1,0
2017-02-01,6.8694,1.22,36709560000,96.4,0,0,0,0,1,0
2017-03-01,6.894,1.17,43937720000,96.6,0,1,0,1,0,0
2017-04-01,6.8876,1.06,33793200000,96.8,0,0,0,0,1,0
2017-05-01,6.8843,1,42285390000,97.3,0,0,0,0,1,0
2017-06-01,6.8066,0.85,48689910000,98.2,0,1,0,1,0,0
2017-07-01,6.7694,0.95,36063120000,98.7,0,0,0,0,1,0
2017-08-01,6.667,0.87,41236800000,99.3,0,0,0,0,1,0
2017-09-01,6.569,0.82,38177120000,99.3,0,0,0,0,1,0
2017-10-01,6.6254,0.81,41421370000,99.6,0,0,0,0,1,0
2017-11-01,6.62,0.65,41870380000,100,0,0,0,0,1,0
2017-12-01,6.5932,0.56,38573170000,100.8,0,0,0,0,1,0
2018-01-01,6.4233,0.55,44405890000,102.2,0,1,0,1,0,0
2018-02-01,6.3183,0.68,43791970000,103.6,1,1,1,0,0,0
2018-03-01,6.3174,0.56,48355130000,104.4,1,1,1,0,0,0
2018-04-01,6.2967,0.49,42932190000,104.8,0,0,0,0,1,0
2018-05-01,6.3701,0.47,45405220000,105,0,1,0,1,0,0
2018-06-01,6.4651,0.38,48305960000,105.2,0,1,0,1,0,0
2018-07-01,6.7164,0.28,38678490000,105.6,0,0,0,0,1,0
2018-08-01,6.8453,0.25,45900880000,106.5,0,1,0,1,0,0
2018-09-01,6.8551,0.23,44545790000,108.4,0,0,0,0,1,0
2018-10-01,6.9191,0.29,61400960000,109.1,1,1,1,0,0,0
2018-11-01,6.9367,0.26,48560650000,109.1,1,1,1,0,0,0
2018-12-01,6.8837,0.15,48808340000,108.9,1,1,1,0,0,0
2019-01-01,6.7863,0.17,49199040000,108.5,0,1,0,1,0,0
2019-02-01,6.7367,0.18,42304540000,108.1,0,0,0,0,1,0
2019-03-01,6.7119,0.16,49145540000,107.7,0,1,0,1,0,0
,,,,,,,10,10,24,0
,,,,,precision,0.5,,,,
,,,,,recall,1,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
