,bias,미국 내구재 주문,미국 생산 자원사용률,미국 신규 실업수당 청구건수,"미국 항공기 제외, 비국방 자본재 주문",중국 차이신 PMI Actual
363,1,155213.0,67.4362,6145000.0,51053.0,57.4
6359,1,155213.0,67.4362,6145000.0,51053.0,57.4
6358,1,155213.0,67.4362,6145000.0,51053.0,57.4
5529,1,155213.0,67.4362,6145000.0,51053.0,57.4
6357,1,155213.0,67.4362,6145000.0,51053.0,57.4
6356,1,155213.0,67.4362,6145000.0,51053.0,57.4
6355,1,155213.0,67.4362,6145000.0,51053.0,57.4
6354,1,155213.0,67.4362,6145000.0,51053.0,57.4
6353,1,155213.0,67.4362,6145000.0,51053.0,57.4
5530,1,155213.0,67.4362,6136000.0,51053.0,57.4
6352,1,155213.0,67.4362,6136000.0,51053.0,57.4
6351,1,155213.0,67.4362,6136000.0,51053.0,57.4
6350,1,155213.0,67.4362,6136000.0,51053.0,57.4
6349,1,155213.0,67.4362,6136000.0,51053.0,57.4
6348,1,155213.0,67.4362,6136000.0,51053.0,57.4
5531,1,155213.0,67.4362,6118000.0,51053.0,57.4
6347,1,155213.0,67.4362,6118000.0,51053.0,57.4
6346,1,155213.0,67.4362,6118000.0,51053.0,57.4
6345,1,155213.0,67.4362,6118000.0,51053.0,57.4
6344,1,155213.0,67.4362,6118000.0,51053.0,57.4
6343,1,155213.0,67.4362,6118000.0,51053.0,57.4
5532,1,155213.0,67.4362,6157000.0,51053.0,57.4
6342,1,155213.0,67.4362,6157000.0,51053.0,57.4
6341,1,155213.0,67.4362,6157000.0,51053.0,57.4
6340,1,155213.0,67.4362,6157000.0,51053.0,57.4
6339,1,155213.0,67.4362,6157000.0,51053.0,57.4
6338,1,155213.0,67.4362,6157000.0,51053.0,57.4
364,1,158266.0,68.2344,6111000.0,50126.0,57.4
2881,1,158266.0,68.2344,6111000.0,50126.0,57.4
6337,1,158266.0,68.2344,6111000.0,50126.0,57.4
6336,1,158266.0,68.2344,6111000.0,50126.0,57.4
6335,1,158266.0,68.2344,6111000.0,50126.0,57.4
6334,1,158266.0,68.2344,6111000.0,50126.0,57.4
5533,1,158266.0,68.2344,6090000.0,50126.0,57.4
6333,1,158266.0,68.2344,6090000.0,50126.0,57.4
6332,1,158266.0,68.2344,6090000.0,50126.0,57.4
6331,1,158266.0,68.2344,6090000.0,50126.0,57.4
6330,1,158266.0,68.2344,6090000.0,50126.0,57.4
6329,1,158266.0,68.2344,6090000.0,50126.0,57.4
5534,1,158266.0,68.2344,6008000.0,50126.0,57.4
6328,1,158266.0,68.2344,6008000.0,50126.0,57.4
6327,1,158266.0,68.2344,6008000.0,50126.0,57.4
6326,1,158266.0,68.2344,6008000.0,50126.0,57.4
6325,1,158266.0,68.2344,6008000.0,50126.0,57.4
6324,1,158266.0,68.2344,6008000.0,50126.0,57.4
5535,1,158266.0,68.2344,6060000.0,50126.0,57.4
6323,1,158266.0,68.2344,6060000.0,50126.0,57.4
6322,1,158266.0,68.2344,6060000.0,50126.0,57.4
6321,1,158266.0,68.2344,6060000.0,50126.0,57.4
6320,1,158266.0,68.2344,6060000.0,50126.0,57.4
6319,1,158266.0,68.2344,6060000.0,50126.0,57.4
5536,1,158266.0,68.2344,5970000.0,50126.0,57.4
6318,1,158266.0,68.2344,5970000.0,50126.0,57.4
365,1,157059.0,68.8187,5970000.0,52991.0,57.4
6317,1,157059.0,68.8187,5970000.0,52991.0,57.4
6316,1,157059.0,68.8187,5970000.0,52991.0,57.4
6315,1,157059.0,68.8187,5970000.0,52991.0,57.4
5537,1,157059.0,68.8187,6079000.0,52991.0,57.4
6314,1,157059.0,68.8187,6079000.0,52991.0,57.4
6313,1,157059.0,68.8187,6079000.0,52991.0,57.4
6312,1,157059.0,68.8187,6079000.0,52991.0,57.4
6311,1,157059.0,68.8187,6079000.0,52991.0,57.4
6310,1,157059.0,68.8187,6079000.0,52991.0,57.4
5538,1,157059.0,68.8187,6006000.0,52991.0,57.4
6309,1,157059.0,68.8187,6006000.0,52991.0,57.4
6308,1,157059.0,68.8187,6006000.0,52991.0,57.4
6307,1,157059.0,68.8187,6006000.0,52991.0,57.4
6306,1,157059.0,68.8187,6006000.0,52991.0,57.4
6305,1,157059.0,68.8187,6006000.0,52991.0,57.4
5539,1,157059.0,68.8187,5942000.0,52991.0,57.4
6304,1,157059.0,68.8187,5942000.0,52991.0,57.4
6303,1,157059.0,68.8187,5942000.0,52991.0,57.4
6302,1,157059.0,68.8187,5942000.0,52991.0,57.4
6301,1,157059.0,68.8187,5942000.0,52991.0,57.4
6300,1,157059.0,68.8187,5942000.0,52991.0,57.4
5540,1,157059.0,68.8187,5912000.0,52991.0,57.4
6299,1,157059.0,68.8187,5912000.0,52991.0,57.4
6298,1,157059.0,68.8187,5912000.0,52991.0,57.4
6297,1,157059.0,68.8187,5912000.0,52991.0,57.4
366,1,163669.0,69.1297,5912000.0,52061.0,57.4
5541,1,163669.0,69.1297,5900000.0,52061.0,57.4
6296,1,163669.0,69.1297,5900000.0,52061.0,57.4
6295,1,163669.0,69.1297,5900000.0,52061.0,57.4
6294,1,163669.0,69.1297,5900000.0,52061.0,57.4
6293,1,163669.0,69.1297,5900000.0,52061.0,57.4
6292,1,163669.0,69.1297,5900000.0,52061.0,57.4
5542,1,163669.0,69.1297,5828000.0,52061.0,57.4
6291,1,163669.0,69.1297,5828000.0,52061.0,57.4
6290,1,163669.0,69.1297,5828000.0,52061.0,57.4
6289,1,163669.0,69.1297,5828000.0,52061.0,57.4
6288,1,163669.0,69.1297,5828000.0,52061.0,57.4
2817,1,163669.0,69.1297,5828000.0,52061.0,57.4
5543,1,163669.0,69.1297,5746000.0,52061.0,57.4
2816,1,163669.0,69.1297,5746000.0,52061.0,57.4
2815,1,163669.0,69.1297,5746000.0,52061.0,57.4
2814,1,163669.0,69.1297,5746000.0,52061.0,57.4
2813,1,163669.0,69.1297,5746000.0,52061.0,57.4
2812,1,163669.0,69.1297,5746000.0,52061.0,57.4
5544,1,163669.0,69.1297,5705000.0,52061.0,57.4
2811,1,163669.0,69.1297,5705000.0,52061.0,57.4
2810,1,163669.0,69.1297,5705000.0,52061.0,57.4
2809,1,163669.0,69.1297,5705000.0,52061.0,57.4
2808,1,163669.0,69.1297,5705000.0,52061.0,57.4
2807,1,163669.0,69.1297,5705000.0,52061.0,57.4
5545,1,163669.0,69.1297,5649000.0,52061.0,57.4
367,1,160032.0,69.5147,5649000.0,52778.0,57.4
2806,1,160032.0,69.5147,5649000.0,52778.0,57.4
2805,1,160032.0,69.5147,5649000.0,52778.0,57.4
2804,1,160032.0,69.5147,5649000.0,52778.0,57.4
2803,1,160032.0,69.5147,5649000.0,52778.0,57.4
2802,1,160032.0,69.5147,5649000.0,52778.0,57.4
5546,1,160032.0,69.5147,5568000.0,52778.0,57.4
2801,1,160032.0,69.5147,5568000.0,52778.0,57.4
2800,1,160032.0,69.5147,5568000.0,52778.0,57.4
2799,1,160032.0,69.5147,5568000.0,52778.0,57.4
2798,1,160032.0,69.5147,5568000.0,52778.0,57.4
2797,1,160032.0,69.5147,5568000.0,52778.0,57.4
5547,1,160032.0,69.5147,5462000.0,52778.0,57.4
2796,1,160032.0,69.5147,5462000.0,52778.0,57.4
2795,1,160032.0,69.5147,5462000.0,52778.0,57.4
2794,1,160032.0,69.5147,5462000.0,52778.0,57.4
2793,1,160032.0,69.5147,5462000.0,52778.0,57.4
2792,1,160032.0,69.5147,5462000.0,52778.0,57.4
5548,1,160032.0,69.5147,5489000.0,52778.0,57.4
2791,1,160032.0,69.5147,5489000.0,52778.0,57.4
2790,1,160032.0,69.5147,5489000.0,52778.0,57.4
2789,1,160032.0,69.5147,5489000.0,52778.0,57.4
2788,1,160032.0,69.5147,5489000.0,52778.0,57.4
2787,1,160032.0,69.5147,5489000.0,52778.0,57.4
5549,1,160032.0,69.5147,5323000.0,52778.0,57.4
2786,1,160032.0,69.5147,5323000.0,52778.0,57.4
368,1,159766.0,69.8537,5323000.0,54427.0,57.4
2785,1,159766.0,69.8537,5323000.0,54427.0,57.4
2784,1,159766.0,69.8537,5323000.0,54427.0,57.4
2783,1,159766.0,69.8537,5323000.0,54427.0,57.4
5550,1,159766.0,69.8537,5289000.0,54427.0,57.4
2782,1,159766.0,69.8537,5289000.0,54427.0,57.4
2781,1,159766.0,69.8537,5289000.0,54427.0,57.4
2780,1,159766.0,69.8537,5289000.0,54427.0,57.4
2779,1,159766.0,69.8537,5289000.0,54427.0,57.4
2778,1,159766.0,69.8537,5289000.0,54427.0,57.4
5551,1,159766.0,69.8537,5191000.0,54427.0,57.4
2777,1,159766.0,69.8537,5191000.0,54427.0,57.4
2776,1,159766.0,69.8537,5191000.0,54427.0,57.4
2775,1,159766.0,69.8537,5191000.0,54427.0,57.4
2774,1,159766.0,69.8537,5191000.0,54427.0,57.4
2773,1,159766.0,69.8537,5191000.0,54427.0,57.4
5552,1,159766.0,69.8537,5100000.0,54427.0,57.4
2772,1,159766.0,69.8537,5100000.0,54427.0,57.4
2771,1,159766.0,69.8537,5100000.0,54427.0,57.4
2770,1,159766.0,69.8537,5100000.0,54427.0,57.4
2769,1,159766.0,69.8537,5100000.0,54427.0,57.4
5553,1,159766.0,69.8537,4987000.0,54427.0,57.4
2768,1,159766.0,69.8537,4987000.0,54427.0,57.4
2767,1,159766.0,69.8537,4987000.0,54427.0,57.4
2766,1,159766.0,69.8537,4987000.0,54427.0,57.4
2765,1,159766.0,69.8537,4987000.0,54427.0,57.4
8,1,182084.0,70.8069,4987000.0,52365.0,57.4
5554,1,182084.0,70.8069,4870000.0,52365.0,57.4
2764,1,182084.0,70.8069,4870000.0,52365.0,57.4
2763,1,182084.0,70.8069,4870000.0,52365.0,57.4
2762,1,182084.0,70.8069,4870000.0,52365.0,57.4
2761,1,182084.0,70.8069,4870000.0,52365.0,57.4
2760,1,182084.0,70.8069,4870000.0,52365.0,57.4
5555,1,182084.0,70.8069,4879000.0,52365.0,57.4
2759,1,182084.0,70.8069,4879000.0,52365.0,57.4
2758,1,182084.0,70.8069,4879000.0,52365.0,57.4
2757,1,182084.0,70.8069,4879000.0,52365.0,57.4
2756,1,182084.0,70.8069,4879000.0,52365.0,57.4
2755,1,182084.0,70.8069,4879000.0,52365.0,57.4
5556,1,182084.0,70.8069,4809000.0,52365.0,57.4
2754,1,182084.0,70.8069,4809000.0,52365.0,57.4
2753,1,182084.0,70.8069,4809000.0,52365.0,57.4
2752,1,182084.0,70.8069,4809000.0,52365.0,57.4
2751,1,182084.0,70.8069,4809000.0,52365.0,57.4
2750,1,182084.0,70.8069,4809000.0,52365.0,57.4
5557,1,182084.0,70.8069,4841000.0,52365.0,57.4
2749,1,182084.0,70.8069,4841000.0,52365.0,57.4
2748,1,182084.0,70.8069,4841000.0,52365.0,57.4
2747,1,182084.0,70.8069,4841000.0,52365.0,57.4
2746,1,182084.0,70.8069,4841000.0,52365.0,57.4
2745,1,182084.0,70.8069,4841000.0,52365.0,57.4
5558,1,182084.0,70.8069,4796000.0,52365.0,57.4
369,1,177621.0,71.2129,4796000.0,53386.0,57.4
2744,1,177621.0,71.2129,4796000.0,53386.0,57.4
2743,1,177621.0,71.2129,4796000.0,53386.0,57.4
2742,1,177621.0,71.2129,4796000.0,53386.0,57.4
2741,1,177621.0,71.2129,4796000.0,53386.0,57.4
5559,1,177621.0,71.2129,4838000.0,53386.0,57.4
2740,1,177621.0,71.2129,4838000.0,53386.0,57.4
2739,1,177621.0,71.2129,4838000.0,53386.0,57.4
2738,1,177621.0,71.2129,4838000.0,53386.0,57.4
2737,1,177621.0,71.2129,4838000.0,53386.0,57.4
2736,1,177621.0,71.2129,4838000.0,53386.0,57.4
5560,1,177621.0,71.2129,4815000.0,53386.0,57.4
2735,1,177621.0,71.2129,4815000.0,53386.0,57.4
2734,1,177621.0,71.2129,4815000.0,53386.0,57.4
2733,1,177621.0,71.2129,4815000.0,53386.0,57.4
2732,1,177621.0,71.2129,4815000.0,53386.0,57.4
5561,1,177621.0,71.2129,4767000.0,53386.0,57.4
2731,1,177621.0,71.2129,4767000.0,53386.0,57.4
2730,1,177621.0,71.2129,4767000.0,53386.0,57.4
2729,1,177621.0,71.2129,4767000.0,53386.0,57.4
2728,1,177621.0,71.2129,4767000.0,53386.0,57.4
2727,1,177621.0,71.2129,4767000.0,53386.0,57.4
5562,1,177621.0,71.2129,4755000.0,53386.0,57.4
370,1,179916.0,71.8411,4755000.0,56130.0,55.8
2726,1,179916.0,71.8411,4755000.0,56130.0,55.8
2725,1,179916.0,71.8411,4755000.0,56130.0,55.8
2724,1,179916.0,71.8411,4755000.0,56130.0,55.8
2723,1,179916.0,71.8411,4755000.0,56130.0,55.8
5563,1,179916.0,71.8411,4766000.0,56130.0,55.8
2722,1,179916.0,71.8411,4766000.0,56130.0,55.8
2721,1,179916.0,71.8411,4766000.0,56130.0,55.8
2720,1,179916.0,71.8411,4766000.0,56130.0,55.8
2719,1,179916.0,71.8411,4766000.0,56130.0,55.8
2718,1,179916.0,71.8411,4766000.0,56130.0,55.8
5564,1,179916.0,71.8411,4750000.0,56130.0,55.8
2717,1,179916.0,71.8411,4750000.0,56130.0,55.8
2716,1,179916.0,71.8411,4750000.0,56130.0,55.8
2715,1,179916.0,71.8411,4750000.0,56130.0,55.8
2714,1,179916.0,71.8411,4750000.0,56130.0,55.8
2713,1,179916.0,71.8411,4750000.0,56130.0,55.8
5565,1,179916.0,71.8411,4743000.0,56130.0,55.8
2712,1,179916.0,71.8411,4743000.0,56130.0,55.8
2711,1,179916.0,71.8411,4743000.0,56130.0,55.8
2710,1,179916.0,71.8411,4743000.0,56130.0,55.8
2709,1,179916.0,71.8411,4743000.0,56130.0,55.8
2708,1,179916.0,71.8411,4743000.0,56130.0,55.8
5566,1,179916.0,71.8411,4668000.0,56130.0,55.8
2707,1,179916.0,71.8411,4668000.0,56130.0,55.8
2706,1,179916.0,71.8411,4668000.0,56130.0,55.8
2705,1,179916.0,71.8411,4668000.0,56130.0,55.8
371,1,186063.0,72.2743,4668000.0,52604.0,57.6
2704,1,186063.0,72.2743,4668000.0,52604.0,57.6
5567,1,186063.0,72.2743,4755000.0,52604.0,57.6
2703,1,186063.0,72.2743,4755000.0,52604.0,57.6
2702,1,186063.0,72.2743,4755000.0,52604.0,57.6
2701,1,186063.0,72.2743,4755000.0,52604.0,57.6
2700,1,186063.0,72.2743,4755000.0,52604.0,57.6
2699,1,186063.0,72.2743,4755000.0,52604.0,57.6
5568,1,186063.0,72.2743,4746000.0,52604.0,57.6
2698,1,186063.0,72.2743,4746000.0,52604.0,57.6
2697,1,186063.0,72.2743,4746000.0,52604.0,57.6
2696,1,186063.0,72.2743,4746000.0,52604.0,57.6
2695,1,186063.0,72.2743,4746000.0,52604.0,57.6
2694,1,186063.0,72.2743,4746000.0,52604.0,57.6
5569,1,186063.0,72.2743,4721000.0,52604.0,57.6
2693,1,186063.0,72.2743,4721000.0,52604.0,57.6
2692,1,186063.0,72.2743,4721000.0,52604.0,57.6
2691,1,186063.0,72.2743,4721000.0,52604.0,57.6
2690,1,186063.0,72.2743,4721000.0,52604.0,57.6
2689,1,186063.0,72.2743,4721000.0,52604.0,57.6
5570,1,186063.0,72.2743,4690000.0,52604.0,57.6
