DATE,Open,High,Low,Close,Adj Close,Volume,ac-rate,cm4,cm4up,cm4down,cm4normal,cm5,cm5up,cm5down,cm5normal
2006-02-01,10862.13965,11159.17969,10737.66992,10993.41016,10993.41016,5759090000,1.18%,0,0,0,1,0,0,0,1
2006-03-01,10993.25,11334.95996,10922.73047,11109.32031,11109.32031,6680180000,1.05%,0,0,0,1,0,0,0,1
2006-04-01,11113,11417.66016,11039.12012,11367.13965,11367.13965,5584020000,2.32%,0,0,0,1,0,0,0,1
2006-05-01,11367.78027,11670.19043,11030.46973,11168.30957,11168.30957,7360590000,-1.75%,0,0,0,1,0,0,0,1
2006-06-01,11169.03027,11285.82031,10698.84961,11150.21973,11150.21973,6959660000,-0.16%,0,0,0,1,0,0,0,1
2006-07-01,11149.33984,11257.08008,10683.32031,11185.67969,11185.67969,5548680000,0.32%,0,0,0,1,0,0,0,1
2006-08-01,11184.79981,11407.08008,11042.63965,11381.15039,11381.15039,4668650000,1.75%,0,0,0,1,0,0,0,1
2006-09-01,11382.75,11741.99023,11323.83984,11679.07031,11679.07031,4494890000,2.62%,0,0,0,1,0,0,0,1
2006-10-01,11678.99023,12167.01953,11653.05957,12080.73047,12080.73047,5665820000,3.44%,0,0,0,1,0,0,0,1
2006-11-01,12080.25,12361,11965.30957,12221.92969,12221.92969,4722850000,1.17%,0,0,0,1,0,0,0,1
2006-12-01,12220.96973,12529.87988,12089.98047,12463.15039,12463.15039,4381310000,1.97%,0,0,0,1,0,0,0,1
2007-01-01,12459.54004,12657.01953,12337.37012,12621.69043,12621.69043,5075440000,1.27%,0,0,0,1,0,0,0,1
2007-02-01,12617.2002,12795.92969,12086.05957,12268.62988,12268.62988,4347420000,-2.80%,0,0,0,1,0,0,0,1
2007-03-01,12268.62988,12511.04981,11939.61035,12354.34961,12354.34961,5633180000,0.70%,0,0,0,1,0,0,0,1
2007-04-01,12354.51953,13162.05957,12324.28027,13062.91016,13062.91016,4819810000,5.74%,1,1,0,0,1,1,0,0
2007-05-01,13062.75,13673.07031,13041.29981,13627.63965,13627.63965,5039850000,4.32%,1,1,0,0,0,0,0,1
