DATE,미국 ISM 제조업 구매자지수 Actual,Consensus,Previous,Revised
2019-07-01,51.7,51,52.1,
2019-06-03,52.1,53,52.8,
2019-05-01,52.8,55,55.3,
2019-04-01,55.3,54.5,54.2,
2019-03-01,54.2,55.5,56.6,
2019-02-01,56.6,54.2,54.1,54.3
2019-01-03,54.1,57.9,59.3,
2018-12-03,59.3,57.5,57.7,
2018-11-01,57.7,59,59.8,
2018-10-01,59.8,60.3,61.3,
2018-09-04,61.3,57.7,58.1,
2018-08-01,58.1,59.5,60.2,
2018-07-02,60.2,58.4,58.7,
2018-06-01,58.7,58.1,57.3,
2018-05-01,57.3,58.3,59.3,
2018-04-02,59.3,60,60.8,
2018-03-01,60.8,58.7,59.1,
2018-02-01,59.1,58.8,59.7,59.3
2018-01-03,59.7,58.1,58.2,
2017-12-01,58.2,58.4,58.7,
2017-11-01,58.7,59.5,60.8,
2017-10-02,60.8,58,58.8,
2017-09-01,58.8,56.5,56.3,
2017-08-01,56.3,56.5,57.8,
2017-07-03,57.8,55.2,54.9,
2017-06-01,54.9,54.5,54.8,
2017-05-01,54.8,56.5,57.2,
2017-04-03,57.2,57,57.7,
2017-03-01,57.7,56,56,
2017-02-01,56,55,54.7,
2017-01-03,54.7,53.5,53.2,
2016-12-01,53.2,52.2,51.9,
2016-11-01,51.9,51.7,51.5,
2016-10-03,51.5,50.3,49.4,
2016-09-01,49.4,52,52.6,
2016-08-01,52.6,53,53.2,
2016-07-01,53.2,51.5,51.3,
2016-06-01,51.3,50.4,50.8,
2016-05-02,50.8,51.4,51.8,
2016-04-01,51.8,50.7,49.5,
2016-03-01,49.5,48.5,48.2,
2016-02-01,48.2,48,48.2,
2016-01-04,48.2,49,48.6,
2015-12-01,48.6,50.3,50.1,
2015-11-02,50.1,50,50.2,
2015-10-01,50.2,50.6,51.1,
2015-09-01,51.1,52.6,52.7,
2015-08-03,52.7,53.5,53.5,
2015-07-01,53.5,53.1,52.8,
2015-06-01,52.8,52,51.5,
2015-05-01,51.5,52,51.5,
2015-04-01,51.5,52.5,52.9,
2015-03-02,52.9,53.1,53.5,
2015-02-02,53.5,54.5,55.5,
2015-01-02,55.5,57.6,58.7,
2014-12-01,58.7,57.8,59,
2014-11-03,59,56.2,56.6,
2014-10-01,56.6,58.5,59,
2014-09-02,59,56.8,57.1,
2014-08-01,57.1,56,55.3,
2014-07-01,55.3,55.8,55.4,
2014-06-02,55.4,55.4,54.9,
2014-05-01,54.9,54.3,53.7,
2014-04-01,53.7,54,53.2,
2014-03-03,53.2,52,51.3,
2014-02-03,51.3,56,57,
2014-01-02,57,57,57.3,
2013-12-02,57.3,55,56.4,
2013-11-01,56.4,55,56.2,
2013-10-01,56.2,55,55.7,
2013-09-03,55.7,54,55.4,
2013-08-01,55.4,52,50.9,
2013-07-01,50.9,50.5,49,
2013-06-03,49,50.5,50.7,
2013-05-01,50.7,50.9,51.3,
2013-04-01,51.3,54.1,54.2,
2013-03-01,54.2,52.5,53.1,
2013-02-01,53.1,50.6,50.2,50.7
2013-01-02,50.2,50.3,49.9,49.5
2012-12-03,49.9,51.3,51.7,
2012-11-01,51.7,51.2,51.6,51.5
2012-10-01,51.6,49.7,50.7,49.6
2012-09-04,50.7,50,50.5,49.8
2012-08-01,50.5,50.2,50.2,49.7
2012-07-02,50.2,52,52.5,53.5
2012-06-01,52.5,53.9,54.1,54.8
2012-05-01,54.1,53,53.3,53.4
2012-04-02,53.3,53,51.9,52.4
2012-03-01,51.9,54.5,54.1,
2012-02-01,54.1,54.5,53.1,53.9
2012-01-03,53.1,53.2,52.2,
2011-12-01,52.2,51.6,51.8,
2011-11-01,51.8,52.3,52.5,
2011-10-03,52.5,50.5,52.5,
2011-09-01,52.5,48.5,51.4,
2011-08-01,51.4,55.1,55.3,
2011-07-01,55.3,51.5,53.5,
2011-06-01,53.5,58.8,60.4,
2011-05-02,60.4,59.5,61.2,
2011-04-01,61.2,61,61.4,
2011-03-01,61.4,60.7,60.8,
2011-02-01,60.8,57.6,58.5,
2011-01-03,58.5,56.9,56.6,
2010-12-01,56.6,56.3,56.9,
2010-11-01,56.9,54,54.4,
2010-10-01,54.4,54.6,56.3,
2010-09-01,56.3,53,55.5,
2010-08-02,55.5,54.6,56.2,
2010-07-01,56.2,59,59.7,
2010-06-01,59.7,59,60.4,
2010-05-03,60.4,59,59.6,
2010-04-01,59.6,57.2,56.5,
2010-03-01,56.5,58.3,58.4,
2010-02-01,58.4,55.5,54.9,55.9
2010-01-04,54.9,54.2,53.6,
2009-12-01,53.6,54.9,55.7,
2009-11-02,55.7,53,52.6,
2009-10-01,52.6,53.9,52.9,
2009-09-01,52.9,50.5,48.9,
2009-08-03,48.9,,44.8,
2009-07-01,44.8,46.8,42.8,
2009-06-01,42.8,42.2,40.1,
2009-05-01,40.1,38,36.3,
2009-04-01,36.3,35.7,35.8,
2009-03-02,35.8,34,35.6,
2009-02-02,35.6,33,32.4,
2009-01-02,32.4,,36.2,
2008-12-01,36.2,37.5,38.9,
2008-11-03,38.9,42,43.5,
2008-10-01,43.5,49.5,49.9,
2008-09-02,49.9,49.8,50,
2008-08-01,50,49.2,50.2,
2008-07-01,50.2,49,49.6,
2008-06-02,49.6,48.5,48.6,
2008-05-01,48.6,48,48.6,
2008-04-01,48.6,47.5,48.3,
2008-03-03,48.3,48.5,50.7,
2008-02-01,50.7,47.5,48.4,47.7
2008-01-02,48.4,50.5,50.8,
2007-12-03,50.8,50.5,50.9,
2007-11-01,50.9,51.4,52,
2007-10-01,52,52.5,52.9,
2007-09-04,52.9,53,53.8,
2007-08-01,53.8,55.5,56,
2007-07-02,56,55,55,
2007-06-01,55,54,54.7,
2007-05-01,54.7,51,50.9,
2007-04-02,50.9,51,52.3,
2007-03-01,52.3,50,,
