DATE,¼Û±Ý º¸³»½Ç¶§,¼Û±Ý ¹ÞÀ¸½Ç¶§,ÇöÂû »ç½Ç¶§,ÇöÂû ÆÄ½Ç¶§,T/C»ç½Ç¶§,¸Å¸Å±âÁØÀ²(ÀüÀÏ´ëºñ),ÇÑ±¹ÀºÇà±âÁØ ¿ø´Þ·¯È¯À²,´ë¹ÌÈ¯»êÀ²
2019-07-02,1178.1,1155.5,1187.21,1146.39,1180.8,"1,166.80»ó½Â3.80",1155.4,1
2019-07-01,1174.2,1151.8,1183.35,1142.65,1176.95,"1,163.00»ó½Â7.50",1156.4,1
2019-06-28,1166.7,1144.3,1175.72,1135.28,1169.36,"1,155.50ÇÏ¶ô-2.00",1156.8,1
2019-06-27,1168.7,1146.3,1177.75,1137.25,1171.39,1157.5,1158.2,1
2019-06-26,1168.7,1146.3,1177.75,1137.25,1171.39,"1,157.50»ó½Â1.00",1154.7,1
2019-06-25,1167.7,1145.3,1176.73,1136.27,1170.37,"1,156.50ÇÏ¶ô-1.50",1157.9,1
2019-06-24,1169.2,1146.8,1178.26,1137.74,1171.89,"1,158.00ÇÏ¶ô-6.50",1162,1
2019-06-21,1175.7,1153.3,1184.87,1144.13,1178.47,"1,164.50»ó½Â3.00",1167.7,1
2019-06-20,1172.7,1150.3,1181.82,1141.18,1175.43,"1,161.50ÇÏ¶ô-15.00",1177,1
2019-06-19,1187.9,1165.1,1197.08,1155.92,1190.61,"1,176.50ÇÏ¶ô-9.50",1185,1
2019-06-18,1197.5,1174.5,1206.75,1165.25,1200.23,"1,186.00ÇÏ¶ô-1.00",1186.3,1
2019-06-17,1198.5,1175.5,1207.77,1166.23,1201.24,"1,187.00»ó½Â1.50",1184,1
2019-06-14,1196.9,1174.1,1206.24,1164.76,1199.72,"1,185.50»ó½Â2.00",1184.7,1
2019-06-13,1194.9,1172.1,1204.21,1162.79,1197.7,"1,183.50»ó½Â0.50",1181.7,1
2019-06-12,1194.4,1171.6,1203.7,1162.3,1197.19,"1,183.00»ó½Â1.50",1181.7,1
2019-06-11,1192.9,1170.1,1202.17,1160.83,1195.67,"1,181.50ÇÏ¶ô-5.50",1184,1
2019-06-10,1198.5,1175.5,1207.77,1166.23,1201.24,"1,187.00»ó½Â1.50",1179.5,1
2019-06-07,1196.9,1174.1,1206.24,1164.76,1199.72,"1,185.50»ó½Â6.50",1179.8,1
2019-06-05,1190.4,1167.6,1199.63,1158.37,1193.14,"1,179.00ÇÏ¶ô-4.50",1181.5,1
2019-06-04,1194.9,1172.1,1204.21,1162.79,1197.7,"1,183.50»ó½Â1.00",1183,1
2019-06-03,1193.9,1171.1,1203.19,1161.81,1196.69,"1,182.50ÇÏ¶ô-8.50",1191.2,1
2019-05-31,1202.5,1179.5,1211.84,1170.16,1205.29,1191,1190,1
2019-05-30,1202.5,1179.5,1211.84,1170.16,1205.29,"1,191.00ÇÏ¶ô-4.00",1193.1,1
2019-05-29,1206.5,1183.5,1215.91,1174.09,1209.34,"1,195.00»ó½Â5.50",1187.6,1
2019-05-28,1201,1178,1210.31,1168.69,1203.77,"1,189.50»ó½Â4.00",1184.1,1
2019-05-27,1196.9,1174.1,1206.24,1164.76,1199.72,"1,185.50ÇÏ¶ô-3.00",1189.6,1
2019-05-24,1200,1177,1209.29,1167.71,1202.76,"1,188.50ÇÏ¶ô-3.00",1191.2,1
2019-05-23,1203,1180,1212.35,1170.65,1205.79,"1,191.50»ó½Â0.50",1194.6,1
2019-05-22,1202.5,1179.5,1211.84,1170.16,1205.29,"1,191.00ÇÏ¶ô-5.00",1193.3,1
