DATE,미국 신규 실업수당 청구건수
1967-01-01,1118750
1967-02-01,2664666.667
1967-03-01,3910666.667
1967-04-01,4211500
1967-05-01,6882666.667
1967-06-01,8122333.333
1967-07-01,7351250
1967-08-01,11000666.67
1967-09-01,9426250
1967-10-01,13743000
1967-11-01,14882000
1967-12-01,12337250
1968-01-01,17628000
1968-02-01,18789000
1968-03-01,15228000
1968-04-01,21379000
1968-05-01,22457333.33
1968-06-01,17909500
1968-07-01,24927666.67
1968-08-01,19784000
1968-09-01,27425000
1968-10-01,28462666.67
1968-11-01,22392750
1968-12-01,30937000
1969-01-01,32019666.67
1969-02-01,33118000
1969-03-01,25911250
1969-04-01,35570666.67
1969-05-01,27682750
1969-06-01,37924666.67
1969-07-01,39016000
1969-08-01,30335500
1969-09-01,41531000
1969-10-01,42649000
1969-11-01,33160750
1969-12-01,45477333.33
1970-01-01,35482250
1970-02-01,48738666.67
1970-03-01,50235666.67
1970-04-01,51898000
1970-05-01,40753750
1970-06-01,56199000
1970-07-01,58086666.67
1970-08-01,45514500
1970-09-01,62762333.33
1970-10-01,49298500
1970-11-01,68038000
1970-12-01,70226000
1971-01-01,54769750
1971-02-01,75119666.67
1971-03-01,77260666.67
1971-04-01,79409333.33
1971-05-01,61731000
1971-06-01,84492333.33
1971-07-01,65493250
1971-08-01,89516333.33
1971-09-01,91759333.33
1971-10-01,71021250
1971-11-01,96821333.33
1971-12-01,98898333.33
1972-01-01,76094250
1972-02-01,103380666.7
1972-03-01,105277333.3
1972-04-01,80839500
1972-05-01,109655333.3
1972-06-01,111520666.7
1972-07-01,85594000
1972-08-01,115924666.7
1972-09-01,88732250
1972-10-01,120057333.3
1972-11-01,121792666.7
1972-12-01,93043750
1973-01-01,125681000
1973-02-01,127267000
1973-03-01,97018000
1973-04-01,130911666.7
1973-05-01,132470666.7
1973-06-01,100923000
1973-07-01,136164666.7
1973-08-01,137840000
1973-09-01,105047500
1973-10-01,141730000
1973-11-01,143448333.3
1973-12-01,109370500
1974-01-01,147792000
1974-02-01,149820666.7
1974-03-01,114430000
1974-04-01,154639333.3
1974-05-01,156689666.7
1974-06-01,119592750
1974-07-01,161567333.3
1974-08-01,123356000
1974-09-01,166759000
1974-10-01,169237333.3
1974-11-01,129776750
1974-12-01,176364666.7
1975-01-01,180005666.7
1975-02-01,183901666.7
1975-03-01,142139500
1975-04-01,194008000
1975-05-01,150077750
1975-06-01,204445333.3
1975-07-01,208558666.7
1975-08-01,160358000
1975-09-01,217681000
1975-10-01,221366666.7
1975-11-01,169491250
1975-12-01,229142333.3
1976-01-01,174847250
1976-02-01,235980000
1976-03-01,238819666.7
1976-04-01,241696333.3
1976-05-01,184213500
1976-06-01,248614000
1976-07-01,189465750
1976-08-01,255639000
1976-09-01,258736333.3
1976-10-01,197142500
1976-11-01,265904666.7
1976-12-01,268804666.7
1977-01-01,204433000
1977-02-01,275390666.7
1977-03-01,278088666.7
1977-04-01,211241750
1977-05-01,284291333.3
1977-06-01,286900333.3
1977-07-01,217761000
1977-08-01,292960333.3
1977-09-01,295556000
1977-10-01,224241500
1977-11-01,301568333.3
1977-12-01,228683750
1978-01-01,307417666.7
1978-02-01,310002333.3
1978-03-01,312492333.3
1978-04-01,236693000
1978-05-01,317817333.3
1978-06-01,320038333.3
1978-07-01,242359750
1978-08-01,325545333.3
1978-09-01,246412250
1978-10-01,330784000
1978-11-01,333019666.7
1978-12-01,252061000
1979-01-01,338469333.3
1979-02-01,340884666.7
1979-03-01,258033000
1979-04-01,346452666.7
1979-05-01,348701000
1979-06-01,263775250
1979-07-01,354055666.7
1979-08-01,356526000
1979-09-01,269817750
1979-10-01,362267666.7
1979-11-01,364881333.3
1979-12-01,276360000
1980-01-01,371272666.7
1980-02-01,374142666.7
1980-03-01,283496500
1980-04-01,381161666.7
1980-05-01,289468750
1980-06-01,389808000
1980-07-01,393661000
1980-08-01,299055000
1980-09-01,402432000
1980-10-01,405949666.7
1980-11-01,307740250
1980-12-01,413426000
1981-01-01,313086500
1981-02-01,420437666.7
1981-03-01,423326333.3
1981-04-01,426177333.3
1981-05-01,322527000
1981-06-01,432948000
1981-07-01,435830000
1981-08-01,329841250
1981-09-01,442834333.3
1981-10-01,335267250
1981-11-01,450378666.7
1981-12-01,453906666.7
1982-01-01,343966250
1982-02-01,462156666.7
1982-03-01,465824333.3
1982-04-01,469737000
1982-05-01,356302500
1982-06-01,479164333.3
1982-07-01,363465250
1982-08-01,488903666.7
1982-09-01,493388666.7
1982-10-01,374683750
1982-11-01,504142000
1982-12-01,508505666.7
1983-01-01,385275500
1983-02-01,517554000
1983-03-01,521311666.7
1983-04-01,394744250
1983-05-01,529920000
1983-06-01,533344666.7
1983-07-01,403185750
1983-08-01,540686666.7
1983-09-01,543677666.7
1983-10-01,410655250
1983-11-01,550340666.7
1983-12-01,415461500
1984-01-01,556485000
1984-02-01,558934000
1984-03-01,421620750
1984-04-01,564582333.3
1984-05-01,566952333.3
1984-06-01,427570000
1984-07-01,572439000
1984-08-01,574842666.7
1984-09-01,433573000
1984-10-01,580644333.3
1984-11-01,583230666.7
1984-12-01,439974500
1985-01-01,589171333.3
1985-02-01,591792000
1985-03-01,446406750
1985-04-01,597791000
1985-05-01,600344666.7
1985-06-01,452800500
1985-07-01,606254333.3
1985-08-01,457264500
1985-09-01,612261333.3
1985-10-01,614884666.7
1985-11-01,463776750
1985-12-01,620979333.3
1986-01-01,623553333.3
1986-02-01,626134333.3
1986-03-01,472200250
1986-04-01,632203666.7
1986-05-01,476824000
1986-06-01,638394333.3
1986-07-01,640982000
1986-08-01,483410250
1986-09-01,647237666.7
1986-10-01,649936000
1986-11-01,490079000
1986-12-01,655989000
1987-01-01,494484750
1987-02-01,661777000
1987-03-01,664197333.3
1987-04-01,666584666.7
1987-05-01,502268000
1987-06-01,671976333.3
1987-07-01,674180666.7
1987-08-01,507842000
1987-09-01,679343333.3
1987-10-01,511528250
1987-11-01,684129333.3
1987-12-01,686241666.7
1988-01-01,516892250
1988-02-01,691318333.3
1988-03-01,693418666.7
1988-04-01,522144000
1988-05-01,698262666.7
1988-06-01,700306666.7
1988-07-01,527302750
1988-08-01,705154000
1988-09-01,707224666.7
1988-10-01,532427750
1988-11-01,711908666.7
1988-12-01,535986500
1989-01-01,716711333.3
1989-02-01,718838333.3
1989-03-01,720977000
1989-04-01,542827000
1989-05-01,725864333.3
1989-06-01,727989000
1989-07-01,548182750
1989-08-01,733108000
1989-09-01,552042250
1989-10-01,738338000
1989-11-01,740624666.7
1989-12-01,557757000
1990-01-01,746033333.3
1990-02-01,748384000
1990-03-01,563646500
1990-04-01,753928000
1990-05-01,756323333.3
1990-06-01,569670750
1990-07-01,762027666.7
1990-08-01,764553333.3
1990-09-01,576014500
1990-10-01,770773333.3
1990-11-01,773686666.7
1990-12-01,583245750
1991-01-01,780757666.7
1991-02-01,784032000
1991-03-01,591458500
1991-04-01,792091333.3
1991-05-01,795565666.7
1991-06-01,600077250
