DATE,필라델피아 연준 제조업지수 Actual,Consensus,Previous,Revised
2019-06-20,0.3,11,16.6,
2019-05-16,16.6,9,8.5,
2019-04-18,8.5,10.4,13.7,
2019-03-21,13.7,4.5,-4.1,
2019-02-21,-4.1,14,17,
2019-01-17,17,10,9.4,9.1
2018-12-20,9.4,15,12.9,
2018-11-15,12.9,20,22.2,
2018-10-18,22.2,20,22.9,
2018-09-20,22.9,17,11.9,
2018-08-16,11.9,22,25.7,
2018-07-19,25.7,22,19.9,
2018-06-21,19.9,29,34.4,
2018-05-17,34.4,21,23.2,
2018-04-19,23.2,20.1,22.3,
2018-03-15,22.3,23,25.8,
2018-02-15,25.8,21.1,22.2,
2018-01-18,22.2,25,26.2,27.9
2017-12-21,26.2,21.5,22.7,
2017-11-16,22.7,25,27.9,
2017-10-19,27.9,22,23.8,
2017-09-21,23.8,17.2,18.9,
2017-08-17,18.9,18.5,19.5,
2017-07-20,19.5,24,27.6,
2017-06-15,27.6,24,38.8,
2017-05-18,38.8,19.5,22,
2017-04-20,22,25,32.8,
2017-03-16,32.8,30,43.3,
2017-02-16,43.3,18,23.6,
2017-01-19,23.6,15.8,21.5,
2016-12-15,21.5,9,7.6,
2016-11-17,7.6,8,9.7,
2016-10-20,9.7,5.3,12.8,
2016-09-15,12.8,1,2,
2016-08-18,2,2,-2.9,
2016-07-21,-2.9,5,4.7,
2016-06-16,4.7,0,-1.8,
2016-05-19,-1.8,3.5,-1.6,
2016-04-21,-1.6,8.9,12.4,
2016-03-17,12.4,-1.7,-2.8,
2016-02-18,-2.8,-3,-3.5,
2016-01-21,-3.5,-5,-5.9,
2015-12-17,-5.9,1.5,1.9,
2015-11-19,1.9,-1,-4.5,
2015-10-15,-4.5,-1,-6,
2015-09-17,-6,6,8.3,
2015-08-20,8.3,7,5.7,
2015-07-16,5.7,12,15.2,
2015-06-18,15.2,8,6.7,
2015-05-21,6.7,8,7.5,
2015-04-16,7.5,6,5,
2015-03-19,5,7.1,5.2,
2015-02-19,5.2,9.3,6.3,
2015-01-15,6.3,19.9,24.5,
2014-12-18,24.5,27,40.8,
2014-11-20,40.8,18.3,20.7,
2014-10-16,20.7,20,22.5,
2014-09-18,22.5,23,28,
2014-08-21,28,19.2,23.9,
2014-07-17,23.9,16,17.8,
2014-06-19,17.8,14,15.4,
2014-05-15,15.4,14,16.6,
2014-04-17,16.6,10,9,
2014-03-20,9,4,-6.3,
2014-02-20,-6.3,8,9.4,
2014-01-16,9.4,8.6,7,
2013-12-19,7,10,6.5,
2013-11-21,6.5,15,19.8,
2013-10-17,19.8,15,22.3,
2013-09-19,22.3,10,9.3,
2013-08-15,9.3,15,19.8,
2013-07-18,19.8,7.8,12.5,
2013-06-20,12.5,-0.2,-5.2,
2013-05-16,-5.2,2.4,1.3,
2013-04-18,1.3,3,2,
2013-03-21,2,-2,-12.5,
2013-02-21,-12.5,1,-5.8,
2013-01-17,-5.8,7.1,8.1,
2012-12-20,8.1,-3,-10.7,
2012-11-15,-10.7,2,5.7,
2012-10-18,5.7,1,-1.9,
2012-09-20,-1.9,-4,-7.1,
2012-08-16,-7.1,-5,-12.9,
2012-07-19,-12.9,-8,-16.6,
2012-06-21,-16.6,0,-5.8,
2012-05-17,-5.8,10,8.5,
2012-04-19,8.5,12,12.5,
2012-03-15,12.5,12,10.2,
2012-02-16,10.2,8.5,7.3,
2012-01-19,7.3,11.2,10.3,
2011-12-15,10.3,5.1,3.6,
2011-11-17,3.6,10,8.7,
2011-10-20,8.7,-9,-17.5,
2011-09-15,-17.5,-16,-30.7,
2011-08-18,-30.7,4.2,3.2,
2011-07-21,3.2,4.8,-7.7,
2011-06-16,-7.7,7,3.9,
2011-05-19,3.9,20,18.5,
2011-04-21,18.5,36.5,43.4,
2011-03-17,43.4,29,35.9,
2011-02-17,35.9,21.4,19.3,
2011-01-20,19.3,22.3,20.8,24.3
2010-12-16,20.8,14.1,22.5,
2010-11-18,22.5,5,1,
2010-10-21,1,0.5,-0.7,
2010-09-16,-0.7,0.5,-7.7,
2010-08-19,-7.7,7.5,5.1,
2010-07-15,5.1,11.4,8,
2010-06-17,8,21.3,21.4,
2010-05-20,21.4,21.5,20.2,
2010-04-15,20.2,20,18.9,
2010-03-18,18.9,18,17.6,
2010-02-18,17.6,17.2,15.2,
2010-01-21,15.2,18.2,22.5,20.4
2009-12-17,22.5,16,16.7,
2009-11-19,16.7,12.3,11.5,
2009-10-15,11.5,12.2,14.1,
