,feature,accuracy,precision,recall
112,"['Volume', '상품수지', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
173,"['Volume', 'UNRATE', 'HSN1F']",0.815789474,1,0.125
187,"['Volume', 'UNRATE', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
357,"['Volume', 'LREMTTTTUSM156S_x', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
388,"['Volume', 'LREMTTTTUSM156S_y', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
447,"['Volume', 'TWEXBMTH', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
475,"['Volume', 'UNRATENSA', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
528,"['Volume', 'INDPRO', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
533,"['Volume', 'INDPRO', '한국실업률']",0.815789474,1,0.125
553,"['Volume', 'PPIACO', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
636,"['Volume', 'HSN1F', '수출물가지수']",0.815789474,1,0.125
643,"['Volume', 'HSN1F', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
682,"['Volume', 'USSLIND', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
717,"['Volume', 'UMCSENT', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
762,"['Volume', '수출물가지수', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
775,"['Volume', 'EXJPUS', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
817,"['Volume', '정책금리', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
836,"['Volume', 'GACDFSA066MSFRBPHI', 'LRUNTTTTKRM156S']",0.842105263,1,0.25
838,"['Volume', 'GACDFSA066MSFRBPHI', 'IR3TCD01KRM156N']",0.815789474,1,0.125
932,"['ISM_PMI_Actual', '상품수지', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
1007,"['ISM_PMI_Actual', 'UNRATE', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
1053,"['ISM_PMI_Actual', 'NEWORDER', 'LREMTTTTUSM156S_x']",0.815789474,1,0.125
1054,"['ISM_PMI_Actual', 'NEWORDER', 'LREMTTTTUSM156S_y']",0.815789474,1,0.125
