DATE,CSUSHPINSA
1987-01-01,63.754
1987-02-01,64.154
1987-03-01,64.49
1987-04-01,64.995
1987-05-01,65.57
1987-06-01,66.238
1987-07-01,66.802
1987-08-01,67.282
1987-09-01,67.637
1987-10-01,67.916
1987-11-01,68.107
1987-12-01,68.358
1988-01-01,68.596
1988-02-01,68.929
1988-03-01,69.336
1988-04-01,69.799
1988-05-01,70.418
1988-06-01,71.077
1988-07-01,71.694
1988-08-01,72.194
1988-09-01,72.583
1988-10-01,72.832
1988-11-01,73.075
1988-12-01,73.288
1989-01-01,73.624
1989-02-01,73.974
1989-03-01,74.416
1989-04-01,74.874
1989-05-01,75.303
1989-06-01,75.703
1989-07-01,76.049
1989-08-01,76.279
1989-09-01,76.427
1989-10-01,76.493
1989-11-01,76.524
1989-12-01,76.499
1990-01-01,76.527
1990-02-01,76.587
1990-03-01,76.79
1990-04-01,77.041
1990-05-01,77.299
1990-06-01,77.504
1990-07-01,77.556
1990-08-01,77.473
1990-09-01,77.222
1990-10-01,76.906
1990-11-01,76.374
1990-12-01,75.965
1991-01-01,75.527
1991-02-01,75.248
1991-03-01,75.14
1991-04-01,75.312
1991-05-01,75.769
1991-06-01,76.252
1991-07-01,76.509
1991-08-01,76.586
1991-09-01,76.57
1991-10-01,76.285
1991-11-01,76.033
1991-12-01,75.832
1992-01-01,75.695
1992-02-01,75.651
1992-03-01,75.81
1992-04-01,76.077
1992-05-01,76.396
1992-06-01,76.601
1992-07-01,76.71
1992-08-01,76.731
1992-09-01,76.629
1992-10-01,76.6
1992-11-01,76.581
1992-12-01,76.467
1993-01-01,76.398
1993-02-01,76.33
1993-03-01,76.385
1993-04-01,76.662
1993-05-01,77.031
1993-06-01,77.517
1993-07-01,77.885
1993-08-01,78.131
1993-09-01,78.2
1993-10-01,78.177
1993-11-01,78.176
1993-12-01,78.12
1994-01-01,78.204
1994-02-01,78.21
1994-03-01,78.355
1994-04-01,78.709
1994-05-01,79.217
1994-06-01,79.71
1994-07-01,80.072
1994-08-01,80.325
1994-09-01,80.347
1994-10-01,80.31
1994-11-01,80.175
1994-12-01,80.085
1995-01-01,80.036
1995-02-01,80.005
1995-03-01,80.094
1995-04-01,80.386
1995-05-01,80.708
1995-06-01,81.085
1995-07-01,81.427
1995-08-01,81.67
1995-09-01,81.755
1995-10-01,81.745
1995-11-01,81.65
1995-12-01,81.533
1996-01-01,81.448
1996-02-01,81.421
1996-03-01,81.687
1996-04-01,82.145
1996-05-01,82.622
1996-06-01,83.071
1996-07-01,83.444
1996-08-01,83.672
1996-09-01,83.728
1996-10-01,83.654
1996-11-01,83.581
1996-12-01,83.515
1997-01-01,83.554
1997-02-01,83.619
1997-03-01,83.935
1997-04-01,84.349
1997-05-01,84.895
1997-06-01,85.429
1997-07-01,85.871
1997-08-01,86.18
1997-09-01,86.34
1997-10-01,86.437
1997-11-01,86.66
1997-12-01,86.877
1998-01-01,87.193
1998-02-01,87.404
1998-03-01,87.907
1998-04-01,88.587
1998-05-01,89.403
1998-06-01,90.223
1998-07-01,90.887
1998-08-01,91.434
1998-09-01,91.779
1998-10-01,92.026
1998-11-01,92.223
1998-12-01,92.47
1999-01-01,92.74
1999-02-01,93.007
1999-03-01,93.638
1999-04-01,94.464
1999-05-01,95.39
1999-06-01,96.393
1999-07-01,97.221
1999-08-01,97.926
1999-09-01,98.43
1999-10-01,98.865
1999-11-01,99.184
1999-12-01,99.578
2000-01-01,100
2000-02-01,100.57
2000-03-01,101.466
2000-04-01,102.541
2000-05-01,103.703
2000-06-01,104.857
2000-07-01,105.723
2000-08-01,106.522
2000-09-01,107.136
2000-10-01,107.729
2000-11-01,108.291
2000-12-01,108.792
2001-01-01,109.216
2001-02-01,109.644
2001-03-01,110.396
2001-04-01,111.249
2001-05-01,112.204
2001-06-01,113.274
2001-07-01,114.23
2001-08-01,114.991
2001-09-01,115.467
2001-10-01,115.683
2001-11-01,115.84
2001-12-01,116.057
2002-01-01,116.439
2002-02-01,116.919
2002-03-01,117.933
2002-04-01,119.213
2002-05-01,120.792
2002-06-01,122.336
2002-07-01,123.688
2002-08-01,124.73
2002-09-01,125.494
2002-10-01,126.136
2002-11-01,126.642
2002-12-01,127.15
2003-01-01,127.652
2003-02-01,128.327
2003-03-01,129.31
2003-04-01,130.491
2003-05-01,131.842
2003-06-01,133.226
2003-07-01,134.647
2003-08-01,135.965
2003-09-01,137.077
2003-10-01,137.979
2003-11-01,138.77
2003-12-01,139.633
2004-01-01,140.711
2004-02-01,142.035
2004-03-01,144.086
2004-04-01,146.183
2004-05-01,148.336
2004-06-01,150.519
2004-07-01,152.338
2004-08-01,153.814
2004-09-01,155.109
2004-10-01,156.301
2004-11-01,157.499
2004-12-01,158.675
2005-01-01,160.137
2005-02-01,161.932
2005-03-01,164.583
2005-04-01,167.002
2005-05-01,169.544
2005-06-01,172.015
2005-07-01,174.097
2005-08-01,175.923
2005-09-01,177.612
2005-10-01,178.755
2005-11-01,179.679
2005-12-01,180.113
2006-01-01,180.833
2006-02-01,181.505
2006-03-01,182.754
2006-04-01,183.652
2006-05-01,184.384
2006-06-01,184.553
2006-07-01,184.616
2006-08-01,184.414
2006-09-01,184.208
2006-10-01,184.063
2006-11-01,183.64
2006-12-01,183.237
2007-01-01,182.724
2007-02-01,182.476
2007-03-01,182.198
2007-04-01,182.137
2007-05-01,181.892
2007-06-01,181.548
2007-07-01,181.003
2007-08-01,180.244
2007-09-01,179.132
2007-10-01,177.542
2007-11-01,175.174
2007-12-01,173.348
2008-01-01,171.084
2008-02-01,169.196
2008-03-01,167.909
2008-04-01,167.329
2008-05-01,167.028
2008-06-01,166.547
2008-07-01,165.726
2008-08-01,164.291
2008-09-01,161.924
2008-10-01,159.171
2008-11-01,156.079
2008-12-01,152.553
2009-01-01,149.371
2009-02-01,147.627
2009-03-01,146.524
2009-04-01,146.952
2009-05-01,148.178
2009-06-01,149.804
2009-07-01,150.752
2009-08-01,150.67
2009-09-01,149.629
2009-10-01,148.589
2009-11-01,147.947
2009-12-01,146.676
2010-01-01,145.003
2010-02-01,143.056
2010-03-01,143.596
2010-04-01,145.398
2010-05-01,147.031
2010-06-01,147.695
2010-07-01,147.552
2010-08-01,146.413
2010-09-01,144.597
2010-10-01,143.126
2010-11-01,141.823
2010-12-01,140.636
2011-01-01,139.048
2011-02-01,137.744
2011-03-01,137.792
2011-04-01,139.154
2011-05-01,140.682
2011-06-01,141.934
2011-07-01,142.33
2011-08-01,141.773
2011-09-01,140.156
2011-10-01,138.398
2011-11-01,136.655
2011-12-01,135.158
2012-01-01,134.164
2012-02-01,133.999
2012-03-01,135.872
2012-04-01,138.479
2012-05-01,141.055
2012-06-01,143.173
2012-07-01,144.283
2012-08-01,144.706
2012-09-01,144.361
2012-10-01,143.974
2012-11-01,143.969
2012-12-01,143.875
2013-01-01,144.314
2013-02-01,145.158
2013-03-01,147.959
2013-04-01,150.974
2013-05-01,153.871
2013-06-01,156.443
2013-07-01,158.306
2013-08-01,159.414
2013-09-01,159.69
2013-10-01,159.567
2013-11-01,159.37
2013-12-01,159.291
2014-01-01,159.39
2014-02-01,159.9
2014-03-01,161.218
2014-04-01,162.995
2014-05-01,164.707
2014-06-01,166.232
2014-07-01,167.152
2014-08-01,167.467
2014-09-01,167.261
2014-10-01,166.932
2014-11-01,166.684
2014-12-01,166.494
2015-01-01,166.293
2015-02-01,166.682
2015-03-01,168.136
2015-04-01,170.006
2015-05-01,171.882
2015-06-01,173.483
2015-07-01,174.53
2015-08-01,174.978
2015-09-01,175.094
2015-10-01,175.107
2015-11-01,175.209
2015-12-01,175.185
2016-01-01,175.096
2016-02-01,175.331
2016-03-01,176.646
2016-04-01,178.537
2016-05-01,180.392
2016-06-01,181.981
2016-07-01,183.102
2016-08-01,183.753
2016-09-01,184.052
2016-10-01,184.134
2016-11-01,184.355
2016-12-01,184.532
2017-01-01,184.782
2017-02-01,185.147
2017-03-01,186.654
2017-04-01,188.667
2017-05-01,190.675
2017-06-01,192.418
2017-07-01,193.681
2017-08-01,194.529
2017-09-01,195.001
2017-10-01,195.264
2017-11-01,195.627
2017-12-01,196.036
2018-01-01,196.324
2018-02-01,197.125
2018-03-01,198.798
2018-04-01,200.847
2018-05-01,202.704
2018-06-01,204.314
2018-07-01,205.233
2018-08-01,205.605
2018-09-01,205.644
2018-10-01,205.628
2018-11-01,205.38
2018-12-01,204.971
2019-01-01,204.487
2019-02-01,204.748
2019-03-01,206.056
2019-04-01,207.97
