DATE,XTEXVA01CNM667S
1992-01-01,5585585803.96511
1992-02-01,6449254168.15102
1992-03-01,6306079134.06637
1992-04-01,6548042727.52892
1992-05-01,6728813146.29009
1992-06-01,7285079414.67638
1992-07-01,6994966305.387031
1992-08-01,7534883066.1891
1992-09-01,6913657938.20582
1992-10-01,7500366710.99837
1992-11-01,7836844003.833119
1992-12-01,7505448519.27713
1993-01-01,4736249008.197081
1993-02-01,7541370439.07584
1993-03-01,7106436841.446891
1993-04-01,7096154667.98886
1993-05-01,7372261015.82012
1993-06-01,6668673089.68951
1993-07-01,7588813547.01529
1993-08-01,7512238958.20601
1993-09-01,8627337418.681068
1993-10-01,8059241042.90081
1993-11-01,8205838880.98671
1993-12-01,8998430603.79258
1994-01-01,6711521244.04791
1994-02-01,7535902482.72456
1994-03-01,8620502642.74061
1994-04-01,9234571446.20962
1994-05-01,9467086633.44202
1994-06-01,10363828996.186401
1994-07-01,10433671249.3816
1994-08-01,9941754512.55969
1994-09-01,10230149921.3599
1994-10-01,10455181932.9965
1994-11-01,11813609760.7239
1994-12-01,12740059622.5153
1995-01-01,12153758757.8431
1995-02-01,11875407512.093601
1995-03-01,13059560759.0325
1995-04-01,12525981697.0995
1995-05-01,12627902538.9655
1995-06-01,13278664294.6737
1995-07-01,12353043005.1446
1995-08-01,12021133232.8248
1995-09-01,12235142573.7204
1995-10-01,11972934029.7592
1995-11-01,11497395064.9655
1995-12-01,12514043289.692999
1996-01-01,11705240066.7822
1996-02-01,11677916298.371899
1996-03-01,10953677540.7758
1996-04-01,11544049333.7295
1996-05-01,12026092054.6917
1996-06-01,12083635553.7426
1996-07-01,12094882820.0667
1996-08-01,13511966555.129799
1996-09-01,13037735481.6619
1996-10-01,14238911450.9865
1996-11-01,13073032910.01
1996-12-01,13754522743.7422
1997-01-01,14544440245.0063
1997-02-01,13255802147.981
1997-03-01,14747875111.0457
1997-04-01,14857107895.9295
1997-05-01,15282541940.242498
1997-06-01,15122764274.711899
1997-07-01,15130767116.4982
1997-08-01,15464117380.231
1997-09-01,15793135525.6371
1997-10-01,16662554137.4898
1997-11-01,16345716930.211498
1997-12-01,14896238499.3303
1998-01-01,15933175171.028599
1998-02-01,16354398845.728199
1998-03-01,15784276453.315
1998-04-01,15919026007.952
1998-05-01,15315011552.2924
1998-06-01,15236379237.4107
1998-07-01,15467828914.7679
1998-08-01,14947198143.8184
1998-09-01,14594253953.847
1998-10-01,14130040495.3548
1998-11-01,14554695169.537601
1998-12-01,16115285407.6304
1999-01-01,14170921505.1703
1999-02-01,14478959346.5563
1999-03-01,14842542700.8896
1999-04-01,14640475718.5972
1999-05-01,16085802758.3996
1999-06-01,15058316273.2663
1999-07-01,16733783678.4274
1999-08-01,17254785663.9324
1999-09-01,17348418670.575
1999-10-01,17859315502.1043
1999-11-01,18498607172.972298
1999-12-01,17292133656.010597
2000-01-01,20560712788.725
2000-02-01,19026956232.0278
2000-03-01,19974943061.642002
2000-04-01,20677948824.8941
2000-05-01,20443295414.1729
2000-06-01,21788892466.759
2000-07-01,21036404271.8756
2000-08-01,21703272227.523003
2000-09-01,21586303755.2469
2000-10-01,22140248841.8903
2000-11-01,21117484291.5108
2000-12-01,20119458244.6857
2001-01-01,19814837519.6142
2001-02-01,24426226458.305
2001-03-01,23158209781.33
2001-04-01,22383366421.3675
2001-05-01,21375023223.540703
2001-06-01,22014752286.5839
2001-07-01,22074557458.2165
2001-08-01,22062408098.7415
2001-09-01,22708831628.2935
2001-10-01,22029593122.201
2001-11-01,22841055571.3518
2001-12-01,22790001077.9281
2002-01-01,24841991206.045002
2002-02-01,24376670405.2253
2002-03-01,24285545888.003403
2002-04-01,25749947815.2858
2002-05-01,25394226379.4065
2002-06-01,26390270959.238598
2002-07-01,27717849403.3495
2002-08-01,28182978232.706303
2002-09-01,29626716306.9763
2002-10-01,29059845638.0515
2002-11-01,29976507385.5164
2002-12-01,29269608203.334
2003-01-01,33466681845.6621
2003-02-01,31408073803.9391
2003-03-01,32826752033.448
2003-04-01,34350930701.321404
2003-05-01,35377335943.6598
2003-06-01,34423075863.36
2003-07-01,36248602886.725204
2003-08-01,36618784261.4714
2003-09-01,38503018150.6189
2003-10-01,39786796395.9011
2003-11-01,40457180006.658394
2003-12-01,43238838843.3751
2004-01-01,40373758663.2267
2004-02-01,44445285112.255295
2004-03-01,45568308292.4862
2004-04-01,45605334002.9628
2004-05-01,47640817373.9712
2004-06-01,49394499744.3126
2004-07-01,49262215843.416794
2004-08-01,49568197626.6722
2004-09-01,51484535098.4344
2004-10-01,52708572325.16061
2004-11-01,57062448964.2452
2004-12-01,57371582544.4063
2005-01-01,57477237311.6877
2005-02-01,57421317855.6583
2005-03-01,60773215351.785194
2005-04-01,61239076514.2527
2005-05-01,61315347240.650505
2005-06-01,64191786246.6679
2005-07-01,64252756526.8434
2005-08-01,64581274742.2286
2005-09-01,64861488144.1304
2005-10-01,68341259583.3598
2005-11-01,67859690848.2228
2005-12-01,69324195097.6185
2006-01-01,71367704553.108
2006-02-01,70165482609.01869
2006-03-01,79061133650.32811
2006-04-01,77517626105.1665
2006-05-01,75598943001.9952
2006-06-01,79210235588.1426
2006-07-01,78451180635.046
2006-08-01,84985334276.19751
2006-09-01,85705756868.8493
2006-10-01,87276319114.0168
2006-11-01,90497637078.31561
2006-12-01,88134279220.009
2007-01-01,92019222970.188
2007-02-01,106695165329.035
2007-03-01,87541085946.8779
2007-04-01,97710185446.3733
2007-05-01,96532461210.3539
2007-06-01,102465252187.61
2007-07-01,102679685838.86
2007-08-01,103682100288.484
2007-09-01,106376984904.20201
2007-10-01,105285046577.515
2007-11-01,112082944932.597
2007-12-01,106721988527.757
2008-01-01,114815255468.97499
2008-02-01,115267980459.778
2008-03-01,116875826067.896
2008-04-01,118756500597.422
2008-05-01,124182465435.88
2008-06-01,120576875192.615
2008-07-01,126947494634.226
2008-08-01,129467442716.88399
2008-09-01,125293542649.655
2008-10-01,125284050456.394
2008-11-01,113661366220.89099
2008-12-01,99392451279.5866
2009-01-01,94647003350.1451
2009-02-01,88043275301.704
2009-03-01,95470804565.208
2009-04-01,92723148569.01799
2009-05-01,91693975471.767
2009-06-01,93764532100.3
2009-07-01,97559948313.8056
2009-08-01,99894473206.5153
2009-09-01,106741517106.123
2009-10-01,109707467035.148
2009-11-01,110183811937.127
2009-12-01,116694876973.333
2010-01-01,114532692216.792
2010-02-01,130577589536.011
2010-03-01,116420727347.696
2010-04-01,120928114454.849
2010-05-01,133903284956.829
2010-06-01,134098606540.02798
2010-07-01,136145825713.976
2010-08-01,132906800211.713
2010-09-01,134724209351.03699
2010-10-01,137858470490.004
2010-11-01,145401885289.08398
2010-12-01,138352640094.51898
2011-01-01,156229760579.76102
2011-02-01,136813855205.81099
2011-03-01,157176417029.048
2011-04-01,158813556660.069
2011-05-01,155540645118.966
2011-06-01,157480945017.223
2011-07-01,166778401050.713
2011-08-01,163029873828.068
2011-09-01,158161974235.55103
2011-10-01,160119383006.101
2011-11-01,164664369425.632
2011-12-01,158660138566.798
2012-01-01,151758439256.468
2012-02-01,163537162759.259
2012-03-01,173575335126.55
2012-04-01,166332785515.313
2012-05-01,175919955182.38098
2012-06-01,178187614653.142
2012-07-01,167880455352.7
2012-08-01,167666387201.63602
2012-09-01,179212909411.986
2012-10-01,173075981391.234
2012-11-01,168340327866.884
2012-12-01,181386504208.729
2013-01-01,183443463432.72
2013-02-01,202284574476.122
2013-03-01,196384749367.145
2013-04-01,188090658307.23
2013-05-01,177569702034.098
2013-06-01,176677078797.757
2013-07-01,175083434163.50702
2013-08-01,181615393250.278
2013-09-01,175972412864.94098
2013-10-01,181444724752.129
2013-11-01,190211382805.647
2013-12-01,183729892797.998
2014-01-01,200001394675.101
2014-02-01,169580571947.157
2014-03-01,189338395892.247
2014-04-01,190947467174.48502
2014-05-01,192443753895.821
2014-06-01,186606702950.08502
2014-07-01,200007579374.75
2014-08-01,199841121286.409
2014-09-01,198198658597.362
2014-10-01,200226257618.572
2014-11-01,199891697010.831
2014-12-01,195329988394.553
2015-01-01,196106388048.48
2015-02-01,254501923150.008
2015-03-01,162557847774.772
2015-04-01,179835694087.01898
2015-05-01,189744355853.327
2015-06-01,188080876987.7
2015-07-01,183657064697.58502
2015-08-01,188757064316.64902
2015-09-01,190555319613.487
2015-10-01,188723689137.321
2015-11-01,182460908577.59402
2015-12-01,190418432403.63998
2016-01-01,177208133461.371
2016-02-01,189003374434.367
2016-03-01,177366770508.69302
2016-04-01,178175855933.72998
2016-05-01,177899228986.396
2016-06-01,175193111510.444
2016-07-01,177682931888.431
2016-08-01,178448753179.436
2016-09-01,171857339867.256
