DATE,≈Î»≠∑Æ
2004-10-01,945022012
2004-11-01,951565432.5
2004-12-01,954722520.2
2005-01-01,951377446.1
2005-02-01,970720008.6
2005-03-01,970629099.9
2005-04-01,987882629.7
2005-05-01,987197672
2005-06-01,999795392.5
2005-07-01,1006793748
2005-08-01,1004053999
2005-09-01,1004087921
2005-10-01,1003063211
2005-11-01,1014142376
2005-12-01,1021448644
2006-01-01,1024480166
2006-02-01,1035663786
2006-03-01,1040062073
2006-04-01,1049856284
2006-05-01,1064381371
2006-06-01,1082235006
2006-07-01,1076369591
2006-08-01,1086334640
2006-09-01,1112597103
2006-10-01,1111457592
2006-11-01,1128558848
2006-12-01,1149262113
2007-01-01,1143372676
2007-02-01,1150628027
2007-03-01,1164050709
2007-04-01,1161263990
2007-05-01,1176274832
2007-06-01,1204632914
2007-07-01,1202371656
2007-08-01,1208678237
2007-09-01,1227055339
2007-10-01,1244218163
2007-11-01,1260623429
2007-12-01,1273611866
2008-01-01,1295781081
2008-02-01,1315172239
2008-03-01,1316505081
2008-04-01,1350862333
2008-05-01,1362825597
2008-06-01,1368551679
2008-07-01,1375993555
2008-08-01,1394030350
2008-09-01,1392431858
2008-10-01,1411370421
2008-11-01,1427905326
2008-12-01,1425887495
2009-01-01,1445387457
2009-02-01,1470463524
2009-03-01,1467314945
2009-04-01,1481967526
2009-05-01,1498549133
2009-06-01,1509702238
2009-07-01,1506976555
2009-08-01,1526511905
2009-09-01,1541191224
2009-10-01,1554701381
2009-11-01,1564351189
2009-12-01,1566849999
2010-01-01,1589487899
2010-02-01,1596976382
2010-03-01,1609271764
2010-04-01,1620071796
2010-05-01,1632746443
2010-06-01,1645713710
2010-07-01,1644278682
2010-08-01,1647880784
2010-09-01,1652907978
2010-10-01,1674134397
2010-11-01,1678849949
2010-12-01,1660530025
2011-01-01,1669218956
2011-02-01,1673697095
2011-03-01,1675788625
2011-04-01,1689262409
2011-05-01,1684435619
2011-06-01,1693131719
2011-07-01,1713183321
2011-08-01,1712196428
2011-09-01,1727997253
2011-10-01,1742068987
2011-11-01,1750933750
2011-12-01,1751458357
2012-01-01,1750088003
2012-02-01,1757601024
2012-03-01,1782765463
2012-04-01,1765825919
2012-05-01,1781035185
2012-06-01,1803812380
2012-07-01,1808371016
2012-08-01,1809558788
2012-09-01,1824002756
2012-10-01,1823554670
2012-11-01,1831794401
2012-12-01,1835641598
2013-01-01,1844600654
2013-02-01,1853812979
2013-03-01,1868046474
2013-04-01,1860900766
2013-05-01,1874392145
2013-06-01,1892905609
2013-07-01,1877031896
2013-08-01,1897581683
2013-09-01,1900172314
2013-10-01,1911112641
2013-11-01,1928640536
2013-12-01,1920795017
2014-01-01,1946307188
2014-02-01,1959558014
2014-03-01,1961050423
2014-04-01,1962033671
2014-05-01,1993855001
2014-06-01,2000101969
2014-07-01,2016552118
2014-08-01,2037820891
2014-09-01,2036546547
2014-10-01,2068135989
2014-11-01,2093183987
2014-12-01,2077234034
2015-01-01,2096198307
2015-02-01,2120316489
2015-03-01,2127954386
2015-04-01,2146427358
2015-05-01,2175557437
2015-06-01,2191606139
2015-07-01,2196934650
2015-08-01,2218472523
2015-09-01,2220730139
2015-10-01,2239898716
2015-11-01,2239271919
2015-12-01,2247375043
2016-01-01,2271577071
2016-02-01,2285706407
2016-03-01,2296468382
2016-04-01,2295348038
2016-05-01,2317399522
2016-06-01,2337560940
2016-07-01,2363007374
2016-08-01,2380861994
2016-09-01,2380204896
2016-10-01,2393177976
2016-11-01,2404426392
2016-12-01,2407459074
2017-01-01,2401547870
2017-02-01,2427078122
2017-03-01,2438307010
2017-04-01,2446383473
2017-05-01,2449939420
2017-06-01,2463832725
2017-07-01,2469631034
2017-08-01,2483578663
2017-09-01,2510203656
2017-10-01,2502994751
2017-11-01,2522962910
2017-12-01,2530353622
2018-01-01,2554843679
2018-02-01,2569313283
2018-03-01,2584208418
2018-04-01,2584177092
2018-05-01,2609834777
2018-06-01,2632341084
2018-07-01,2634789920
2018-08-01,2642505077
2018-09-01,2661729349
2018-10-01,2682252608
2018-11-01,2687142972
2018-12-01,2700362359
2019-01-01,2712849584
2019-02-01,2739656061
2019-03-01,2763165160
