DATE,XTIMVA01KRM667S
1960-01-01,26000839.74
1960-02-01,31714557.67
1960-03-01,27220704.88
1960-04-01,31258583.15
1960-05-01,29237721.87
1960-06-01,30244774.2
1960-07-01,24087728.6
1960-08-01,32637771.2
1960-09-01,27938495.5
1960-10-01,25690199.59
1960-11-01,25944086.28
1960-12-01,29938306.65
1961-01-01,23618117.48
1961-02-01,26433246.18
1961-03-01,27316426
1961-04-01,29024422.52
1961-05-01,32434703.49
1961-06-01,33178452.62
1961-07-01,22884752.02
1961-08-01,23662291.75
1961-09-01,22956400.51
1961-10-01,23809191.16
1961-11-01,24856215.08
1961-12-01,24738930.07
1962-01-01,34385715.51
1962-02-01,30151175.73
1962-03-01,33701605.74
1962-04-01,33303815.88
1962-05-01,30644597.83
1962-06-01,29080123.83
1962-07-01,44645008.9
1962-08-01,36406728.05
1962-09-01,33330680.77
1962-10-01,44010080.26
1962-11-01,40286715.39
1962-12-01,33728848.12
1963-01-01,42757287.57
1963-02-01,39736475.69
1963-03-01,42374589.12
1963-04-01,42128827.31
1963-05-01,52131770.79
1963-06-01,56405817.23
1963-07-01,46712390.18
1963-08-01,52042996.15
1963-09-01,55320789.85
1963-10-01,53426726.86
1963-11-01,49328378.07
1963-12-01,32071165.63
1964-01-01,35929564.26
1964-02-01,28608784.73
1964-03-01,39827453.37
1964-04-01,31871217.84
1964-05-01,28114389.78
1964-06-01,36342143.2
1964-07-01,18856706.68
1964-08-01,30553959.23
1964-09-01,49817331.98
1964-10-01,33079300.51
1964-11-01,40796238.34
1964-12-01,30434698.66
1965-01-01,20464428.55
1965-02-01,29459608.7
1965-03-01,39394653.49
1965-04-01,34683918.17
1965-05-01,35873732.06
1965-06-01,34622034.98
1965-07-01,40433042.25
1965-08-01,44845423.83
1965-09-01,41241074.9
1965-10-01,44573015.65
1965-11-01,37934643.53
1965-12-01,53312153.69
1966-01-01,42492167.22
1966-02-01,55307553.28
1966-03-01,42720708.85
1966-04-01,55346158.98
1966-05-01,52273228.06
1966-06-01,56038591.79
1966-07-01,51498090.53
1966-08-01,57612284.44
1966-09-01,52718396.71
1966-10-01,61979722.91
1966-11-01,52122855.04
1966-12-01,117350997.9
1967-01-01,75457363.41
1967-02-01,72981193
1967-03-01,65539236.21
1967-04-01,78894554.67
1967-05-01,64212688.03
1967-06-01,60184219.7
1967-07-01,82347997.85
1967-08-01,79192969.59
1967-09-01,87822488.92
1967-10-01,102787015.8
1967-11-01,94515603.93
1967-12-01,122574039.5
1968-01-01,113839333.3
1968-02-01,94717834.4
1968-03-01,106069523.8
1968-04-01,106198691.6
1968-05-01,118616841.8
1968-06-01,115080798.3
1968-07-01,108001767.3
1968-08-01,125685404.5
1968-09-01,122821102.2
1968-10-01,117736308.2
1968-11-01,137122508.7
1968-12-01,174931991.1
1969-01-01,130779927.8
1969-02-01,121797015.6
1969-03-01,121633027.9
1969-04-01,136508474.5
1969-05-01,150487293.1
1969-06-01,135540544
1969-07-01,148335513.3
1969-08-01,216864798.8
1969-09-01,168283701.8
1969-10-01,136575254.2
1969-11-01,186444475.4
1969-12-01,161034927
1970-01-01,165143195.9
1970-02-01,146610311.6
1970-03-01,147359522.8
1970-04-01,145044100.4
1970-05-01,147118182.7
1970-06-01,138338646.3
1970-07-01,154937042.9
1970-08-01,161055272.3
1970-09-01,157802518
1970-10-01,202151062.8
