DATE,È¯À²Æò±Õ
2001-10-01,1302.625
2001-11-01,1282.24
2001-12-01,1291.88
2002-01-01,1317.01
2002-02-01,1319.85
2002-03-01,1322.72
2002-04-01,1317.5
2002-05-01,1261.46
2002-06-01,1222.08
2002-07-01,1184.97
2002-08-01,1197.73
2002-09-01,1210.26
2002-10-01,1240.7
2002-11-01,1211.37
2002-12-01,1207.41
2003-01-01,1178.38
2003-02-01,1191.95
2003-03-01,1236.66
2003-04-01,1230.54
2003-05-01,1199.66
2003-06-01,1193.45
2003-07-01,1180.44
2003-08-01,1178.4
2003-09-01,1164.13
2003-10-01,1167.87
2003-11-01,1185.99
2003-12-01,1191.9
2004-01-01,1182.23
2004-02-01,1166.18
2004-03-01,1165.12
2004-04-01,1152.03
2004-05-01,1176.24
2004-06-01,1158.59
2004-07-01,1158.19
2004-08-01,1158.1
2004-09-01,1147.8
2004-10-01,1141.99
2004-11-01,1086.56
2004-12-01,1050.8
2005-01-01,1038.13
2005-02-01,1020.51
2005-03-01,1008.01
2005-04-01,1009.73
2005-05-01,1002.42
2005-06-01,1012.18
2005-07-01,1037.5
2005-08-01,1021.53
2005-09-01,1029.5
2005-10-01,1046.2
2005-11-01,1040.57
2005-12-01,1023.12
2006-01-01,983.76
2006-02-01,969.96
2006-03-01,975.34
2006-04-01,952.92
2006-05-01,941.21
2006-06-01,955.176
2006-07-01,950.56
2006-08-01,961.02
2006-09-01,952.77
2006-10-01,954.17
2006-11-01,935.52
2006-12-01,925.08
2007-01-01,936.9
2007-02-01,937.17
2007-03-01,943.23
2007-04-01,930.95
2007-05-01,927.39
2007-06-01,927.507
2007-07-01,918.45
2007-08-01,934.92
2007-09-01,930.89
2007-10-01,914.81
2007-11-01,918.11
2007-12-01,930.76
2008-01-01,942.72
2008-02-01,944.42
2008-03-01,982.51
2008-04-01,987.24
2008-05-01,1038.21
2008-06-01,1031.07
2008-07-01,1018.18
2008-08-01,1047.11
2008-09-01,1136.64
2008-10-01,1326.85
2008-11-01,1400.81
2008-12-01,1368.8
2009-01-01,1354.68
2009-02-01,1440.19
2009-03-01,1453.35
2009-04-01,1336.28
2009-05-01,1255.62
2009-06-01,1262.28
2009-07-01,1261.96
2009-08-01,1239.69
2009-09-01,1215
2009-10-01,1174.8
2009-11-01,1163.18
2009-12-01,1166.13
2010-01-01,1138.77
2010-02-01,1156.83
2010-03-01,1136.11
2010-04-01,1115.71
2010-05-01,1168.41
2010-06-01,1212.495
2010-07-01,1204.94
2010-08-01,1179.986
2010-09-01,1162.94
2010-10-01,1122.23
2010-11-01,1128.08
2010-12-01,1146.23
2011-01-01,1119.43
2011-02-01,1119.51
2011-03-01,1120.446
2011-04-01,1084.83
2011-05-01,1084.05
2011-06-01,1080.87
2011-07-01,1058.49
2011-08-01,1074.05
2011-09-01,1125.09
2011-10-01,1150.25
2011-11-01,1134.19
2011-12-01,1148.3
2012-01-01,1144.56
2012-02-01,1122.938
2012-03-01,1126.94
2012-04-01,1135.41
2012-05-01,1157.07
2012-06-01,1163.61
2012-07-01,1142.332
2012-08-01,1132.06
2012-09-01,1123.67
2012-10-01,1105.49
2012-11-01,1087.15
2012-12-01,1076.42
2013-01-01,1066.54
2013-02-01,1086.06
2013-03-01,1103.81
2013-04-01,1121.1
2013-05-01,1112.1
2013-06-01,1136.59
2013-07-01,1126.595
2013-08-01,1116.16
2013-09-01,1084.79
2013-10-01,1065.74
2013-11-01,1062.69
2013-12-01,1056.06
2014-01-01,1065.8
2014-02-01,1070.97
2014-03-01,1070.69
2014-04-01,1042.75
2014-05-01,1023.99
2014-06-01,1018.7
2014-07-01,1020.6
2014-08-01,1024.61
2014-09-01,1035.8
2014-10-01,1060.91
2014-11-01,1097.11
2014-12-01,1103.6
2015-01-01,1088.48
2015-02-01,1098.38
2015-03-01,1113.05
2015-04-01,1085.9
2015-05-01,1093.03
2015-06-01,1112.44
2015-07-01,1146.16
2015-08-01,1180.04
2015-09-01,1185.06
2015-10-01,1144.8
2015-11-01,1153.35
2015-12-01,1173.2
2016-01-01,1203.79
2016-02-01,1220.45
2016-03-01,1182.15
2016-04-01,1146.71
2016-05-01,1174.58
2016-06-01,1168.36
2016-07-01,1141.7
2016-08-01,1111.677
2016-09-01,1106.77
2016-10-01,1125.779
2016-11-01,1159.935
2016-12-01,1183.3
2017-01-01,1182.24
2017-02-01,1143.36
2017-03-01,1133.945
2017-04-01,1133.57
2017-05-01,1124.65
2017-06-01,1131.62
2017-07-01,1133.13
2017-08-01,1131.4
2017-09-01,1132.93
2017-10-01,1129.48
2017-11-01,1102.82
2017-12-01,1085.95
2018-01-01,1066.54
2018-02-01,1080.7
2018-03-01,1071.21
2018-04-01,1068.05
2018-05-01,1077.05
2018-06-01,1095.96
2018-07-01,1123.05
2018-08-01,1120.96
2018-09-01,1120.19
2018-10-01,1132.78
2018-11-01,1127.55
2018-12-01,1122.65
2019-01-01,1121.72
2019-02-01,1123.66
2019-03-01,1131.88
2019-04-01,1142.79
2019-05-01,1182.975
