,DATE,Open,High,Low,Close,Adj Close,RMFSL,EXCHUS,È¯À²Æò±Õ,HM3UP,pred,accuracy,precision,recall
87,2016-08-01,2024.709961,2063.090088,1993.0,2034.6500239999998,2034.6500239999998,716.7,6.5259,1174.58,0,0,0.7297297297297297,0.5,0.8
88,2016-09-01,2022.959961,2073.889893,1991.469971,2043.630005,2043.630005,707.6,6.5892,1168.36,0,0,,,
89,2016-10-01,2056.939941,2070.429932,2002.290039,2008.189941,2008.189941,700.1,6.6771,1141.7,0,0,,,
90,2016-11-01,2003.410034,2015.22998,1931.069946,1983.47998,1983.47998,683.6,6.6466,1111.677,0,1,,,
91,2016-12-01,1987.47998,2053.459961,1960.6500239999998,2026.459961,2026.459961,665.0,6.6702,1106.77,1,0,,,
92,2017-01-01,2034.310059,2091.02002,2028.469971,2067.570068,2067.570068,673.1,6.7303,1125.779,0,0,,,
93,2017-02-01,2075.310059,2108.98999,2052.290039,2091.639893,2091.639893,694.2,6.8402,1159.935,0,1,,,
94,2017-03-01,2105.189941,2182.419922,2067.679932,2160.22998,2160.22998,691.7,6.9198,1183.3,1,1,,,
95,2017-04-01,2166.040039,2217.040039,2117.820068,2205.439941,2205.439941,686.9,6.8907,1182.24,0,1,,,
96,2017-05-01,2213.610107,2371.669922,2212.8701170000004,2347.3798829999996,2347.3798829999996,684.1,6.8694,1143.36,1,1,,,
97,2017-06-01,2348.310059,2402.800049,2335.6298829999996,2391.790039,2391.790039,690.0,6.894,1133.945,0,1,,,
98,2017-07-01,2397.659912,2453.169922,2372.830078,2402.709961,2402.709961,697.0,6.8876,1133.57,0,1,,,
99,2017-08-01,2397.1201170000004,2434.469971,2310.199951,2363.189941,2363.189941,692.6,6.8843,1124.65,0,0,,,
100,2017-09-01,2367.449951,2429.1201170000004,2314.310059,2394.469971,2394.469971,690.5,6.8066,1131.62,0,1,,,
101,2017-10-01,2425.6298829999996,2528.320068,2421.100098,2523.429932,2523.429932,692.1,6.7694,1133.13,1,1,,,
102,2017-11-01,2535.969971,2561.6298829999996,2474.280029,2476.3701170000004,2476.3701170000004,698.5,6.667000000000001,1131.4,0,0,,,
103,2017-12-01,2488.919922,2514.610107,2411.47998,2467.48999,2467.48999,700.4,6.569,1132.93,0,0,,,
104,2018-01-01,2474.860107,2607.100098,2465.939941,2566.459961,2566.459961,702.5,6.6254,1129.48,1,0,,,
105,2018-02-01,2578.909912,2583.73999,2346.72998,2427.360107,2427.360107,702.9,6.62,1102.82,0,0,,,
106,2018-03-01,2406.570068,2508.709961,2374.800049,2445.850098,2445.850098,704.4,6.5932,1085.95,1,1,,,
107,2018-04-01,2454.719971,2515.3798829999996,2405.909912,2515.3798829999996,2515.3798829999996,702.8,6.4233,1066.54,0,0,,,
108,2018-05-01,2515.75,2516.570068,2399.580078,2423.01001,2423.01001,711.2,6.3183,1080.7,0,0,,,
109,2018-06-01,2419.6298829999996,2479.560059,2296.389893,2326.1298829999996,2326.1298829999996,715.7,6.3174,1071.21,0,0,,,
110,2018-07-01,2322.22998,2327.590088,2243.899902,2295.26001,2295.26001,726.9,6.2967,1068.05,0,0,,,
111,2018-08-01,2301.169922,2322.8798829999996,2218.090088,2322.8798829999996,2322.8798829999996,744.1,6.3701,1077.05,0,0,,,
112,2018-09-01,2317.929932,2356.6201170000004,2264.899902,2343.070068,2343.070068,752.4,6.4651,1095.96,0,0,,,
113,2018-10-01,2349.639893,2352.110107,1985.949951,2029.689941,2029.689941,760.6,6.7164,1123.05,0,0,,,
114,2018-11-01,2035.109985,2136.73999,2023.430054,2096.860107,2096.860107,768.5,6.8453,1120.96,1,1,,,
115,2018-12-01,2127.780029,2136.639893,2014.280029,2041.040039,2041.040039,779.2,6.8551,1120.19,0,1,,,
116,2019-01-01,2050.550049,2222.8798829999996,1984.530029,2204.850098,2204.850098,792.3,6.9191,1132.78,1,1,,,
117,2019-02-01,2211.929932,2241.76001,2167.360107,2195.439941,2195.439941,804.2,6.9367,1127.55,0,0,,,
118,2019-03-01,2210.969971,2216.02002,2120.929932,2140.669922,2140.669922,813.4,6.8837,1122.65,0,0,,,
119,2019-04-01,2153.310059,2252.050049,2153.310059,2203.590088,2203.590088,851.6,6.7863,1121.72,1,1,,,
120,2019-05-01,2192.939941,2217.030029,2016.25,2041.7399899999998,2041.7399899999998,856.3,6.7367,1123.66,0,0,,,
121,2019-06-01,2031.030029,2141.27002,2029.1700440000002,2130.6201170000004,2130.6201170000004,871.1,6.7119,1131.88,1,1,,,
122,2019-07-01,2147.23999,2147.23999,2052.030029,2066.26001,2066.26001,886.7,6.7161,1142.79,0,1,,,
123,2019-08-01,1915.339966,1924.4899899999998,1909.9200440000002,1916.310059,1916.310059,892.4,6.8519,1182.975,0,0,,,
