,DATE,Open,High,Low,Close,Adj Close,RMFSL,EXCHUS,È¯À²Æò±Õ,HM3UP,pred,accuracy,precision,recall
49,2013-06-01,1993.109985,2000.560059,1770.530029,1863.319946,1863.319946,654.9,6.2154,1103.81,0.0,0.0,,,
103,2017-12-01,2488.919922,2514.610107,2411.47998,2467.48999,2467.48999,700.4,6.569,1132.93,0.0,0.0,,,
86,2016-07-01,1977.359985,2030.689941,1944.3299559999998,2016.189941,2016.189941,722.6,6.4754,1146.71,0.0,0.0,,,
32,2012-01-01,1831.689941,1973.3499760000002,1810.47998,1955.790039,1955.790039,686.4,6.371,1150.25,1.0,0.0,,,
57,2014-02-01,1930.089966,1981.1500239999998,1885.530029,1979.9899899999998,1979.9899899999998,656.1,6.0929,1062.69,0.0,0.0,,,
66,2014-11-01,1959.660034,1994.819946,1923.050049,1980.780029,1980.780029,643.5,6.1541,1024.61,0.0,0.0,,,
41,2012-10-01,1998.52002,2007.839966,1884.77002,1912.060059,1912.060059,645.3,6.3717,1142.3319999999999,0.0,0.0,,,
36,2012-05-01,1994.1700440000002,2001.109985,1779.469971,1843.469971,1843.469971,663.4,6.2997,1122.938,0.0,0.0,,,
51,2013-08-01,1916.560059,1939.280029,1838.52002,1926.359985,1926.359985,646.6,6.1416,1112.1,0.0,0.0,,,
69,2015-02-01,1947.910034,1993.430054,1932.75,1985.800049,1985.800049,638.1,6.1249,1097.11,0.0,0.0,,,
16,2010-09-01,1751.959961,1873.790039,1748.300049,1872.810059,1872.810059,732.3,6.8184,1212.495,1.0,1.0,,,
37,2012-06-01,1832.0799559999998,1908.189941,1776.8499760000002,1854.0100100000002,1854.0100100000002,659.2,6.3125,1126.94,1.0,0.0,,,
29,2011-10-01,1683.939941,1963.7399899999998,1658.060059,1909.030029,1909.030029,676.2,6.4575,1058.49,1.0,0.0,,,
117,2019-02-01,2211.929932,2241.76001,2167.360107,2195.439941,2195.439941,804.2,6.9367,1127.55,0.0,0.0,,,
11,2010-04-01,1695.300049,1757.7600100000002,1695.300049,1741.560059,1741.560059,772.0,6.8269,1138.77,1.0,1.0,,,
67,2014-12-01,1971.949951,1990.040039,1897.5,1915.589966,1915.589966,638.2,6.1382,1035.8,0.0,0.0,,,
70,2015-03-01,1996.719971,2047.130005,1969.130005,2041.030029,2041.030029,631.5,6.1886,1103.6,0.0,0.0,,,
64,2014-09-01,2067.800049,2072.590088,2007.300049,2020.089966,2020.089966,644.3,6.2306,1018.7,0.0,0.0,,,
88,2016-09-01,2022.959961,2073.889893,1991.469971,2043.630005,2043.630005,707.6,6.5892,1168.36,0.0,1.0,,,
20,2011-01-01,2063.689941,2121.060059,2054.830078,2069.72998,2069.72998,699.0,6.6678,1122.23,0.0,0.0,,,
73,2015-06-01,2110.1201170000004,2110.8798829999996,2008.459961,2074.199951,2074.199951,624.2,6.2386,1113.05,0.0,0.0,,,
111,2018-08-01,2301.169922,2322.8798829999996,2218.090088,2322.8798829999996,2322.8798829999996,744.1,6.3701,1077.05,0.0,0.0,,,
77,2015-10-01,1963.550049,2064.719971,1958.630005,2029.469971,2029.469971,623.3,6.2085,1146.16,1.0,1.0,,,
83,2016-04-01,1994.77002,2023.77002,1954.109985,1994.1500239999998,1994.1500239999998,732.4,6.5726,1203.79,0.0,0.0,,,
43,2012-12-01,1937.280029,2006.0799559999998,1928.089966,1997.050049,1997.050049,640.7,6.32,1123.67,1.0,0.0,,,
15,2010-08-01,1771.380005,1797.4200440000002,1716.859985,1742.75,1742.75,730.6,6.8275,1168.41,0.0,1.0,,,
56,2014-01-01,2013.109985,2013.890015,1899.7600100000002,1941.1500239999998,1941.1500239999998,664.3,6.1032,1065.74,0.0,0.0,,,
92,2017-01-01,2034.310059,2091.02002,2028.469971,2067.570068,2067.570068,673.1,6.7303,1125.779,0.0,0.0,,,
40,2012-09-01,1909.060059,2012.7399899999998,1873.4899899999998,1996.209961,1996.209961,649.9,6.3633,1163.61,1.0,1.0,,,
107,2018-04-01,2454.719971,2515.3798829999996,2405.909912,2515.3798829999996,2515.3798829999996,702.8,6.4233,1066.54,0.0,0.0,,,
102,2017-11-01,2535.969971,2561.6298829999996,2474.280029,2476.3701170000004,2476.3701170000004,698.5,6.667000000000001,1131.4,0.0,0.0,,,
35,2012-04-01,2022.4200440000002,2051.800049,1954.0100100000002,1981.9899899999998,1981.9899899999998,671.9,6.3172,1144.56,0.0,0.0,,,
84,2016-05-01,1991.839966,1991.839966,1937.6700440000002,1983.4000239999998,1983.4000239999998,742.7,6.5501,1220.45,0.0,0.0,,,
52,2013-09-01,1925.319946,2018.02002,1921.0100100000002,1996.959961,1996.959961,660.0,6.1342,1136.59,1.0,1.0,,,
27,2011-08-01,2160.090088,2173.280029,1684.680054,1880.109985,1880.109985,673.2,6.4957,1084.05,0.0,0.0,,,
101,2017-10-01,2425.6298829999996,2528.320068,2421.100098,2523.429932,2523.429932,692.1,6.7694,1133.13,1.0,0.0,,,
87,,,,,,,,,,,,0.8055555555555556,0.7142857142857143,0.5
